Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2018-2019,Bundesliga,M'Gladbach,Jonas Hofmann,de GER,MF,26,21.2,81,3.81,58,13,1,4,4,1,10,0.47,8,1,1,0,0,0
2018-2019,Bundesliga,M'Gladbach,Lars Stindl,de GER,"FW,MF",29,16.8,65,3.88,52,2,2,6,2,1,9,0.54,6,0,1,1,1,0
2018-2019,Bundesliga,M'Gladbach,Michael Lang,ch SUI,DF,27,13.9,9,0.65,8,0,0,1,0,0,1,0.07,1,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,Christoph Kramer,de GER,MF,27,12.6,18,1.42,17,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,Fabian Johnson,us USA,"DF,FW",30,11.2,13,1.16,11,0,0,0,2,0,2,0.18,1,0,0,0,1,0
2018-2019,Bundesliga,M'Gladbach,Patrick Herrmann,de GER,"FW,DF",27,12,42,3.5,32,4,3,1,1,1,4,0.33,3,0,1,0,0,0
2018-2019,Bundesliga,M'Gladbach,Tony Jantschke,de GER,DF,28,10.4,7,0.68,4,1,0,2,0,0,1,0.1,1,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,Louis Beyer,de GER,DF,18,8,8,1,6,0,1,1,0,0,2,0.25,2,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,Ibrahima Traoré,gn GUI,"FW,MF",30,6.1,31,5.05,18,2,4,5,2,0,6,0.98,4,1,1,0,0,0
2018-2019,Bundesliga,M'Gladbach,Raffael,br BRA,FW,33,6,26,4.37,21,0,3,2,0,0,3,0.5,2,0,1,0,0,0
2018-2019,Bundesliga,M'Gladbach,Josip Drmić,ch SUI,FW,25,2.5,4,1.62,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,Mickaël Cuisance,fr FRA,MF,18,3.1,12,3.87,10,0,2,0,0,0,2,0.65,2,0,0,0,0,0
2018-2019,Bundesliga,M'Gladbach,László Bénes,sk SVK,"MF,FW",20,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Wout Weghorst,nl NED,FW,25,32.5,68,2.09,53,0,3,6,5,1,12,0.37,7,0,1,3,1,0
2018-2019,Bundesliga,Wolfsburg,Maximilian Arnold,de GER,MF,24,31.9,90,2.82,41,30,4,6,9,0,14,0.44,4,6,1,1,2,0
2018-2019,Bundesliga,Wolfsburg,Robin Knoche,de GER,DF,26,31,21,0.68,18,2,0,1,0,0,2,0.06,2,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,William,br BRA,DF,23,29.7,78,2.62,64,8,3,1,1,1,7,0.24,4,2,0,1,0,0
2018-2019,Bundesliga,Wolfsburg,John Brooks,us USA,DF,25,29,22,0.76,21,0,0,1,0,0,4,0.14,3,0,0,1,0,0
2018-2019,Bundesliga,Wolfsburg,Jérôme Roussillon,fr FRA,DF,25,27.3,57,2.08,44,3,6,4,0,0,9,0.33,8,0,1,0,0,0
2018-2019,Bundesliga,Wolfsburg,Yannick Gerhardt,de GER,MF,24,27.3,67,2.46,54,1,0,6,6,0,9,0.33,4,0,0,4,1,0
2018-2019,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,26,25.5,7,0.27,7,0,0,0,0,0,2,0.08,2,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Admir Mehmedi,ch SUI,"FW,MF",27,18.8,78,4.15,47,16,3,5,6,1,10,0.53,5,1,0,2,1,1
2018-2019,Bundesliga,Wolfsburg,Josuha Guilavogui,fr FRA,MF,27,17.4,22,1.26,22,0,0,0,0,0,2,0.11,2,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Renato Steffen,ch SUI,"FW,MF",26,16.7,43,2.57,31,1,5,2,3,1,4,0.24,3,0,0,0,0,1
2018-2019,Bundesliga,Wolfsburg,Josip Brekalo,hr CRO,"FW,MF",20,15.7,62,3.94,41,15,1,1,3,1,7,0.44,6,0,1,0,0,0
2018-2019,Bundesliga,Wolfsburg,Elvis Rexhbeçaj,de GER,MF,20,12.7,25,1.97,22,0,0,0,2,1,5,0.39,4,0,0,0,1,0
2018-2019,Bundesliga,Wolfsburg,Daniel Ginczek,de GER,FW,27,14.2,35,2.47,22,0,6,3,4,0,6,0.42,4,0,1,1,0,0
2018-2019,Bundesliga,Wolfsburg,Marcel Tisserand,cd COD,DF,25,9.8,7,0.71,4,0,0,2,1,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Pavao Pervan,at AUT,GK,30,8.5,2,0.24,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Ignacio Camacho,es ESP,MF,28,6,9,1.5,6,0,0,1,2,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Yunus Mallı,tr TUR,"MF,FW",26,7.8,33,4.24,24,5,3,0,1,0,3,0.39,3,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Felix Klaus,de GER,"FW,MF",25,4.9,13,2.65,9,0,2,1,1,0,3,0.61,2,0,1,0,0,0
2018-2019,Bundesliga,Wolfsburg,Ohis Felix Uduokhai,de GER,DF,20,2.7,4,1.48,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Paul Verhaegh,nl NED,DF,34,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Gian-Luca Itter,de GER,DF,19,1,2,1.91,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Sebastian Jung,de GER,DF,28,0.6,4,6.43,4,0,0,0,0,0,1,1.61,1,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,John Yeboah,de GER,"MF,FW",18,0.6,4,6.55,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Wolfsburg,Jakub Błaszczykowski,pl POL,MF,32,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Danny da Costa,de GER,"DF,FW",25,33.7,61,1.81,47,6,4,2,2,0,10,0.3,6,2,1,0,1,0
2018-2019,Bundesliga,Eint Frankfurt,Filip Kostić,rs SRB,"DF,FW",25,32.8,102,3.11,66,15,6,7,7,1,14,0.43,10,1,1,2,0,0
2018-2019,Bundesliga,Eint Frankfurt,Kevin Trapp,de GER,GK,28,32.6,8,0.25,6,2,0,0,0,0,1,0.03,0,1,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Makoto Hasebe,jp JPN,"DF,MF",34,28,23,0.82,20,2,0,1,0,0,2,0.07,2,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Gelson Fernandes,ch SUI,MF,31,24.7,13,0.53,11,0,0,0,0,2,1,0.04,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Luka Jović,rs SRB,"FW,MF",20,24.9,71,2.85,49,1,8,5,8,0,14,0.56,10,0,1,3,0,0
2018-2019,Bundesliga,Eint Frankfurt,Obite N'Dicka,fr FRA,DF,18,25.6,18,0.7,15,1,0,1,0,1,3,0.12,3,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Sébastien Haller,ci CIV,FW,24,24.2,72,2.97,53,0,8,8,2,1,16,0.66,12,0,1,3,0,0
2018-2019,Bundesliga,Eint Frankfurt,Ante Rebić,hr CRO,"FW,MF",24,22,88,4,52,1,19,5,9,2,9,0.41,6,0,3,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Jonathan de Guzmán,nl NED,MF,30,17.4,55,3.16,25,24,1,3,1,1,9,0.52,6,1,0,1,0,1
2018-2019,Bundesliga,Eint Frankfurt,David Abraham,ar ARG,DF,32,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0
2018-2019,Bundesliga,Eint Frankfurt,Mijat Gaćinović,rs SRB,MF,23,18.1,52,2.88,46,2,1,1,2,0,7,0.39,6,0,0,0,1,0
2018-2019,Bundesliga,Eint Frankfurt,Martin Hinteregger,at AUT,DF,25,12.7,16,1.26,9,2,2,1,1,1,1,0.08,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Sebastian Rode,de GER,MF,27,10.3,31,3.02,19,10,2,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Jetro Willems,nl NED,"MF,DF",24,8.1,41,5.05,18,16,1,1,3,2,5,0.62,3,2,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Simon Falette,gn GUI,DF,26,6.7,3,0.45,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Lucas Torró,es ESP,MF,24,6.2,8,1.29,8,0,0,0,0,0,1,0.16,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Almamy Touré,ml MLI,"DF,MF",22,5.8,4,0.69,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Carlos Salcedo,mx MEX,DF,24,5.1,3,0.59,3,0,0,0,0,0,1,0.2,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Gonçalo Paciência,pt POR,FW,23,4.3,12,2.77,6,0,2,2,2,0,1,0.23,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Marco Russ,de GER,DF,32,4.2,4,0.95,3,0,0,0,1,0,1,0.24,1,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Nicolai Müller,de GER,"FW,MF",30,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Allan,br BRA,MF,21,2,7,3.58,4,1,1,0,1,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Taleb Tawatha,il ISR,"FW,DF",26,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Frederik Rønnow,dk DEN,GK,25,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Marco Fabián,mx MEX,FW,29,0.7,1,1.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Marc Stendera,de GER,MF,22,1.2,3,2.45,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Timothy Chandler,us USA,DF,28,0.2,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Branimir Hrgota,se SWE,FW,25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Eint Frankfurt,Danny Blum,de GER,MF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Maximilian Eggestein,de GER,MF,21,33.9,90,2.65,76,0,5,4,2,3,9,0.27,7,0,2,0,0,0
2018-2019,Bundesliga,Werder Bremen,Ludwig Augustinsson,se SWE,DF,24,33.6,82,2.44,65,12,1,3,1,0,9,0.27,8,0,0,1,0,0
2018-2019,Bundesliga,Werder Bremen,Jiří Pavlenka,cz CZE,GK,26,33.1,3,0.09,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Davy Klaassen,nl NED,MF,25,31.3,92,2.94,76,1,5,4,4,2,10,0.32,6,0,2,0,1,1
2018-2019,Bundesliga,Werder Bremen,Max Kruse,de GER,"FW,MF",30,31.5,151,4.8,111,25,4,8,3,0,17,0.54,14,1,1,0,1,0
2018-2019,Bundesliga,Werder Bremen,Theodor Gebre Selassie,cz CZE,DF,31,31.3,60,1.92,42,4,1,6,4,3,10,0.32,6,0,1,2,1,0
2018-2019,Bundesliga,Werder Bremen,Niklas Moisander,fi FIN,DF,32,29.3,36,1.23,32,0,2,1,0,1,4,0.14,2,0,1,1,0,0
2018-2019,Bundesliga,Werder Bremen,Miloš Veljković,rs SRB,DF,22,20.9,15,0.72,13,0,0,1,0,1,1,0.05,1,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Milot Rashica,xk KVX,"FW,MF",22,17.2,80,4.65,45,10,12,4,9,0,11,0.64,6,1,3,0,1,0
2018-2019,Bundesliga,Werder Bremen,Nuri Şahin,tr TUR,MF,29,16.4,32,1.95,22,7,0,2,0,1,1,0.06,0,1,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Sebastian Langkamp,de GER,DF,30,15.7,11,0.7,10,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Yuya Osako,jp JPN,"FW,MF",28,15,39,2.6,31,0,6,1,1,0,3,0.2,2,0,0,0,1,0
2018-2019,Bundesliga,Werder Bremen,Philipp Bargfrede,de GER,"MF,DF",29,12,13,1.08,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Johannes Eggestein,de GER,"FW,MF",20,12.4,30,2.43,20,0,5,3,2,0,7,0.57,4,0,1,2,0,0
2018-2019,Bundesliga,Werder Bremen,Martin Harnik,at AUT,"FW,MF",31,9.2,27,2.93,19,0,2,4,1,1,6,0.65,2,0,2,2,0,0
2018-2019,Bundesliga,Werder Bremen,Kevin Möhwald,de GER,MF,25,9.7,29,2.99,24,0,0,2,2,1,4,0.41,3,0,0,0,1,0
2018-2019,Bundesliga,Werder Bremen,Marco Friedl,at AUT,DF,20,5.3,1,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Florian Kainz,at AUT,FW,25,4.1,14,3.39,11,1,1,1,0,0,4,0.97,3,0,1,0,0,0
2018-2019,Bundesliga,Werder Bremen,Claudio Pizarro,pe PER,FW,39,7.7,23,2.99,20,0,0,3,0,0,5,0.65,4,0,0,1,0,0
2018-2019,Bundesliga,Werder Bremen,Josh Sargent,us USA,FW,18,2.4,4,1.7,3,0,0,0,1,0,1,0.42,0,0,0,0,1,0
2018-2019,Bundesliga,Werder Bremen,Stefanos Kapino,gr GRE,GK,24,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Luca Plogmann,de GER,GK,18,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Fin Bartels,de GER,"MF,FW",31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Werder Bremen,Aron Jóhannsson,us USA,MF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Oliver Baumann,de GER,GK,28,33,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Nico Schulz,de GER,DF,25,28.2,114,4.04,91,3,10,4,5,1,11,0.39,9,1,0,0,1,0
2018-2019,Bundesliga,Hoffenheim,Pavel Kadeřábek,cz CZE,DF,26,27.9,73,2.62,62,1,1,5,1,3,8,0.29,7,0,0,1,0,0
2018-2019,Bundesliga,Hoffenheim,Andrej Kramarić,hr CRO,"MF,FW",27,26.6,130,4.88,87,13,11,14,5,0,11,0.41,10,0,0,1,0,0
2018-2019,Bundesliga,Hoffenheim,Kevin Vogt,de GER,DF,26,26.6,27,1.02,27,0,0,0,0,0,1,0.04,1,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Florian Grillitsch,at AUT,MF,22,26.6,85,3.2,69,2,2,1,6,5,9,0.34,8,0,0,0,1,0
2018-2019,Bundesliga,Hoffenheim,Joelinton,br BRA,"FW,MF",21,23.7,89,3.76,63,1,14,3,7,1,13,0.55,10,0,1,1,1,0
2018-2019,Bundesliga,Hoffenheim,Kerem Demirbay,de GER,MF,25,22.4,143,6.38,81,38,10,7,2,5,12,0.54,7,3,1,1,0,0
2018-2019,Bundesliga,Hoffenheim,Ishak Belfodil,dz ALG,"FW,MF",26,20.7,77,3.72,45,1,16,10,5,0,9,0.43,3,0,2,3,1,0
2018-2019,Bundesliga,Hoffenheim,Ermin Bičakčić,ba BIH,DF,28,19.9,19,0.96,18,0,0,1,0,0,5,0.25,5,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Stefan Posch,at AUT,DF,21,15.6,13,0.83,13,0,0,0,0,0,1,0.06,1,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Ádám Szalai,hu HUN,FW,30,18.1,60,3.32,44,1,3,10,1,1,7,0.39,3,0,1,3,0,0
2018-2019,Bundesliga,Hoffenheim,Leonardo Bittencourt,de GER,MF,24,11.9,53,4.46,37,6,0,4,5,1,6,0.51,5,0,0,1,0,0
2018-2019,Bundesliga,Hoffenheim,Kasim Nuhu,gh GHA,DF,23,10,7,0.7,5,0,0,1,1,0,2,0.2,2,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Joshua Brenet,nl NED,DF,24,10.1,34,3.38,28,2,0,3,0,1,3,0.3,3,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Nadiem Amiri,de GER,MF,21,8.4,28,3.34,21,1,4,1,1,0,3,0.36,1,0,1,0,1,0
2018-2019,Bundesliga,Hoffenheim,Benjamin Hübner,de GER,DF,29,9,6,0.66,4,0,0,1,0,1,1,0.11,1,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Steven Zuber,ch SUI,"MF,FW",26,6.3,24,3.78,21,1,0,1,0,1,1,0.16,1,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Reiss Nelson,eng ENG,"MF,FW",18,7.1,34,4.76,28,0,5,1,0,0,3,0.42,1,0,1,1,0,0
2018-2019,Bundesliga,Hoffenheim,Kevin Akpoguma,ng NGA,DF,23,5.5,7,1.26,6,0,0,0,1,0,2,0.36,1,0,0,0,1,0
2018-2019,Bundesliga,Hoffenheim,Håvard Nordtveit,no NOR,"MF,DF",28,5.2,9,1.72,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Vincenzo Grifo,it ITA,"MF,FW",25,3.7,20,5.37,13,3,1,2,1,0,3,0.81,2,1,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Dennis Geiger,de GER,MF,20,2.7,13,4.76,6,5,0,0,1,1,2,0.73,0,1,0,0,1,0
2018-2019,Bundesliga,Hoffenheim,Justin Hoogma,nl NED,"DF,MF",20,1.2,1,0.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Gregor Kobel,ch SUI,GK,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Christoph Baumgartner,at AUT,MF,18,0.9,6,6.35,1,0,3,0,2,0,3,3.18,1,0,1,0,1,0
2018-2019,Bundesliga,Hoffenheim,David Otto,de GER,"MF,FW",19,0.3,2,6.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Lukas Rupp,de GER,"MF,DF",27,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hoffenheim,Alfons Amade,de GER,MF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Matthias Zimmermann,de GER,"DF,MF",26,33.9,57,1.68,45,6,1,2,1,2,7,0.21,6,0,1,0,0,0
2018-2019,Bundesliga,Düsseldorf,Michael Rensing,de GER,GK,34,32,3,0.09,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Niko Gießelmann,de GER,DF,26,28.8,66,2.29,41,10,3,6,6,0,9,0.31,5,1,0,1,2,0
2018-2019,Bundesliga,Düsseldorf,Kaan Ayhan,tr TUR,DF,23,27.2,25,0.92,21,1,0,3,0,0,1,0.04,1,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Marcin Kamiński,pl POL,DF,26,27,24,0.89,19,1,0,3,0,1,2,0.07,1,0,0,1,0,0
2018-2019,Bundesliga,Düsseldorf,Kevin Stöger,at AUT,MF,24,23.5,108,4.59,71,23,5,6,2,1,10,0.42,8,1,0,0,0,1
2018-2019,Bundesliga,Düsseldorf,Dodi Lukebakio,be BEL,"FW,MF",20,21.9,58,2.65,38,1,6,4,9,0,5,0.23,3,0,1,0,1,0
2018-2019,Bundesliga,Düsseldorf,Adam Bodzek,de GER,"MF,DF",32,17.7,26,1.47,19,2,0,0,3,2,3,0.17,2,0,0,0,0,1
2018-2019,Bundesliga,Düsseldorf,Rouwen Hennings,de GER,FW,30,20.4,54,2.65,43,0,3,3,5,0,8,0.39,7,0,0,1,0,0
2018-2019,Bundesliga,Düsseldorf,Benito Raman,be BEL,"MF,FW",23,18.7,57,3.05,41,0,7,7,2,0,11,0.59,7,0,3,1,0,0
2018-2019,Bundesliga,Düsseldorf,Jean Zimmer,de GER,"DF,FW",24,15.9,51,3.2,30,16,0,2,2,1,4,0.25,3,0,0,1,0,0
2018-2019,Bundesliga,Düsseldorf,Alfredo Morales,us USA,MF,28,17,19,1.12,16,0,1,1,0,1,2,0.12,1,0,0,0,0,1
2018-2019,Bundesliga,Düsseldorf,Oliver Fink,de GER,MF,36,11.7,26,2.22,17,1,2,1,2,3,4,0.34,2,0,1,0,0,1
2018-2019,Bundesliga,Düsseldorf,André Hoffmann,de GER,"DF,MF",25,11.7,7,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Marcel Sobottka,de GER,MF,24,10.5,9,0.86,6,0,0,0,1,2,2,0.19,1,0,0,0,0,1
2018-2019,Bundesliga,Düsseldorf,Takashi Usami,jp JPN,"MF,FW",26,9.8,31,3.17,16,7,4,2,2,0,5,0.51,2,2,0,1,0,0
2018-2019,Bundesliga,Düsseldorf,Kenan Karaman,tr TUR,"FW,MF",24,10.2,35,3.43,24,1,5,3,2,0,5,0.49,1,0,3,0,1,0
2018-2019,Bundesliga,Düsseldorf,Marvin Ducksch,de GER,FW,24,9.1,37,4.05,28,2,0,5,0,2,3,0.33,3,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Dawid Kownacki,pl POL,"MF,FW",21,6.4,15,2.35,13,0,1,0,1,0,3,0.47,3,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Robin Bormuth,de GER,DF,22,6.8,3,0.44,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Markus Suttner,at AUT,"DF,MF",31,5.4,12,2.21,6,5,0,0,1,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Aymen Barkok,ma MAR,MF,20,5.7,7,1.23,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Jaroslav Drobný,cz CZE,GK,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Düsseldorf,Davor Lovren,hr CRO,MF,19,0.5,1,1.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Rune Jarstein,no NOR,GK,33,30.5,2,0.07,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Valentino Lazaro,at AUT,"DF,FW",22,30.5,101,3.32,58,27,7,5,3,1,12,0.39,7,2,2,1,0,0
2018-2019,Bundesliga,Hertha BSC,Ondrej Duda,sk SVK,MF,23,28.5,93,3.27,59,14,5,10,4,1,12,0.42,7,1,0,2,1,1
2018-2019,Bundesliga,Hertha BSC,Salomon Kalou,ci CIV,"FW,MF",32,25.7,74,2.87,52,0,13,4,4,1,8,0.31,5,0,2,0,1,0
2018-2019,Bundesliga,Hertha BSC,Fabian Lustenberger,ch SUI,"DF,MF",30,24.1,17,0.7,14,1,0,1,0,1,2,0.08,1,0,0,1,0,0
2018-2019,Bundesliga,Hertha BSC,Karim Rekik,nl NED,DF,23,23,7,0.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Vedad Ibišević,ba BIH,FW,33,20.1,46,2.29,35,1,3,4,3,0,7,0.35,5,0,0,2,0,0
2018-2019,Bundesliga,Hertha BSC,Arne Maier,de GER,MF,19,22.9,37,1.61,31,0,3,1,1,1,2,0.09,2,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Marvin Plattenhardt,de GER,DF,26,21.4,58,2.71,32,20,0,2,3,1,6,0.28,4,1,0,0,1,0
2018-2019,Bundesliga,Hertha BSC,Niklas Stark,de GER,DF,23,20.8,11,0.53,9,1,0,1,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Maximilian Mittelstädt,de GER,"DF,MF",21,20,39,1.95,34,0,0,3,0,2,4,0.2,2,0,0,1,0,1
2018-2019,Bundesliga,Hertha BSC,Marko Grujić,rs SRB,MF,22,19.8,47,2.38,35,0,4,5,3,0,1,0.05,1,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Davie Selke,de GER,FW,23,19.3,48,2.48,27,0,6,9,6,0,10,0.52,5,0,3,1,1,0
2018-2019,Bundesliga,Hertha BSC,Jordan Torunarigha,de GER,DF,20,12.9,11,0.85,8,1,1,1,0,0,4,0.31,3,0,1,0,0,0
2018-2019,Bundesliga,Hertha BSC,Per Ciljan Skjelbred,no NOR,MF,31,11.1,20,1.81,20,0,0,0,0,0,3,0.27,3,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Mathew Leckie,au AUS,"FW,MF",27,10.5,27,2.58,20,0,2,3,2,0,1,0.1,0,0,0,1,0,0
2018-2019,Bundesliga,Hertha BSC,Javairô Dilrosun,nl NED,"FW,MF",20,10,35,3.51,23,0,5,2,4,1,5,0.5,4,0,0,1,0,0
2018-2019,Bundesliga,Hertha BSC,Lukas Klünter,de GER,DF,22,6.6,10,1.52,5,1,2,0,2,0,2,0.3,0,0,1,0,1,0
2018-2019,Bundesliga,Hertha BSC,Vladimír Darida,cz CZE,MF,27,4.2,12,2.87,12,0,0,0,0,0,1,0.24,1,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Thomas Kraft,de GER,GK,30,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Derrick Luckassen,nl NED,DF,23,2.8,1,0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Peter Pekarík,sk SVK,DF,31,2.4,2,0.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Palkó Dárdai,hu HUN,"FW,MF",19,1.3,4,3.19,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Hertha BSC,Pascal Köpke,de GER,"FW,MF",22,0.8,5,6.16,3,0,1,0,1,0,1,1.23,0,0,0,0,1,0
2018-2019,Bundesliga,Hertha BSC,Dennis Jastrzembski,pl POL,"FW,DF",18,0.7,4,5.9,3,0,0,0,1,0,2,2.95,1,0,0,0,1,0
2018-2019,Bundesliga,Hertha BSC,Florian Baak,de GER,MF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Bundesliga,Mainz 05,Aarón Martín,es ESP,DF,21,32,106,3.31,71,23,8,2,1,1,9,0.28,5,2,1,0,1,0
