Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Everton,Davy Klaassen,nl NED,"MF,FW",24,2.8,4,1.43,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Everton,James McCarthy,ie IRL,MF,26,2.3,2,0.88,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Everton,Kevin Mirallas,be BEL,"FW,MF",29,1.5,4,2.59,3,0,1,0,0,0,1,0.65,1,0,0,0,0,0
2017-2018,EPL,Everton,Eliaquim Mangala,fr FRA,DF,26,1.5,1,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Everton,Beni Baningime,cd COD,MF,18,2.2,3,1.36,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Everton,Ademola Lookman,ng NGA,"FW,MF",19,1.8,2,1.13,2,0,0,0,0,0,1,0.57,1,0,0,0,0,0
2017-2018,EPL,Everton,Ramiro Funes Mori,ar ARG,DF,26,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Everton,Muhamed Bešić,ba BIH,MF,24,0.5,2,3.91,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Harry Maguire,eng ENG,DF,24,38,49,1.29,34,1,7,3,3,1,6,0.16,6,0,0,0,0,0
2017-2018,EPL,Leicester City,Jamie Vardy,eng ENG,FW,30,36.1,74,2.05,52,0,7,7,8,0,5,0.14,2,0,1,0,2,0
2017-2018,EPL,Leicester City,Riyad Mahrez,dz ALG,"MF,FW",26,32.8,143,4.36,84,29,19,8,3,0,23,0.7,12,5,4,2,0,0
2017-2018,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,30,32.9,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Wilfred Ndidi,ng NGA,MF,20,32.2,39,1.21,35,0,1,2,1,0,8,0.25,6,0,0,1,1,0
2017-2018,EPL,Leicester City,Wes Morgan,jm JAM,DF,33,31.3,14,0.45,11,0,0,2,0,1,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Marc Albrighton,eng ENG,"MF,FW",27,28.2,79,2.8,51,15,9,1,3,0,11,0.39,10,1,0,0,0,0
2017-2018,EPL,Leicester City,Danny Simpson,eng ENG,DF,30,25.6,15,0.59,11,3,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Leicester City,Christian Fuchs,at AUT,DF,31,21.3,40,1.87,21,15,0,3,0,1,4,0.19,3,1,0,0,0,0
2017-2018,EPL,Leicester City,Ben Chilwell,eng ENG,DF,20,20.6,46,2.24,34,4,3,0,5,0,4,0.19,4,0,0,0,0,0
2017-2018,EPL,Leicester City,Demarai Gray,eng ENG,"MF,FW",21,18.9,58,3.08,37,8,4,5,4,0,9,0.48,6,0,0,1,2,0
