Season,League,Team,Player,Nation,Pos,Age,90s,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked
2017-2018',Bundesliga,Hoffenheim,Kevin Akpoguma,ng NGA,"DF,FW",26,17,917,742,172,13,0,7,31,159,0,691,3,24
2017-2018',LaLiga,Real Madrid,David Alaba,at AUT,DF,29,29.4,1968,1888,74,34,4,2,40,34,3,1788,6,9
2017-2018',Ligue1,Metz,Sofiane Alakouch,ma MAR,"DF,MF",23,1.8,103,90,13,1,0,1,2,12,0,83,0,7
2017-2018',LaLiga,Cádiz,Tomás Alarcón,cl CHI,MF,22,15.8,572,503,65,29,2,15,64,3,33,398,4,18
2017-2018',Bundesliga,Leverkusen,Lucas Alario,ar ARG,FW,28,7.3,171,159,12,0,1,1,1,2,0,115,0,9
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2017-2018',LaLiga,Barcelona,Jordi Alba,es ESP,DF,32,29.4,2795,2416,365,96,13,12,121,268,1,2334,14,38
2017-2018',Ligue1,Clermont Foot,Josué Albert,fr FRA,DF,29,0.2,6,5,1,0,0,0,0,1,0,5,0,0
2017-2018',SerieA,Lazio,Luis Alberto,es ESP,MF,28,26.1,1970,1751,211,82,18,9,143,12,104,1626,8,29
2017-2018',LaLiga,Villarreal,Raúl Albiol,es ESP,DF,35,27.4,1560,1502,57,55,0,12,3,1,0,1339,1,12
2017-2018',EPL,Leicester City,Marc Albrighton,eng ENG,"FW,DF",31,12.6,558,452,101,15,2,3,78,48,37,347,5,27
2017-2018',LaLiga,Villarreal,Paco Alcácer,es ESP,FW,27,8.7,175,151,22,0,2,2,1,2,0,123,2,5
2017-2018',EPL,Liverpool,Thiago Alcántara,es ESP,MF,30,17,1508,1488,18,10,4,17,4,4,1,1340,2,13
2017-2018',LaLiga,Cádiz,Rubén Alcaraz,es ESP,MF,30,12.3,667,623,43,34,3,16,23,2,7,556,1,13
2017-2018',LaLiga,Valencia,Omar Alderete,py PAR,DF,24,26.7,961,899,57,52,0,41,4,2,0,580,5,6
2017-2018',LaLiga,Cádiz,Iván Alejo,es ESP,"MF,FW",26,11.8,329,319,9,3,0,2,97,6,0,193,1,18
2017-2018',Ligue1,Rennes,Doğan Alemdar,tr TUR,GK,18,12,391,293,98,28,0,1,0,0,0,287,0,0
2017-2018',LaLiga,Getafe,Carles Aleñá,es ESP,MF,23,25.8,869,827,39,24,2,10,44,2,11,683,3,25
2017-2018',EPL,Liverpool,Trent Alexander-Arnold,eng ENG,DF,22,31.7,2757,2204,548,93,17,69,273,324,131,2039,5,34
2017-2018',Ligue1,Angers,Mohamed Ali Cho,fr FRA,FW,17,20.4,314,304,9,2,1,0,23,3,0,220,1,12
2017-2018',EPL,Liverpool,Alisson,br BRA,GK,28,36,1388,1154,234,62,0,3,0,0,0,1214,0,0
2017-2018',EPL,Everton,Allan,br BRA,MF,30,24.3,982,912,66,19,1,2,10,10,0,778,4,26
2017-2018',Ligue1,Clermont Foot,Jim Allevinah,ga GAB,FW,26,16.5,545,524,16,3,1,5,34,4,9,416,5,18
2017-2018',EPL,Tottenham,Dele Alli,eng ENG,MF,25,7.3,228,210,17,4,1,1,5,4,0,177,1,6
2017-2018',EPL,Everton,Dele Alli,eng ENG,"MF,FW",25,3.8,157,140,14,3,3,1,1,5,1,114,3,4
2017-2018',EPL,Newcastle Utd,Miguel Almirón,py PAR,"MF,FW",27,19.1,511,500,8,3,0,2,20,3,0,402,3,19
2017-2018',EPL,Chelsea,Marcos Alonso,es ESP,DF,30,24.1,1486,1190,293,27,2,8,149,199,67,1142,3,39
2017-2018',SerieA,Cagliari,Giorgio Altare,it ITA,DF,22,16.3,799,712,83,12,0,3,27,71,0,531,4,11
2017-2018',LaLiga,Celta Vigo,Hugo Álvarez,es ESP,FW,18,0.1,3,3,0,0,0,0,0,0,0,1,0,0
2017-2018',LaLiga,Athletic Club,Yeray Álvarez,es ESP,DF,26,20.7,1019,966,51,50,0,10,3,1,0,832,2,9
2017-2018',LaLiga,Barcelona,Dani Alves,br BRA,DF,38,12.2,1089,925,159,32,6,14,75,93,34,915,5,11
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2017-2018',EPL,Brighton,Steven Alzate,co COL,MF,22,4.5,233,230,3,2,1,0,0,1,0,204,0,4
2017-2018',Ligue1,Metz,Ibrahim Amadou,fr FRA,"DF,MF",28,9,439,430,9,9,0,5,0,0,0,384,0,2
2017-2018',LaLiga,Getafe,Emmanuel Amankwaa Akurugu,gh GHA,DF,19,0.9,39,31,8,0,0,0,4,8,0,26,0,1
2017-2018',EPL,Leicester City,Daniel Amartey,gh GHA,DF,26,23.6,1546,1516,28,19,0,2,0,9,0,1399,2,16
2017-2018',LaLiga,Mallorca,Amath,sn SEN,"FW,MF",25,9.8,202,196,5,0,2,0,7,3,1,159,1,9
2017-2018',Ligue1,Nice,Jordan Amavi,fr FRA,DF,27,4.6,319,272,46,4,0,2,6,42,0,269,1,5
2017-2018',Ligue1,Marseille,Jordan Amavi,fr FRA,"DF,FW",27,1.4,86,69,17,2,0,2,2,15,0,74,0,1
