Season,League,Team,Player,Nation,Pos,Age,90s,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',EPL,Aston Villa,Matty Cash,pl POL,DF,23,37.5,1627,1286,336,30,2,12,98,305,1,1113,5,49
2019-2020',LaLiga,Elche,Kiko Casilla,es ESP,GK,34,14,486,296,188,52,0,1,0,0,0,324,2,0
2019-2020',Ligue1,Reims,Moreto Cassamã,gw GNB,MF,23,8.9,434,402,30,20,0,10,19,0,10,351,2,12
2019-2020',SerieA,Genoa,Francesco Cassata,it ITA,MF,24,0.1,1,1,0,0,0,0,1,0,0,1,0,0
2019-2020',EPL,Leicester City,Timothy Castagne,be BEL,DF,25,23.6,1330,1132,195,10,0,1,40,185,0,1077,3,21
2019-2020',Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,29,28,1079,817,260,56,0,4,0,0,0,843,2,2
2019-2020',Ligue1,Nantes,Jean-Charles Castelletto,cm CMR,DF,26,27.9,1208,1147,61,28,1,7,8,33,0,1036,0,5
2019-2020',SerieA,Milan,Samu Castillejo,es ESP,"FW,MF",26,1.4,65,61,4,0,0,1,8,2,2,54,0,2
2019-2020',Bundesliga,Arminia,Gonzalo Castro,de GER,"MF,FW",34,4.8,169,136,31,13,2,2,21,0,11,112,2,7
2019-2020',EPL,Wolves,Jonny Castro,es ESP,DF,27,11.4,610,515,95,6,1,1,14,89,0,509,0,11
2019-2020',SerieA,Fiorentina,Gaetano Castrovilli,it ITA,MF,24,15.5,539,499,37,16,4,11,40,6,13,404,3,20
2019-2020',SerieA,Lazio,Danilo Cataldi,it ITA,MF,26,19,1401,1294,103,51,6,10,66,1,51,1201,4,11
2019-2020',LaLiga,Rayo Vallecano,Catena,es ESP,DF,26,36,1723,1620,96,94,2,36,2,2,0,1393,7,18
2019-2020',EPL,Watford,Craig Cathcart,nir NIR,DF,32,26.6,953,896,55,11,0,13,4,44,0,767,2,5
2019-2020',EPL,Manchester Utd,Edinson Cavani,uy URU,FW,34,8.5,233,224,9,2,0,5,2,1,0,176,0,3
2019-2020',LaLiga,Real Madrid,Dani Ceballos,es ESP,MF,24,3.1,262,257,5,4,2,4,1,1,0,240,0,2
2019-2020',SerieA,Venezia,Pietro Ceccaroni,it ITA,DF,25,34.7,1720,1614,105,59,0,1,12,44,0,1414,1,29
2019-2020',SerieA,Hellas Verona,Federico Ceccherini,it ITA,DF,29,26.2,1216,1157,55,37,2,8,5,18,0,954,4,13
2019-2020',SerieA,Sassuolo,Emil Ceide,no NOR,"FW,MF",19,0.6,26,23,3,0,0,0,0,1,1,11,0,6
2019-2020',Ligue1,Lille,Zeki Çelik,tr TUR,DF,24,30,1755,1453,291,22,3,22,66,269,0,1390,11,34
2019-2020',Ligue1,Metz,Fabien Centonze,fr FRA,DF,25,17.6,769,633,135,8,0,4,48,127,0,591,1,17
2019-2020',SerieA,Cagliari,Luca Ceppitelli,it ITA,DF,31,16.1,802,763,34,28,0,8,7,6,0,671,5,9
2019-2020',LaLiga,Celta Vigo,Franco Cervi,ar ARG,MF,27,20,763,714,45,8,0,0,78,8,29,560,4,31
2019-2020',SerieA,Cagliari,Damir Ceter,co COL,FW,23,0.1,2,2,0,0,0,0,0,0,0,1,0,0
2019-2020',SerieA,Sampdoria,Julian Chabot,de GER,DF,23,5.4,258,230,25,18,0,4,1,7,0,206,3,0
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',Bundesliga,Köln,Julian Chabot,de GER,DF,23,2.3,158,149,9,7,0,1,0,1,0,124,0,0
2019-2020',Ligue1,Paris S-G,El Chadaille Bitshiabu,fr FRA,DF,16,0.1,6,6,0,0,0,1,0,0,0,6,0,0
2019-2020',Ligue1,Troyes,Nassim Chadli,fr FRA,"MF,DF",20,1.1,43,36,7,1,0,0,5,5,1,26,0,3
2019-2020',EPL,Manchester City,Kayky Chagas,br BRA,FW,18,0.1,2,2,0,0,0,0,0,0,0,2,0,0
2019-2020',Ligue1,Strasbourg,Mehdi Chahiri,ma MAR,DF,25,0.2,6,5,1,0,0,0,0,1,0,2,0,0
2019-2020',EPL,Chelsea,Trevoh Chalobah,eng ENG,DF,22,16.1,1283,1246,36,27,3,3,4,9,0,1158,1,7
2019-2020',EPL,Arsenal,Calum Chambers,eng ENG,DF,26,1.9,97,81,15,4,0,0,3,11,0,77,1,2
2019-2020',EPL,Aston Villa,Calum Chambers,eng ENG,DF,26,9.2,483,476,6,4,1,0,2,2,0,399,1,7
2019-2020',Ligue1,Troyes,Dylan Chambost,fr FRA,"MF,FW",23,8.4,492,467,23,14,2,2,21,0,9,379,2,7
2019-2020',Bundesliga,Eint Frankfurt,Timothy Chandler,us USA,DF,31,13.5,562,420,140,3,0,4,30,136,1,352,2,23
2019-2020',LaLiga,Cádiz,Chapela,es ESP,"MF,FW",22,4.4,87,86,1,0,0,2,12,0,1,52,0,5
2019-2020',Ligue1,Brest,Brendan Chardonnet,fr FRA,DF,26,29.8,1287,1219,65,62,0,25,3,3,0,1044,3,7
2019-2020',Ligue1,Troyes,Xavier Chavalerin,fr FRA,MF,30,30.2,1049,978,64,26,2,8,79,13,25,785,7,23
2019-2020',Ligue1,Reims,Xavier Chavalerin,fr FRA,MF,30,2.4,96,85,11,2,0,4,4,9,0,76,0,4
2019-2020',Bundesliga,Hoffenheim,Justin Che,us USA,"FW,DF",17,0.5,27,20,7,1,0,1,2,6,0,22,0,2
2019-2020',LaLiga,Getafe,Chema,es ESP,MF,29,0.5,15,14,1,1,0,1,0,0,0,11,0,0
2019-2020',Ligue1,Lyon,Rayan Cherki,fr FRA,"FW,MF",17,4.9,262,219,42,3,2,4,27,11,25,196,1,5
2019-2020',LaLiga,Valencia,Denis Cheryshev,ru RUS,"MF,FW",30,6.3,171,157,14,5,1,0,27,3,6,104,0,13
2019-2020',EPL,West Ham,Daniel Chesters,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020',SerieA,Juventus,Giorgio Chiellini,it ITA,DF,36,15,949,892,51,29,0,6,1,11,0,783,6,5
2019-2020',SerieA,Juventus,Federico Chiesa,it ITA,"MF,FW",23,9.6,288,250,35,1,0,2,32,14,18,218,3,7
2019-2020',EPL,Chelsea,Ben Chilwell,eng ENG,DF,24,6,347,266,80,11,0,0,32,44,25,268,1,9
2019-2020',EPL,Wolves,Chiquinho,pt POR,"DF,FW",21,2.3,108,100,8,0,0,0,25,8,0,70,0,2
2019-2020',SerieA,Sassuolo,Vlad Chiricheș,ro ROU,DF,31,25.6,1342,1275,65,57,0,16,0,3,0,1224,2,8
2019-2020',Ligue1,Nantes,Pedro Chirivella,es ESP,MF,24,29.3,1719,1635,79,56,4,36,8,5,3,1457,5,26
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',Ligue1,Montpellier,Joris Chotard,fr FRA,MF,19,32.6,1289,1248,36,32,2,12,20,3,1,1081,5,16
2019-2020',EPL,Leicester City,Hamza Choudhury,eng ENG,"DF,MF",23,3.2,156,145,11,4,0,1,0,7,0,128,0,4
2019-2020',EPL,Chelsea,Andreas Christensen,dk DEN,DF,25,16.6,1336,1289,46,33,1,4,1,13,0,1201,1,5
2019-2020',Bundesliga,Greuther Fürth,Max Christiansen,de GER,MF,24,22.8,935,917,16,14,0,2,3,2,0,739,2,17
2019-2020',EPL,Aston Villa,Carney Chukwuemeka,eng ENG,"MF,FW",17,3.3,121,118,2,1,0,0,0,0,0,98,1,3
2019-2020',LaLiga,Villarreal,Samuel Chukwueze,ng NGA,"MF,FW",22,14.8,465,455,6,0,9,3,16,5,1,337,4,17
2019-2020',LaLiga,Cádiz,Víctor Chust,es ESP,DF,21,20.3,807,776,28,22,0,8,2,6,0,677,3,5
2019-2020',SerieA,Sampdoria,Riccardo Ciervo,it ITA,"MF,DF",19,2.5,66,62,3,1,0,0,9,1,1,45,1,3
2019-2020',LaLiga,Valencia,Jasper Cillessen,nl NED,GK,32,16.2,447,303,142,48,0,1,0,0,0,299,2,0
2019-2020',LaLiga,Rayo Vallecano,Pathé Ciss,sn SEN,MF,27,12.2,523,510,12,10,2,12,0,2,0,435,1,7
2019-2020',SerieA,Atalanta,Moustapha Cissé,gn GUI,FW,17,0.4,9,9,0,0,0,0,0,0,0,5,0,0
2019-2020',SerieA,Atalanta,Giorgio Cittadini,it ITA,DF,19,0,2,2,0,0,0,0,0,0,0,1,0,0
2019-2020',EPL,Newcastle Utd,Ciaran Clark,ie IRL,DF,31,11.3,370,360,7,5,0,0,1,2,0,290,3,2
2019-2020',Ligue1,Nice,Alexis Claude-Maurice,fr FRA,MF,23,2.3,103,94,9,1,0,0,9,3,5,88,0,3
2019-2020',Ligue1,Lens,Jonathan Clauss,fr FRA,DF,28,33.8,1883,1348,522,46,4,8,348,291,185,1243,13,36
2019-2020',LaLiga,Levante,Carlos Clerc,es ESP,DF,29,16.8,878,712,161,15,1,4,47,144,2,668,5,23
2019-2020',EPL,Watford,Tom Cleverley,eng ENG,MF,31,18,658,569,87,27,1,3,54,6,32,479,2,12
2019-2020',EPL,Crystal Palace,Nathaniel Clyne,eng ENG,DF,30,15,727,561,164,14,1,1,17,150,0,561,2,17
2019-2020',EPL,Wolves,Conor Coady,eng ENG,DF,28,37.3,1692,1654,35,35,2,2,2,0,0,1514,3,5
2019-2020',Ligue1,Nantes,Marcus Coco,fr FRA,"MF,FW",25,10.3,325,302,23,5,0,0,24,17,0,224,0,8
2019-2020',LaLiga,Levante,Coke,es ESP,DF,34,1.3,69,54,15,3,0,1,0,12,0,57,0,1
2019-2020',EPL,Everton,Séamus Coleman,ie IRL,DF,32,29.5,1255,981,269,11,0,5,41,258,0,914,5,23
2019-2020',LaLiga,Granada,Álex Collado,es ESP,"MF,FW",22,11.3,365,314,47,17,2,0,42,5,19,268,4,14
2019-2020',SerieA,Spezia,Ebrima Colley,gm GAM,"FW,MF",21,4.4,127,115,10,3,2,0,18,2,5,80,2,6
2019-2020',SerieA,Sampdoria,Omar Colley,gm GAM,DF,28,30.5,1448,1351,95,59,0,8,1,3,0,1211,2,5
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',EPL,Burnley,Nathan Collins,ie IRL,DF,20,18.6,652,626,23,7,1,4,3,16,0,448,3,3
2019-2020',Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,DF",25,15.1,707,675,29,2,4,4,79,20,7,547,3,14
2019-2020',LaLiga,Valencia,Eray Cömert,ch SUI,DF,23,4.5,201,193,8,7,0,5,0,1,0,169,0,0
2019-2020',LaLiga,Rayo Vallecano,Santi Comesaña,es ESP,MF,24,29.8,1481,1422,52,43,3,23,10,0,0,1214,7,30
2019-2020',LaLiga,Getafe,Diego Conde,es ESP,GK,22,0.1,6,3,3,1,0,0,0,0,0,0,0,0
2019-2020',EPL,Brighton,Aaron Connolly,ie IRL,"FW,MF",21,1.7,19,18,1,0,0,0,0,0,0,14,0,0
2019-2020',SerieA,Sassuolo,Andrea Consigli,it ITA,GK,34,36.9,1469,1084,381,135,1,2,0,0,0,1161,4,0
2019-2020',Ligue1,Troyes,Abdu Conté,pt POR,DF,23,15,614,480,132,4,0,3,41,128,0,447,2,21
2019-2020',SerieA,Sampdoria,Andrea Conti,it ITA,"DF,MF",27,2.6,82,68,14,0,0,0,0,14,0,62,0,3
2019-2020',SerieA,Milan,Andrea Conti,it ITA,DF,27,0.1,6,5,1,0,0,0,0,1,0,4,0,0
2019-2020',EPL,Leeds United,Liam Cooper,sct SCO,DF,29,20.2,1183,1151,30,25,1,7,1,5,0,981,2,8
2019-2020',Bundesliga,Bayern Munich,Lucas Copado,de GER,FW,17,0.2,4,4,0,0,0,0,0,0,0,3,0,0
2019-2020',SerieA,Hellas Verona,Diego Coppola,it ITA,DF,17,2.8,98,98,0,0,0,0,0,0,0,77,0,0
2019-2020',LaLiga,Villarreal,Francis Coquelin,fr FRA,MF,30,9.2,480,469,7,2,2,7,1,2,0,408,4,11
2019-2020',Ligue1,Nantes,Sébastien Corchia,fr FRA,DF,30,14.7,548,381,167,13,0,2,79,143,11,367,0,25
2019-2020',Bundesliga,Augsburg,Sergio Córdova,ve VEN,"FW,MF",23,3.6,51,46,5,0,0,1,3,3,0,34,0,0
2019-2020',EPL,Burnley,Jack Cork,eng ENG,MF,32,18.6,577,567,7,3,0,5,8,1,0,423,3,10
2019-2020',EPL,Burnley,Maxwel Cornet,ci CIV,"FW,MF",24,19.6,437,393,44,3,3,3,55,5,34,281,0,24
2019-2020',Ligue1,Lyon,Maxwel Cornet,ci CIV,DF,24,0.7,40,37,3,1,1,0,3,2,0,33,0,0
2019-2020',LaLiga,Sevilla,Jesús Corona,mx MEX,"FW,DF",28,12.9,603,556,45,2,1,6,52,31,12,466,2,13
2019-2020',LaLiga,Atlético Madrid,Ángel Correa,ar ARG,"FW,MF",26,20.6,638,608,27,2,6,1,34,2,15,465,3,21
2019-2020',SerieA,Inter,Joaquín Correa,ar ARG,FW,26,11.4,344,335,7,3,1,1,1,1,1,280,2,6
2019-2020',LaLiga,Valencia,Thierry Correia,pt POR,DF,22,15.7,658,520,137,6,1,7,48,131,0,453,1,19
2019-2020',Bundesliga,Eint Frankfurt,Danny da Costa,de GER,"DF,MF",28,8.1,319,247,71,1,0,0,22,70,0,213,1,10
2019-2020',Ligue1,Lens,David Pereira da Costa,pt POR,"MF,FW",20,16.3,798,758,35,12,6,2,35,8,15,646,5,19
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',EPL,Leeds United,Hélder Costa,ao ANG,MF,27,0.2,5,5,0,0,0,0,0,0,0,5,0,0
2019-2020',LaLiga,Valencia,Hélder Costa,ao ANG,"MF,FW",27,12.4,302,285,14,2,1,1,46,3,9,191,3,12
2019-2020',LaLiga,Mallorca,Jaume Costa,es ESP,DF,33,20.3,1010,796,212,11,2,5,75,201,0,724,2,24
2019-2020',Ligue1,Bordeaux,Benoît Costil,fr FRA,GK,34,25,905,589,315,96,1,7,0,1,0,632,1,0
2019-2020',EPL,West Ham,Vladimír Coufal,cz CZE,DF,28,24.5,1439,1135,294,17,0,1,107,276,1,990,10,44
2019-2020',Ligue1,Nantes,Kalifa Coulibaly,ml MLI,FW,29,9.4,191,178,11,0,0,0,3,1,0,111,2,4
2019-2020',SerieA,Salernitana,Lassana Coulibaly,ml MLI,MF,25,25.9,834,809,22,15,0,3,13,5,0,677,3,19
2019-2020',SerieA,Salernitana,Mamadou Coulibaly,sn SEN,MF,22,9,331,327,3,2,0,1,8,1,0,250,1,15
2019-2020',Bundesliga,Stuttgart,Tanguy Coulibaly,fr FRA,"FW,MF",20,12,326,282,43,1,2,1,14,38,0,239,1,10
2019-2020',LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,29,36,1137,897,238,39,0,3,0,0,0,936,2,0
2019-2020',EPL,Aston Villa,Philippe Coutinho,br BRA,"MF,FW",29,14.8,655,615,35,7,3,2,18,3,6,531,5,9
2019-2020',LaLiga,Barcelona,Philippe Coutinho,br BRA,"MF,FW",29,5.6,325,305,19,7,2,0,19,3,9,268,1,3
2019-2020',Ligue1,Montpellier,Nicolas Cozza,fr FRA,DF,22,30.8,1377,1247,129,22,0,5,24,106,0,1115,1,14
2019-2020',SerieA,Cagliari,Alessio Cragno,it ITA,GK,27,35,1216,752,454,138,0,2,0,0,0,775,10,0
2019-2020',EPL,West Ham,Aaron Cresswell,eng ENG,DF,31,30.3,2096,1736,350,67,0,6,145,232,51,1656,10,44
2019-2020',EPL,Leeds United,Charlie Cresswell,eng ENG,DF,18,1.6,106,104,1,1,0,2,1,0,0,75,1,1
2019-2020',SerieA,Genoa,Domenico Criscito,it ITA,DF,34,18,1008,836,161,52,2,6,50,92,7,774,11,13
2019-2020',SerieA,Roma,Bryan Cristante,it ITA,MF,26,29.8,1818,1734,79,71,3,18,14,8,0,1484,5,18
2019-2020',LaLiga,Real Sociedad,Cristo,es ESP,DF,21,0.2,11,9,2,0,0,0,2,2,0,10,0,0
2019-2020',Ligue1,Saint-Étienne,Enzo Crivelli,fr FRA,"FW,MF",26,1.1,21,17,4,0,0,0,0,0,0,13,0,1
2019-2020',SerieA,Venezia,Domen Črnigoj,si SVN,MF,25,20.9,677,650,25,4,0,3,30,21,0,494,2,31
2019-2020',SerieA,Empoli,Giovanni Crociata,it ITA,FW,23,0.2,9,9,0,0,0,0,0,0,0,7,0,0
2019-2020',LaLiga,Osasuna,Juan Cruz Armada,es ESP,DF,29,21.5,949,863,84,24,1,5,8,60,0,770,2,9
2019-2020',SerieA,Juventus,Juan Cuadrado,co COL,"DF,MF",33,27.6,1877,1648,224,57,1,31,134,112,55,1585,5,16
2019-2020',EPL,Watford,Cucho,co COL,"FW,MF",22,12.7,394,359,35,7,1,5,52,5,16,239,0,18
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',EPL,Brighton,Marc Cucurella,es ESP,DF,23,34.3,2356,1994,356,17,5,12,115,334,5,1890,6,76
2019-2020',LaLiga,Getafe,Marc Cucurella,es ESP,"MF,DF",23,0.3,21,18,3,1,0,0,2,0,2,15,0,1
2019-2020',LaLiga,Getafe,Jorge Cuenca,es ESP,DF,21,29.8,1108,1047,53,32,0,23,5,21,0,742,8,13
2019-2020',SerieA,Venezia,Mickaël Cuisance,fr FRA,MF,21,10.2,370,340,30,11,3,4,18,4,11,285,0,4
2019-2020',Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,MF,21,0.1,11,11,0,0,1,0,0,0,0,10,0,0
2019-2020',EPL,Wolves,Luke Cundle,eng ENG,MF,19,2,105,103,2,0,2,1,2,0,2,96,0,0
2019-2020',LaLiga,Atlético Madrid,Matheus Cunha,br BRA,FW,22,11.8,216,203,12,0,5,1,7,2,0,151,1,7
2019-2020',Bundesliga,Hertha BSC,Matheus Cunha,br BRA,FW,22,0.7,13,9,4,0,0,0,0,0,0,11,0,1
2019-2020',SerieA,Empoli,Patrick Cutrone,it ITA,FW,23,15.6,248,226,20,1,0,2,21,2,0,161,2,9
2019-2020',Ligue1,Nantes,Wylan Cyprien,fr FRA,MF,26,16.6,933,835,96,39,3,10,70,3,52,750,2,15
2019-2020',Bundesliga,Köln,Rafael Czichos,de GER,DF,31,15.6,1080,1030,48,46,2,7,3,1,0,879,2,15
2019-2020',Bundesliga,Arminia,Lennart-Marten Czyborra,de GER,DF,22,1.5,54,34,20,2,0,0,5,18,0,26,0,1
2019-2020',SerieA,Inter,Danilo D'Ambrosio,it ITA,DF,32,11.1,736,711,25,18,1,5,7,7,0,642,0,10
2019-2020',Ligue1,Nice,Lucas Da Cunha,fr FRA,MF,20,4.4,162,142,19,2,0,1,23,3,14,114,1,6
2019-2020',Ligue1,Clermont Foot,Lucas Da Cunha,fr FRA,"FW,MF",20,9.3,330,307,23,5,1,9,20,4,14,267,0,4
2019-2020',Ligue1,Lyon,Damien Da Silva,fr FRA,DF,33,12.5,896,880,13,12,1,3,1,1,0,786,3,3
2019-2020',Bundesliga,Hoffenheim,Moanes Dabbur,il ISR,"FW,MF",29,14.6,497,460,37,0,8,2,4,3,0,365,0,23
2019-2020',Ligue1,Paris S-G,Colin Dagba,fr FRA,DF,22,1.8,139,126,13,1,0,0,8,12,0,125,0,2
2019-2020',Bundesliga,Mainz 05,Finn Dahmen,de GER,GK,23,2,79,55,24,4,0,0,0,0,0,66,0,0
2019-2020',Bundesliga,Dortmund,Mahmoud Dahoud,de GER,MF,25,18.4,1063,1031,28,13,15,12,29,2,13,833,4,24
2019-2020',EPL,Leicester City,Patson Daka,zm ZAM,FW,22,12.9,223,204,19,0,1,0,1,2,0,165,0,9
2019-2020',EPL,Leeds United,Stuart Dallas,nir NIR,"DF,MF",30,32.4,1685,1355,322,45,7,9,101,224,53,1306,8,44
2019-2020',EPL,Manchester Utd,Diogo Dalot,pt POR,DF,22,20,1193,1001,189,16,2,9,58,171,2,934,3,19
2019-2020',SerieA,Sampdoria,Mikkel Damsgaard,dk DEN,"MF,FW",21,6.4,264,251,6,1,1,2,5,4,1,196,7,7
2019-2020',Ligue1,Nice,Flavius Daniliuc,at AUT,DF,20,14.4,877,781,96,16,0,7,7,80,0,771,0,5
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',SerieA,Juventus,Danilo,br BRA,"DF,MF",30,21,1480,1288,184,41,2,5,13,142,0,1270,8,15
2019-2020',LaLiga,Villarreal,Arnaut Danjuma,nl NED,FW,24,16.4,380,352,26,0,1,4,27,3,13,278,2,11
2019-2020',Ligue1,Lens,Kevin Danso,at AUT,DF,22,31,1875,1814,57,51,0,7,1,5,0,1615,4,10
2019-2020',Ligue1,Nice,Dante,br BRA,DF,37,31.9,2406,2352,53,49,0,17,3,4,0,2175,1,10
2019-2020',SerieA,Roma,Ebrima Darboe,gm GAM,MF,20,0.7,40,38,2,2,0,1,0,0,0,38,0,0
2019-2020',Bundesliga,Hertha BSC,Márton Dárdai,hu HUN,DF,19,8.4,375,338,34,21,0,4,8,6,7,265,3,2
2019-2020',LaLiga,Espanyol,Sergi Darder,es ESP,MF,27,34.7,1733,1627,98,47,8,33,70,5,30,1427,8,25
2019-2020',Bundesliga,Hertha BSC,Vladimír Darida,cz CZE,MF,30,19.8,946,847,94,37,2,9,64,14,29,680,5,35
2019-2020',EPL,Newcastle Utd,Karl Darlow,eng ENG,GK,30,8,250,151,98,36,0,4,0,0,0,155,1,0
2019-2020',SerieA,Inter,Matteo Darmian,it ITA,DF,31,16.7,671,545,123,3,2,1,37,120,0,534,3,22
2019-2020',EPL,Brentford,Josh Dasilva,eng ENG,"MF,FW",22,2.9,93,88,5,2,0,0,4,2,0,75,0,2
2019-2020',Ligue1,Lille,Jonathan David,ca CAN,FW,21,31.2,658,618,28,1,2,1,6,7,0,504,12,17
2019-2020',Bundesliga,Bayern Munich,Alphonso Davies,ca CAN,DF,20,19.3,1322,1147,175,24,4,7,41,151,0,1106,0,24
2019-2020',EPL,Tottenham,Ben Davies,wls WAL,DF,28,28.2,1648,1567,80,34,1,19,19,46,0,1391,1,28
2019-2020',EPL,Everton,Tom Davies,eng ENG,MF,23,2.6,82,81,0,0,1,0,0,0,0,60,1,8
2019-2020',EPL,Aston Villa,Keinan Davis,eng ENG,FW,23,0.1,3,3,0,0,0,0,0,0,0,3,0,0
2019-2020',SerieA,Hellas Verona,Paweł Dawidowicz,pl POL,DF,26,13.3,600,578,19,12,0,1,6,7,0,511,3,8
2019-2020',EPL,West Ham,Craig Dawson,eng ENG,DF,31,30.6,1285,1254,26,21,0,13,1,3,0,1035,5,8
2019-2020',EPL,Manchester City,Kevin De Bruyne,be BEL,MF,30,24.5,1568,1389,169,49,20,19,180,20,96,1170,10,29
2019-2020',Ligue1,Marseille,Konrad De La Fuente,us USA,"FW,MF",20,8.7,230,224,5,0,2,2,19,5,0,180,1,6
2019-2020',SerieA,Udinese,Sebastien De Maio,fr FRA,DF,34,2,74,72,2,2,0,0,0,0,0,55,0,0
2019-2020',SerieA,Atalanta,Tommaso De Nipoti,it ITA,FW,18,0.1,1,1,0,0,0,0,0,0,0,1,0,0
2019-2020',LaLiga,Atlético Madrid,Rodrigo De Paul,ar ARG,MF,27,23.9,1407,1265,134,68,21,31,92,17,46,1106,8,24
2019-2020',SerieA,Juventus,Mattia De Sciglio,it ITA,DF,28,13,681,562,115,13,1,8,52,93,9,541,4,16
2019-2020',SerieA,Bologna,Lorenzo De Silvestri,it ITA,DF,33,25.5,1353,1111,235,19,0,3,57,216,0,990,7,32
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2019-2020',Bundesliga,Bochum,Saulo Decarli,ch SUI,DF,29,0.1,6,6,0,0,0,0,0,0,0,6,0,0
2019-2020',EPL,Watford,Troy Deeney,eng ENG,FW,33,0.3,7,7,0,0,0,0,0,0,0,3,0,0
2019-2020',SerieA,Sassuolo,Grégoire Defrel,mq MTQ,FW,30,15.1,386,355,31,1,6,1,1,2,3,330,0,6
2019-2020',SerieA,Cagliari,Alessandro Deiola,it ITA,MF,25,23.7,774,753,16,14,0,11,12,0,1,590,5,21
2019-2020',Ligue1,Rennes,Romain Del Castillo,fr FRA,"MF,FW",25,0.3,16,13,3,3,0,0,0,0,0,12,0,1
2019-2020',Ligue1,Brest,Romain Del Castillo,fr FRA,"MF,FW",25,10.8,434,401,32,15,3,3,45,4,13,312,1,15
2019-2020',Ligue1,Metz,Thomas Delaine,fr FRA,DF,29,25.7,1156,910,243,11,3,3,111,231,1,849,3,35
2019-2020',LaLiga,Sevilla,Thomas Delaney,dk DEN,MF,29,17.2,810,789,15,12,2,7,14,3,0,619,6,15
2019-2020',Bundesliga,Dortmund,Thomas Delaney,dk DEN,MF,29,0.2,11,11,0,0,0,0,0,0,0,8,0,0
2019-2020',EPL,Manchester City,Liam Delap,eng ENG,FW,18,0.1,1,1,0,0,0,0,0,0,0,1,0,0
2019-2020',Ligue1,Montpellier,Sacha Delaye,fr FRA,"MF,FW",19,2.9,85,82,3,1,1,2,3,1,0,62,0,3
2019-2020',SerieA,Salernitana,Filippo Delli Carri,it ITA,DF,22,3.7,123,102,20,3,0,0,3,17,0,86,1,4
2019-2020',Ligue1,Nice,Andy Delort,dz ALG,FW,29,27.2,694,644,47,1,6,7,51,5,0,402,3,18
2019-2020',Ligue1,Montpellier,Andy Delort,dz ALG,FW,29,3,96,86,10,0,0,1,14,0,2,54,0,5
2019-2020',EPL,Everton,Fabian Delph,eng ENG,MF,31,7.4,309,304,4,3,2,0,1,1,0,259,1,5
2019-2020',Ligue1,Lyon,Moussa Dembélé,fr FRA,FW,25,24.5,442,402,37,4,5,2,2,6,0,291,3,19
2019-2020',LaLiga,Barcelona,Ousmane Dembélé,fr FRA,FW,24,15.7,824,754,67,9,11,10,144,11,47,601,3,25
2019-2020',LaLiga,Barcelona,Yusuf Demir,at AUT,FW,18,2.1,80,71,9,1,0,0,2,3,5,71,0,1
2019-2020',SerieA,Atalanta,Merih Demiral,tr TUR,DF,23,21.3,801,760,41,39,0,8,0,2,0,683,0,4
2019-2020',Bundesliga,Leverkusen,Kerem Demirbay,de GER,MF,28,22.8,1413,1207,201,71,6,21,152,10,116,1070,5,21
2019-2020',Bundesliga,Freiburg,Ermedin Demirović,ba BIH,FW,23,9.7,171,164,5,0,0,0,6,2,0,104,2,12
2019-2020',SerieA,Napoli,Diego Demme,de GER,MF,29,7.7,596,589,7,6,1,3,7,1,0,539,0,3
2019-2020',Ligue1,Lyon,Jason Denayer,be BEL,DF,26,11.1,738,711,26,22,0,3,1,3,0,690,1,3
2019-2020',EPL,Wolves,Leander Dendoncker,be BEL,MF,26,21.7,822,805,16,12,0,1,5,4,0,709,1,11
2019-2020',EPL,Watford,Emmanuel Dennis,ng NGA,"FW,MF",23,28.7,628,593,31,1,6,0,39,10,6,411,4,35
2019-2020',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
