Season,home_team,away_team,home_score,away_score,result,Age_difference,MP_difference,Starts_difference,90s_difference,Int Matches Played_difference,Int Starts_difference,Int Min_difference,Int 90s_difference,Int Goals_difference,Int Assists_difference,Int Non Penalty Goals_difference,Int Penalty Goals_difference,Int Penaltes Attempted_difference,Int Yellow Cards_difference,Int Red Cards_difference,Int Goals Per 90_difference,Int Assists Per 90_difference,Int Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Non Penalty Goals + Assits Per 90_difference,Goals_difference,Assists_difference,GoalsandAssists_difference,NonPenaltyGoals_difference,PenaltyGoals_difference,PenaltiesAttemped_difference,YelloCards_difference,RedCards_difference,PrgC_difference,ProgressiveCarries_x_difference,ProgressivePasses_difference,GoalsPer90_difference,AssistPer90_difference,GoalsandAssistPer90_difference,NonPenaltyGoalsPer90_difference,Total_Tackles_difference,Tackles_Won_difference,Tackles_Def_3rd_difference,Tackles_mid_3rd_difference,Tackles_Att_3rd_difference,Drib_Tackled_difference,Drib_Tackle_Lost_difference,Total_Blocks_difference,Shots_Blocked_difference,Passes_Blocked_difference,Interceptions_difference,Clearance_difference,Errors_to_shot_difference,SCA_difference,SCA90_difference,PassLive_difference,PassDead_difference,TO_difference,Sh_difference,Fld_difference,Def_difference,GCA_difference,GCA90_difference,GA_difference,GA90_difference,SoTA_difference,Saves_difference,Save%_difference,W_difference,D_difference,L_difference,CS_difference,CS%_difference,PKatt_x_difference,PKA_difference,PKsv_difference,Save%.1_difference,Live_difference,Dead_difference,FK_difference,TB_difference,Sw_difference,Crs_difference,TI_difference,CK_difference,Completed_difference,Offside_pass_difference,Blocked_difference,Cmp_difference,Att_difference,Cmp%_difference,TotDist_x_difference,PrgDist_difference,SP_Cmp_difference,SP_Att_difference,SP_Cmp%_difference,MP_Cmp_difference,MP_Att_difference,MP_Cmp%_difference,LP_Cmp_difference,LP_Att_difference,LP_Cmp%_difference,Touches_difference,TouchesDef Pen_difference,TouchesDef 3rd_difference,TouchesMid 3rd_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesLive_difference,DribblesAtt_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,Carries_difference,TotDist_y_difference,ProgressivegDist_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,CarriesPenArea_difference,Miscontrolled_difference,Dispossed_difference,Recievd _difference,ProgressiveReceive_difference,Shots_difference,ShotsOnTarget_difference,SoT%_difference,Sh/90_difference,SoT/90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,AvgShotDistance_difference,GoalsFromPenalties_difference,PKatt_y_difference
2023-2024,Scotland,Croatia,,,,0.15700000000000003,9.486,10.809,9.949000000000002,-1.3330000000000002,0.8330000000000002,88.16699999999997,1.0170000000000003,2.333,0.0,2.0,0.333,0.333,0.3999999999999999,0.0,0.16999999999999998,-0.177,0.013000000000000012,0.12699999999999995,-0.029999999999999916,-4.0,2.0,-3.333,-2.5,-1.5,-2.0,3.333,0.333,11.0,60.333,-1.0,-0.155,0.062,-0.133,-0.1,3.6670000000000016,-0.5,-2.1670000000000016,5.667000000000002,1.1669999999999998,1.5,19.167,-0.1670000000000016,-4.667,4.5,-0.8329999999999984,-50.167,-1.0,56.667,-7.49,47.333,5.4,0.0,0.5,0.5,0.33299999999999996,3.0,-0.21300000000000002,,,,,,,,,,,,,,,223.83300000000008,-11.400000000000006,-16.5,9.0,0.16699999999999982,30.4,2.299999999999997,15.0,169.83300000000008,2.333,3.5,169.83300000000008,161.83300000000008,-2.4000000000000057,1172.8329999999987,-837.6670000000004,174.0,172.16700000000003,-2.799999999999997,-25.33299999999997,-33.16700000000003,0.15000000000000568,0.3329999999999984,-5.667000000000002,-36.433,191.5,-61.833,-208.33300000000003,233.16699999999992,176.5,-30.667,191.5,26.167,9.332999999999998,-57.333,8.5,197.83300000000008,1135.0,140.33300000000008,11.0,23.5,-3.0,-9.5,19.333,324.8330000000001,-1.0,1.6670000000000016,-4.5,-9.683,-3.7699999999999996,-0.4630000000000001,-0.01999999999999999,0.027000000000000024,-3.7330000000000005,-1.5,-2.0
2023-2024,Germany,Denmark,,,,2.5529999999999973,-0.15700000000000003,4.66,4.626999999999999,-4.666,-4.5,-360.0,-4.0,-3.167,-0.6659999999999999,-3.167,0.0,0.0,-0.5329999999999999,0.0,-0.9800000000000001,0.74,0.019999999999999796,-0.9800000000000001,0.019999999999999796,3.0,3.0,5.834000000000001,2.833,-0.16699999999999998,0.0,1.75,0.166,21.833,91.333,99.834,0.09299999999999997,0.013000000000000012,0.21999999999999997,0.08799999999999997,8.625,5.832999999999998,5.225000000000001,1.5,3.167,-1.5,-11.332999999999998,5.625,5.574999999999999,-1.5,7.125,17.025000000000006,2.0,65.333,0.6449999999999996,37.333,23.0,2.667,2.1660000000000004,2.333,0.3340000000000001,8.665999999999999,0.18799999999999994,,,,,,,,,,,,,,,727.6669999999999,33.333,38.167,4.167,11.5,79.0,-41.25,59.667,652.1669999999999,2.5330000000000004,3.3329999999999984,652.1669999999999,766.0,1.2169999999999987,10804.5,6098.0,365.5,379.5,5.900000000000006,310.625,347.25,8.450000000000003,132.4,141.1,0.5660000000000025,754.6669999999999,624.5,344.70000000000005,391.8330000000001,372.66700000000003,52.5,754.3330000000001,25.0,15.0,43.775,11.0,517.0,2201.3329999999996,1206.875,21.833,21.0,11.0,9.834000000000003,8.5,743.1669999999999,99.834,20.834000000000003,5.5,-10.417000000000002,0.4979999999999998,0.129,-0.024999999999999994,0.030000000000000027,0.09999999999999787,-0.16699999999999998,0.0
2023-2024,England,Austria,,,,-0.10300000000000153,1.642000000000003,6.317,5.756999999999998,1.0,2.333,190.66700000000003,2.133,1.0,-0.33299999999999996,0.16700000000000004,0.16599999999999993,0.16599999999999993,-0.16700000000000004,0.1,0.419,-0.313,0.22799999999999998,0.05199999999999999,-0.183,10.667,1.5,14.5,8.167,1.375,1.25,-0.5,0.16699999999999998,44.25,20.333,116.75,-0.14,0.037000000000000005,-0.051999999999999935,-0.24,-10.5,-4.667000000000002,-11.667000000000002,-4.165999999999997,0.5,-4.5,-11.5,-11.5,-3.1999999999999993,-4.332999999999998,-13.332999999999998,-16.075000000000003,-0.6000000000000001,53.0,1.7270000000000003,26.75,4.25,5.875,5.333,2.25,0.8330000000000002,6.5,0.19999999999999996,,,,,,,,,,,,,,,-199.5,376.0,175.5,7.5,2.9670000000000005,20.75,7.625,25.125,-194.0,2.333,7.25,-194.0,-29.0,5.1000000000000085,9267.0,18349.0,1.16700000000003,-12.66700000000003,8.200000000000003,-187.5,-185.0,5.300000000000011,368.0,876.625,-0.8999999999999915,-183.0,973.5,963.0,-182.5,458.0,102.667,-183.0,52.5,26.75,36.1,21.25,-62.166999999999916,-12.5,536.0,44.25,26.375,38.75,18.083,14.582999999999998,-22.833000000000084,116.75,43.333,18.833,22.450000000000003,0.12700000000000022,0.07799999999999985,0.030000000000000027,-0.135,-2.867000000000001,1.375,1.25
2023-2024,Spain,Hungary,,,,-2.843,-0.5779999999999994,-0.49299999999999855,0.6780000000000008,-3.857,-5.333,-480.0,-5.333,-2.0,-2.143,-1.0,-1.0,-1.0,-2.0,-0.333,0.35,-0.15000000000000002,0.35,0.47,0.47,4.286,2.0,7.143000000000001,3.857,0.429,0.14300000000000002,-1.0,0.23799999999999993,12.0,26.857,9.286000000000001,0.20099999999999998,0.11999999999999997,0.33999999999999997,0.18700000000000003,9.286000000000001,1.5710000000000015,-1.5710000000000015,10.0,0.0,2.4289999999999985,-6.0,-13.213999999999999,0.26200000000000045,-16.0,5.286000000000001,5.7620000000000005,0.857,-30.570999999999998,-1.0859999999999999,-19.143,-12.857,3.857,-5.143,-1.8570000000000002,1.047,2.4290000000000003,0.16000000000000003,,,,,,,,,,,,,,,248.28600000000006,38.333,36.0,2.0,5.856999999999999,-48.0,16.214,-40.429,185.5709999999999,-1.0,-5.0,185.5709999999999,146.71399999999994,1.507000000000005,4552.0,8020.6669999999995,31.14300000000003,18.85699999999997,9.299999999999997,122.71400000000006,122.42899999999997,11.966999999999999,80.667,278.667,13.599999999999994,149.28600000000006,635.3340000000001,567.0,233.71399999999994,-216.57100000000003,30.570999999999998,149.14300000000003,11.0,7.286000000000001,17.5,10.0,145.5709999999999,488.71399999999994,116.28600000000006,12.0,-13.0,6.0,4.0,-1.7139999999999986,232.5709999999999,9.286000000000001,-8.143,0.8569999999999993,-10.099999999999994,-0.052999999999999936,0.009999999999999898,0.06899999999999999,0.14,-5.486000000000001,0.429,0.14300000000000002
2023-2024,Netherlands,Slovakia,,,,-4.956000000000003,-2.081000000000003,-2.5229999999999997,-2.2699999999999996,-4.571,-6.154,-549.857,-6.1,-0.5,-0.731,0.0,-0.33299999999999996,0.0,-0.46199999999999997,0.0,0.47200000000000003,0.182,0.472,0.485,0.48500000000000004,9.0,2.4290000000000003,9.5,9.0,0.33299999999999996,0.75,-3.667,-0.833,37.786,30.357,74.75,0.40800000000000003,0.14500000000000002,0.527,0.408,-1.0,-5.0,-1.1670000000000016,-5.5,-0.3330000000000002,-3.8329999999999984,-3.1670000000000016,4.5,-6.885,6.167000000000002,8.332999999999998,-7.537999999999997,0.0,28.786,2.183,17.714,8.713999999999999,4.333,2.5,0.5,-1.214,8.214,0.44200000000000006,3.6670000000000016,-0.357,7.332999999999998,4.332999999999998,-0.9669999999999987,1.0,4.667,1.6669999999999998,0.3330000000000002,-4.5,-1.3330000000000002,-0.6669999999999998,-0.667,-14.433,-41.333000000000084,84.0,12.167000000000002,3.7140000000000004,-6.0,21.357,63.230999999999995,17.714,18.03800000000001,1.8570000000000002,4.356999999999999,18.03800000000001,-41.88499999999999,-1.6810000000000116,78.73099999999977,8986.667,-28.33299999999997,-12.16700000000003,0.7669999999999959,54.423,86.346,-0.03300000000000125,110.333,316.0,-2.0360000000000014,-70.5,406.33299999999997,497.0,-218.66699999999992,206.85699999999997,96.25,-70.0,17.167,9.571000000000002,26.35,6.167000000000002,54.346000000000004,566.357,964.308,37.786,22.0,20.333,10.25,3.0710000000000015,36.96199999999999,74.75,19.75,14.75,16.283,1.215,0.8780000000000001,0.13,0.272,-5.771000000000001,0.33299999999999996,0.75
2023-2024,Portugal,Italy,,,,1.1850000000000023,-1.4079999999999977,1.501999999999999,1.4619999999999997,-1.25,-2.0,-194.0,-2.2,1.107,2.25,1.107,0.0,0.125,1.333,0.0,-0.25,0.01100000000000001,0.08199999999999996,-0.25,0.08199999999999996,1.8209999999999997,2.5,2.8209999999999997,3.4290000000000003,-0.857,-0.75,5.0,-0.5,32.1,-101.0,19.05000000000001,0.17600000000000005,0.058000000000000024,0.22299999999999998,0.259,80.0,34.0,47.0,32.0,1.0,75.0,27.0,21.0,2.333,18.0,17.8,6.6000000000000085,-1.0,23.75,0.6169999999999995,7.0,3.5500000000000007,3.4000000000000004,-4.0,1.0,0.0,-2.25,0.295,22.5,0.6150000000000001,21.0,1.0,-14.700000000000003,-6.5,0.0,10.5,-5.0,-21.25,1.5,2.0,-1.0,-25.0,-510.3330000000001,89.733,22.933,2.125,-1.0,22.099999999999994,40.8,12.149999999999999,-239.0,0.5,-13.5,-239.0,-409.8330000000001,-2.6670000000000016,-5269.0,465.0,-70.5,-120.0,-0.45000000000000284,-91.0,-120.0,-0.14999999999999147,-3.0,155.5,-7.599999999999994,-483.5,91.5,84.5,-474.1669999999999,236.14999999999998,34.893,-483.5,10.650000000000006,5.25,0.0,6.199999999999999,-152.83300000000008,-585.8329999999996,239.5,32.1,-1.0,14.5,-5.429000000000002,-2.6789999999999985,-444.1669999999999,19.05000000000001,2.5,3.5710000000000015,4.329999999999998,0.3839999999999999,0.30900000000000005,0.04100000000000001,0.035999999999999976,0.29999999999999716,-0.857,-0.75
2023-2024,Belgium,Slovenia,,,,-0.6519999999999975,-8.138000000000002,-10.009,-10.838000000000005,-8.333,-8.6,-739.4,-8.22,-4.6,-1.667,-2.6,-2.0,-2.0,0.333,0.0,-0.15299999999999997,0.14,-0.27,0.08700000000000002,-0.030000000000000027,2.3329999999999984,4.333,6.667000000000002,1.6669999999999998,0.667,1.333,-0.5,0.333,82.667,44.599999999999994,200.0,-0.2729999999999999,0.097,-0.15999999999999992,-0.29699999999999993,-15.399999999999999,-10.8,-20.0,2.0,4.0,-7.800000000000001,1.0,-12.600000000000001,-11.6,-2.3999999999999986,-3.8000000000000007,-89.6,2.0,63.333,1.6,46.667,4.2,3.333,7.0,2.5999999999999996,1.0,4.333,0.05400000000000005,-10.0,0.4950000000000001,-56.0,-44.0,-8.199999999999996,-18.0,1.0,-0.5,-10.5,-23.050000000000004,0.0,0.5,0.0,0.0,52.39999999999998,-176.5,-20.5,3.4000000000000004,-0.20000000000000018,54.333,83.8,19.2,14.799999999999955,0.6000000000000001,18.667,14.799999999999955,-73.60000000000002,4.316999999999993,-6126.0,-4627.5,193.0,231.0,-0.5,-43.19999999999999,2.0,-0.5499999999999972,-31.0,-94.5,3.460000000000001,40.333000000000084,-450.0,-394.5,118.79999999999995,432.66700000000003,90.0,39.0,52.333,24.0,-38.24,23.333,176.33299999999997,1619.3329999999996,679.0,82.667,38.667,29.0,29.667,-2.3329999999999984,321.66700000000003,200.0,45.667,14.332999999999998,-11.367000000000004,0.42700000000000005,-0.11999999999999988,-0.127,-0.15000000000000008,8.024999999999999,0.667,1.333
2023-2024,France,Turkey,,,,1.649000000000001,8.844999999999999,11.881,11.285,-2.0,-1.0,-72.333,-0.7999999999999998,0.0,-0.16699999999999998,-0.25,0.333,0.333,-1.0,0.0,0.14700000000000002,-0.013000000000000012,0.132,-0.11499999999999999,-0.128,10.5,5.333,15.75,8.0,2.5,3.25,3.0,0.667,62.334,86.667,169.25,-0.395,0.068,-0.3999999999999999,-0.495,24.667,13.667000000000002,7.667000000000002,19.667,4.333,12.0,13.667000000000002,4.167000000000002,1.5,6.667000000000002,4.5,-4.417000000000002,2.0,73.667,0.9569999999999999,50.333,8.5,6.5,3.0,4.0,2.333,11.5,0.04299999999999993,,,,,,,,,,,,,,,1087.25,147.333,27.792,6.333,2.083,67.333,50.083,44.667,1086.708,9.667,15.665999999999999,1086.708,1180.875,7.38300000000001,17516.5,12722.332999999999,532.0830000000001,558.8330000000001,10.099999999999994,481.25,509.375,9.932999999999993,192.667,312.33299999999997,9.25,1227.0,856.667,841.0,691.083,467.16700000000003,127.75,1226.75,66.5,31.833,47.5,32.167,957.333,5014.875,2960.292,62.334,40.0,32.75,44.5,19.0,986.083,169.25,54.75,22.0,-3.6670000000000016,-1.7600000000000002,-0.613,-0.07799999999999999,-0.21700000000000003,1.75,2.5,3.25
