Season,home_team,away_team,home_score,away_score,result,Age_difference,MP_difference,Starts_difference,90s_difference,Int Matches Played_difference,Int Starts_difference,Int Min_difference,Int 90s_difference,Int Goals_difference,Int Assists_difference,Int Non Penalty Goals_difference,Int Penalty Goals_difference,Int Penaltes Attempted_difference,Int Yellow Cards_difference,Int Red Cards_difference,Int Goals Per 90_difference,Int Assists Per 90_difference,Int Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Non Penalty Goals + Assits Per 90_difference,Goals_difference,Assists_difference,GoalsandAssists_difference,NonPenaltyGoals_difference,PenaltyGoals_difference,PenaltiesAttemped_difference,YelloCards_difference,RedCards_difference,PrgC_difference,ProgressiveCarries_x_difference,ProgressivePasses_difference,GoalsPer90_difference,AssistPer90_difference,GoalsandAssistPer90_difference,NonPenaltyGoalsPer90_difference,Total_Tackles_difference,Tackles_Won_difference,Tackles_Def_3rd_difference,Tackles_mid_3rd_difference,Tackles_Att_3rd_difference,Drib_Tackled_difference,Drib_Tackle_Lost_difference,Total_Blocks_difference,Shots_Blocked_difference,Passes_Blocked_difference,Interceptions_difference,Clearance_difference,Errors_to_shot_difference,SCA_difference,SCA90_difference,PassLive_difference,PassDead_difference,TO_difference,Sh_difference,Fld_difference,Def_difference,GCA_difference,GCA90_difference,GA_difference,GA90_difference,SoTA_difference,Saves_difference,Save%_difference,W_difference,D_difference,L_difference,CS_difference,CS%_difference,PKatt_x_difference,PKA_difference,PKsv_difference,Save%.1_difference,Live_difference,Dead_difference,FK_difference,TB_difference,Sw_difference,Crs_difference,TI_difference,CK_difference,Completed_difference,Offside_pass_difference,Blocked_difference,Cmp_difference,Att_difference,Cmp%_difference,TotDist_x_difference,PrgDist_difference,SP_Cmp_difference,SP_Att_difference,SP_Cmp%_difference,MP_Cmp_difference,MP_Att_difference,MP_Cmp%_difference,LP_Cmp_difference,LP_Att_difference,LP_Cmp%_difference,Touches_difference,TouchesDef Pen_difference,TouchesDef 3rd_difference,TouchesMid 3rd_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesLive_difference,DribblesAtt_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,Carries_difference,TotDist_y_difference,ProgressivegDist_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,CarriesPenArea_difference,Miscontrolled_difference,Dispossed_difference,Recievd _difference,ProgressiveReceive_difference,Shots_difference,ShotsOnTarget_difference,SoT%_difference,Sh/90_difference,SoT/90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,AvgShotDistance_difference,GoalsFromPenalties_difference,PKatt_y_difference
2023-2024,Croatia,Germany,,,,-3.076999999999998,-7.594999999999999,-9.250000000000002,-8.806000000000001,3.333,1.5,130.5,1.4500000000000002,0.5,0.33299999999999996,0.5,0.0,0.0,0.33299999999999996,0.0,-0.6,-0.69,-1.31,-0.6,-1.31,-2.667,-6.0,-8.167000000000002,-4.0,1.167,1.5,-2.25,-0.333,-34.833,-102.333,-117.167,-0.09499999999999997,-0.268,-0.343,-0.14499999999999996,-5.125,-4.832999999999998,-3.125,-4.0,-3.167,-6.5,-10.167000000000002,-5.125,-2.375,-4.5,-4.625,-12.125,-1.0,-89.333,5.83,-56.0,-30.333,-5.667,-4.333,-1.5,-0.667,-12.332999999999998,-0.22799999999999992,,,,,,,,,,,,,,,-674.1669999999999,-82.333,-35.167,-7.667,-10.5,-130.0,-9.75,-81.667,-702.1669999999999,-5.333,-7.832999999999998,-702.1669999999999,-761.5,-1.4669999999999987,-10592.5,-7257.5,-428.0,-425.5,-5.300000000000011,-323.125,-351.25,-9.0,-124.0,-155.5,26.367000000000004,-714.1669999999999,-627.0,-404.5,-410.8330000000001,-360.16700000000003,-55.833,-713.8330000000001,-59.0,-31.5,0.0,-22.0,-561.5,-2657.3329999999996,-1534.375,-34.833,-31.5,-17.5,-10.667000000000002,-19.5,-754.1669999999999,-117.167,-26.167,-11.332999999999998,2.200000000000003,2.842,-0.10199999999999987,-0.018000000000000016,-0.11000000000000004,2.7330000000000005,1.167,1.5
2023-2024,England,Spain,,,,0.6379999999999981,-0.8339999999999996,3.5839999999999996,3.408999999999999,3.857,5.333,480.0,5.333,0.5,-0.18999999999999995,-0.33299999999999996,0.833,0.833,-0.16700000000000004,0.1,-0.10799999999999998,-0.243,-0.367,-0.518,-0.778,7.881,1.0,8.857,5.81,2.071,1.357,0.0,-0.07099999999999995,4.25,-19.024,38.214,0.23399999999999999,-0.05799999999999997,0.20300000000000007,0.14799999999999996,-1.7860000000000014,-0.2380000000000031,-3.096,-1.8329999999999984,0.0,-2.9289999999999985,-8.5,6.213999999999999,0.8710000000000004,5.167000000000002,0.3810000000000002,-7.629000000000005,-0.4570000000000001,33.071,1.108,16.893,3.8569999999999993,0.8929999999999998,3.476,2.857,0.6190000000000002,3.0709999999999997,-0.050000000000000044,29.0,0.553,88.667,62.0,1.1670000000000016,-4.0,3.333,11.667,-0.3330000000000002,-17.766999999999996,5.333,7.0,-1.333,-54.15,-332.78600000000006,290.66700000000003,153.0,6.0,-11.556999999999999,8.25,-20.214,19.679,-264.5709999999999,0.3330000000000002,4.75,-264.5709999999999,-120.71399999999994,8.043000000000006,8115.0,13438.333,-83.476,-106.024,0.7000000000000028,-108.71400000000006,-111.92899999999997,-2.066999999999993,282.33299999999997,583.3330000000001,-3.6499999999999915,-271.28600000000006,391.33299999999997,602.667,-269.21399999999994,289.571,52.096000000000004,-271.14300000000003,28.75,15.213999999999999,39.6,3.75,-153.73799999999983,50.28600000000006,892.7139999999999,4.25,9.0,20.75,10.332999999999998,15.546999999999997,-233.404,38.214,30.476,12.975999999999999,21.799999999999997,0.5550000000000002,0.373,0.20600000000000002,0.15999999999999998,2.6189999999999998,2.071,1.357
2023-2024,Netherlands,Portugal,,,,-2.0400000000000027,-0.5460000000000029,-0.2729999999999997,-0.3360000000000021,-2.3209999999999997,-3.154,-265.857,-2.9,-1.25,-2.231,-1.25,0.167,0.25,-1.462,0.0,0.027000000000000024,0.01200000000000001,-0.14,-0.030000000000000027,-0.19699999999999995,1.75,-1.0709999999999997,1.25,1.5,-0.16700000000000004,0.0,-7.667,-0.33299999999999996,-14.213999999999999,49.857,-18.0,-0.05700000000000005,0.01200000000000001,0.0020000000000000018,-0.06000000000000005,-93.0,-41.0,-57.667,-33.0,-2.333,-79.333,-23.667,-23.0,-4.385,-22.333,-9.667000000000002,-17.205,-1.0,13.536000000000001,0.6980000000000004,6.713999999999999,5.963999999999999,-1.6669999999999998,1.5,0.0,-0.714,0.9640000000000004,-0.07299999999999995,3.1670000000000016,0.09799999999999986,6.332999999999998,1.3329999999999984,0.03300000000000125,-1.5,2.667,-0.8330000000000002,0.3330000000000002,-0.5500000000000007,-1.8330000000000002,-1.6669999999999998,0.333,5.567,-42.0,35.0,17.667,0.4640000000000004,-9.0,-37.643,-70.769,-7.036000000000001,-34.46199999999999,-1.6429999999999998,-3.6430000000000007,-34.46199999999999,-66.55199999999991,1.9359999999999928,-509.76900000000023,5996.6669999999995,-45.83299999999997,-31.66700000000003,0.31699999999999307,10.923000000000002,-1.1539999999999964,0.016999999999995907,103.333,150.5,5.013999999999996,-85.5,179.83299999999997,276.5,29.5,-134.89300000000003,10.0,-85.5,-12.582999999999998,-1.6789999999999985,-12.5,-8.832999999999998,-118.32099999999991,-563.3100000000004,-657.192,-14.213999999999999,9.0,-8.667000000000002,7.25,1.8210000000000015,-51.371000000000095,-18.0,3.75,3.25,3.983000000000004,-0.052999999999999936,0.09800000000000009,-0.0020000000000000018,0.0,0.028999999999999915,-0.16700000000000004,0.0
2023-2024,Belgium,France,,,,1.032,-2.1020000000000003,-2.771000000000001,-2.966000000000001,-0.33299999999999996,-0.6000000000000001,-74.4,-0.8200000000000001,-0.09999999999999998,0.0,0.15000000000000002,-0.333,-0.333,0.333,0.0,-0.065,0.118,-0.20200000000000007,0.197,0.05799999999999994,1.8329999999999984,0.0,1.9170000000000016,3.667,-1.833,-1.917,-4.5,-0.667,24.0,-64.06700000000001,102.25,-0.03799999999999992,-0.12600000000000003,-0.08499999999999996,0.038000000000000034,-29.4,-19.467000000000002,-15.0,-18.0,2.0,-13.8,-10.667000000000002,-5.100000000000001,-3.0999999999999996,-2.067,-9.3,-16.85,0.0,6.665999999999997,-1.0869999999999997,8.334000000000003,-4.8,1.3330000000000002,2.5,-0.9000000000000004,-2.0,-1.6669999999999998,-0.16899999999999993,-1.0,0.45500000000000007,-32.0,-29.0,-14.899999999999999,-13.0,0.0,4.5,-7.5,-23.35,-5.0,-5.5,0.0,0.0,-1053.85,-18.5,0.375,-0.9329999999999998,-4.95,-18.667,10.049999999999997,-28.467000000000002,-1012.575,-7.4,8.334000000000003,-1012.575,-1082.475,-7.833000000000013,-16152.5,-6697.5,-422.75,-410.5,0.0,-476.45,-492.375,-0.8499999999999943,-62.0,-56.5,-13.29,-1130.667,-396.0,-581.5,-691.95,119.0,25.75,-1131.75,4.332999999999998,2.6670000000000016,-38.24,-1.3340000000000032,-793.667,-3242.5420000000004,-1999.625,24.0,-3.0,7.75,6.167000000000002,9.167000000000002,-753.083,102.25,18.917,10.332999999999998,-0.10000000000000142,0.01200000000000001,0.14800000000000013,0.005999999999999978,0.0020000000000000018,-1.4250000000000007,-1.833,-1.917
