year,hname,aname,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves
2003,Bosnia and Herzegovina,Luxembourg,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2003,Netherlands,Czech Republic,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,France,Malta,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Italy,Finland,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Estonia,Bulgaria,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Croatia,Andorra,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Georgia,Switzerland,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Albania,Republic of Ireland,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Slovakia,Liechtenstein,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
2003,Denmark,Bosnia and Herzegovina,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Israel,France,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Lithuania,Scotland,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2003,Luxembourg,Norway,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Moldova,Netherlands,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Poland,San Marino,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Hungary,Sweden,1,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0
2003,Slovenia,Cyprus,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Czech Republic,Austria,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
2003,England,Turkey,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Northern Ireland,Greece,0,2,0,0,0,0,0,0,3,3,2,0,0,0,0,0
2003,Spain,Armenia,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Andorra,Estonia,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Georgia,Russia,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Latvia,San Marino,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Israel,Cyprus,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Malta,Slovenia,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Republic of Ireland,Albania,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Scotland,Germany,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0
2003,Estonia,Andorra,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2003,Finland,Serbia & Montenegro,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2003,Iceland,Faroe Islands,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Moldova,Austria,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Ukraine,Armenia,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Bulgaria,Belgium,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Malta,Cyprus,1,2,0,0,0,0,0,0,3,3,1,0,0,0,0,0
2003,Romania,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Denmark,Norway,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Belarus,Netherlands,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,North Macedonia,Liechtenstein,3,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2003,San Marino,Sweden,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Hungary,Latvia,3,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0
2003,Israel,Slovenia,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
2003,Slovakia,Turkey,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Switzerland,Russia,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2003,Spain,Greece,0,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0
2003,Azerbaijan,Serbia & Montenegro,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2003,Estonia,Croatia,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2003,Lithuania,Iceland,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2003,Norway,Romania,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2003,Finland,Italy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Greece,Ukraine,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Luxembourg,Denmark,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,San Marino,Hungary,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2003,Sweden,Poland,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Turkey,North Macedonia,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Belgium,Andorra,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Czech Republic,Moldova,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
2003,Switzerland,Albania,3,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2003,Austria,Belarus,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Republic of Ireland,Georgia,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Faroe Islands,Germany,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2003,England,Slovakia,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2003,Northern Ireland,Spain,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Faroe Islands,Iceland,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Serbia & Montenegro,Wales,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
2003,Andorra,Croatia,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2003,Azerbaijan,Finland,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2003,Scotland,Faroe Islands,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Sweden,San Marino,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Bulgaria,Estonia,2,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0
2003,Georgia,Albania,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,Republic of Ireland,Russia,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2003,Belarus,Czech Republic,1,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2003,Armenia,Greece,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2003,Ukraine,Northern Ireland,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2003,North Macedonia,England,1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2003,Romania,Luxembourg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Iceland,Germany,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2003,Latvia,Poland,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0
2003,Liechtenstein,Turkey,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Bosnia and Herzegovina,Norway,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
2003,Slovenia,Israel,3,1,0,0,0,0,0,0,2,4,0,2,0,0,0,0
2003,Netherlands,Austria,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,France,Cyprus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Italy,Wales,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Israel,Malta,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Andorra,Bulgaria,0,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0
2003,Moldova,Belarus,2,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Russia,Switzerland,4,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0
2003,Denmark,Romania,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2003,Faroe Islands,Lithuania,1,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0
2003,Albania,Georgia,3,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0
2003,Latvia,Hungary,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Luxembourg,Bosnia and Herzegovina,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2003,Belgium,Croatia,2,1,0,0,0,0,0,0,2,5,0,1,0,0,0,0
2003,Czech Republic,Netherlands,3,1,0,0,0,0,0,0,4,3,0,1,0,0,0,0
2003,Poland,Sweden,0,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0
2003,Slovakia,North Macedonia,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,Germany,Scotland,2,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0
2003,Serbia & Montenegro,Italy,1,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0
2003,Slovenia,France,0,2,0,0,0,0,0,0,2,3,0,1,0,0,0,0
2003,Wales,Finland,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
2003,England,Liechtenstein,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Northern Ireland,Armenia,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Spain,Ukraine,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Austria,Czech Republic,2,3,0,0,0,0,0,0,4,1,1,0,0,0,0,0
2003,Germany,Iceland,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
2003,Hungary,Poland,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Scotland,Lithuania,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2003,Sweden,Latvia,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2003,Russia,Georgia,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2003,Switzerland,Republic of Ireland,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2003,Armenia,Spain,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2003,Bosnia and Herzegovina,Denmark,1,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0
2003,Greece,Northern Ireland,1,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0
2003,Norway,Luxembourg,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Cyprus,Slovenia,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Turkey,England,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Liechtenstein,Slovakia,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Belgium,Estonia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Croatia,Bulgaria,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2003,Netherlands,Moldova,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2003,France,Israel,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Italy,Azerbaijan,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Wales,Serbia & Montenegro,2,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2003,Scotland,Netherlands,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2003,Russia,Wales,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
2003,Croatia,Slovenia,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2003,Latvia,Turkey,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0
2003,Spain,Norway,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
