Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,Jakub B?aszczykowski,MF,pl Poland,30,1985,5,4,443,4.9,2,1,3,2,0,0,0,0,0.41,0.2,0.61,0.41,0.61
2016,Yohan Cabaye,MF,fr France,30,1986,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Gary Cahill,DF,eng England,30,1985,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Hakan Çalhano?lu,FW,tr Türkiye,21,1994,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Emre Can,MF,de Germany,22,1994,1,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Lorik Cana,DF,al Albania,32,1983,2,1,44,0.5,0,0,0,0,0,0,2,1,0,0,0,0,0
2016,Antonio Candreva,MF,it Italy,28,1987,2,2,180,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5
2016,Yannick Carrasco,MF,be Belgium,22,1993,5,3,213,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42
2016,Ricardo Carvalho,DF,pt Portugal,37,1978,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,William Carvalho,MF,pt Portugal,23,1992,5,5,509,5.7,0,0,0,0,0,0,3,0,0,0,0,0,0
2016,Craig Cathcart,DF,nir Northern Ireland,26,1989,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Petr ?ech,GK,cz Czechia,33,1982,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,James Chester,DF,wls Wales,27,1989,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Giorgio Chiellini,DF,it Italy,31,1984,4,4,389,4.3,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23
2016,Alexandru Chipciu,MF,ro Romania,26,1989,2,1,109,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Vlad Chiriche?,DF,ro Romania,26,1989,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Simon Church,FW,wls Wales,27,1988,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sokol Cikalleshi,"FW,MF",al Albania,25,1990,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Laurent Ciman,DF,be Belgium,30,1985,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
