Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2018-2019,LaLiga,Girona,Pedro Alcalá,es ESP,DF,29,20.8,686,869,78.9,14910,5012,168,200,84,408,462,88.3,106,190,55.8
2018-2019,LaLiga,Girona,Aleix García,es ESP,MF,21,18.5,945,1160,81.5,16792,5006,425,467,91,351,417,84.2,126,205,61.5
2018-2019,LaLiga,Girona,Jonás Ramalho,es ESP,DF,25,18,651,804,81,11952,4500,248,273,90.8,338,376,89.9,56,116,48.3
2018-2019,LaLiga,Girona,Douglas Luiz,br BRA,MF,20,16.6,619,746,83,12097,3567,246,274,89.8,260,301,86.4,99,143,69.2
2018-2019,LaLiga,Girona,Marc Muniesa,es ESP,"DF,MF",26,15.6,687,866,79.3,12414,5269,282,315,89.5,314,373,84.2,73,133,54.9
2018-2019,LaLiga,Girona,Valery,es ESP,"DF,FW",18,9.9,320,404,79.2,4703,1543,192,206,93.2,100,143,69.9,19,33,57.6
2018-2019,LaLiga,Girona,Raúl García,es ESP,DF,29,9.4,346,502,68.9,5573,2591,187,218,85.8,119,163,73,31,88,35.2
2018-2019,LaLiga,Girona,Aday,es ESP,"DF,MF",30,7.2,227,320,70.9,4254,1386,105,117,89.7,86,123,69.9,30,63,47.6
2018-2019,LaLiga,Girona,Anthony Lozano,hn HON,"FW,MF",25,8.1,122,190,64.2,1500,374,76,99,76.8,27,44,61.4,5,19,26.3
2018-2019,LaLiga,Girona,Patrick Roberts,eng ENG,"MF,FW",21,6.7,150,188,79.8,2175,536,77,96,80.2,54,65,83.1,9,12,75
2018-2019,LaLiga,Girona,Gorka Iraizoz,es ESP,GK,37,6.2,156,231,67.5,5094,3857,10,10,100,67,70,95.7,79,151,52.3
2018-2019,LaLiga,Girona,Seydou Doumbia,ci CIV,FW,30,6,50,71,70.4,577,124,25,35,71.4,13,17,76.5,2,2,100
2018-2019,LaLiga,Girona,Carles Planas,es ESP,DF,27,4.7,162,230,70.4,2560,865,87,103,84.5,60,80,75,11,36,30.6
2018-2019,LaLiga,Girona,David Timor,es ESP,MF,28,1.8,74,87,85.1,1622,527,21,24,87.5,39,44,88.6,14,17,82.4
2018-2019,LaLiga,Girona,Kévin Soni,cm CMR,"FW,DF",20,0.9,18,24,75,212,25,11,12,91.7,6,9,66.7,0,2,0
2018-2019,LaLiga,Girona,Paik Seung-ho,kr KOR,"FW,MF",21,0.7,17,20,85,273,83,13,14,92.9,1,1,100,2,3,66.7
2018-2019,LaLiga,Girona,Johan Mojica,co COL,"FW,MF",25,0.2,6,9,66.7,141,57,4,5,80,0,1,0,2,3,66.7
2018-2019,LaLiga,Huesca,Moi Gómez,es ESP,MF,24,33.9,1210,1546,78.3,22702,7355,512,581,88.1,464,565,82.1,193,314,61.5
2018-2019,LaLiga,Huesca,Jorge Pulido,es ESP,DF,27,30.9,788,1069,73.7,14787,5946,300,352,85.2,383,475,80.6,87,191,45.5
2018-2019,LaLiga,Huesca,Xabier Etxeita,es ESP,DF,30,29.7,666,899,74.1,13694,6134,220,253,87,327,404,80.9,112,213,52.6
2018-2019,LaLiga,Huesca,Jorge Miramón,es ESP,DF,29,27.7,981,1339,73.3,17740,8549,452,518,87.3,377,506,74.5,123,229,53.7
2018-2019,LaLiga,Huesca,Cucho,co COL,FW,19,23.9,404,607,66.6,6293,1633,219,285,76.8,104,154,67.5,48,77,62.3
2018-2019,LaLiga,Huesca,David Ferreiro,es ESP,"MF,FW",30,25.3,647,1042,62.1,11351,3711,305,367,83.1,229,353,64.9,86,246,35
2018-2019,LaLiga,Huesca,Ezequiel Ávila,ar ARG,"FW,MF",24,22.2,296,583,50.8,5882,2026,140,226,61.9,88,173,50.9,56,115,48.7
2018-2019,LaLiga,Huesca,Roberto Santamaría,es ESP,GK,33,20,308,588,52.4,15093,13705,11,11,100,55,57,96.5,242,515,47
2018-2019,LaLiga,Huesca,Damián Musto,ar ARG,"MF,DF",31,18.7,626,785,79.7,11162,3517,279,337,82.8,237,273,86.8,75,118,63.6
2018-2019,LaLiga,Huesca,Cristian Rivera,es ESP,MF,21,18.8,546,696,78.4,9633,2737,243,286,85,222,260,85.4,61,90,67.8
2018-2019,LaLiga,Huesca,Enric Gallego,es ESP,FW,31,17.1,209,387,54,2578,729,132,215,61.4,50,100,50,6,17,35.3
2018-2019,LaLiga,Huesca,Javi Galán,es ESP,"DF,FW",23,16,402,631,63.7,6147,3031,229,273,83.9,135,220,61.4,28,85,32.9
2018-2019,LaLiga,Huesca,Gonzalo Melero,es ESP,MF,24,14.9,619,723,85.6,9552,2630,331,370,89.5,208,240,86.7,47,59,79.7
2018-2019,LaLiga,Huesca,Yangel Herrera,ve VEN,"MF,DF",20,12.8,352,474,74.3,5257,1964,204,247,82.6,106,138,76.8,25,55,45.5
2018-2019,LaLiga,Huesca,Aleksandar Jovanović,rs SRB,GK,25,12,158,334,47.3,6179,5269,15,16,93.8,48,50,96,95,266,35.7
2018-2019,LaLiga,Huesca,Carlos Akapo,gq EQG,DF,25,11.4,332,443,74.9,4988,1943,189,217,87.1,100,141,70.9,26,47,55.3
2018-2019,LaLiga,Huesca,Álex Gallar,es ESP,"MF,FW",26,11.2,326,463,70.4,5693,2070,151,189,79.9,111,150,74,44,76,57.9
2018-2019,LaLiga,Huesca,Pablo Insua,es ESP,DF,24,8.6,192,246,78,4187,1458,42,58,72.4,114,132,86.4,32,48,66.7
2018-2019,LaLiga,Huesca,Rúben Semedo,pt POR,DF,24,9.4,313,361,86.7,6760,2435,74,84,88.1,183,198,92.4,52,69,75.4
2018-2019,LaLiga,Huesca,Adrián Diéguez,es ESP,DF,22,8.3,151,208,72.6,2766,1141,65,76,85.5,68,86,79.1,15,41,36.6
2018-2019,LaLiga,Huesca,Juanpi,ve VEN,"MF,FW",24,7.4,169,235,71.9,2681,808,84,100,84,52,73,71.2,18,38,47.4
2018-2019,LaLiga,Huesca,Martín Mantovani,ar ARG,DF,34,7.8,180,226,79.6,3128,1247,80,86,93,81,104,77.9,14,25,56
2018-2019,LaLiga,Huesca,Samuele Longo,it ITA,FW,26,6.2,52,83,62.7,637,179,33,45,73.3,11,22,50,2,4,50
2018-2019,LaLiga,Huesca,Axel Werner,ar ARG,GK,22,6,84,177,47.5,3228,2672,3,3,100,31,32,96.9,50,142,35.2
2018-2019,LaLiga,Huesca,Luisinho,pt POR,DF,33,5.6,206,246,83.7,3264,1059,111,116,95.7,82,98,83.7,10,24,41.7
2018-2019,LaLiga,Huesca,Serdar Gürler,tr TUR,"MF,FW",26,5.4,105,170,61.8,1394,389,75,98,76.5,16,35,45.7,7,12,58.3
2018-2019,LaLiga,Huesca,Juan Aguilera,es ESP,MF,32,3.8,166,189,87.8,2706,846,90,93,96.8,58,68,85.3,14,19,73.7
2018-2019,LaLiga,Huesca,Lluís Sastre,es ESP,MF,32,1.3,71,93,76.3,1203,327,35,40,87.5,29,31,93.5,6,14,42.9
2018-2019,LaLiga,Huesca,Rajko Brežančić,rs SRB,DF,28,0.7,15,24,62.5,279,111,8,9,88.9,6,9,66.7,1,5,20
2018-2019,LaLiga,Huesca,Juanjo Camacho,es ESP,"MF,DF",37,0.4,12,24,50,103,49,9,14,64.3,1,4,25,0,3,0
2018-2019,LaLiga,Rayo Vallecano,Álex Moreno,es ESP,DF,25,34.8,1152,1536,75,16661,5751,702,806,87.1,341,458,74.5,56,141,39.7
2018-2019,LaLiga,Rayo Vallecano,Raúl de Tomás,es ESP,FW,23,31.3,377,473,79.7,6421,1010,204,235,86.8,104,130,80,49,74,66.2
2018-2019,LaLiga,Rayo Vallecano,Jordi Amat,id IDN,DF,26,30.7,1064,1295,82.2,20994,7883,397,457,86.9,516,574,89.9,140,221,63.3
2018-2019,LaLiga,Rayo Vallecano,Luis Advíncula,pe PER,DF,28,26.5,957,1197,79.9,15766,5283,506,557,90.8,343,422,81.3,76,144,52.8
2018-2019,LaLiga,Rayo Vallecano,Adri Embarba,es ESP,"MF,FW",26,25.4,486,823,59.1,8573,2811,218,279,78.1,168,262,64.1,69,195,35.4
2018-2019,LaLiga,Rayo Vallecano,Abdoulaye Ba,sn SEN,DF,27,23.4,867,1054,82.3,17985,6935,267,285,93.7,447,498,89.8,143,245,58.4
2018-2019,LaLiga,Rayo Vallecano,Santi Comesaña,es ESP,MF,21,22.6,910,1078,84.4,16841,5054,367,426,86.2,386,437,88.3,123,150,82
2018-2019,LaLiga,Rayo Vallecano,Óscar Trejo,ar ARG,"MF,FW",30,19.6,672,882,76.2,9138,2733,408,481,84.8,202,264,76.5,26,66,39.4
2018-2019,LaLiga,Rayo Vallecano,Stole Dimitrievski,mk MKD,GK,24,21,417,645,64.7,13527,10691,54,55,98.2,178,184,96.7,185,401,46.1
2018-2019,LaLiga,Rayo Vallecano,Giannelli Imbula,cd COD,MF,25,19.2,654,732,89.3,11027,3016,337,358,94.1,239,257,93,59,83,71.1
2018-2019,LaLiga,Rayo Vallecano,Álvaro García,es ESP,"FW,MF",25,19.6,314,507,61.9,4899,1536,171,235,72.8,84,144,58.3,36,71,50.7
2018-2019,LaLiga,Rayo Vallecano,Alberto García,es ESP,GK,33,17,387,554,69.9,12384,9051,39,40,97.5,176,182,96.7,172,331,52
2018-2019,LaLiga,Rayo Vallecano,Álex Gálvez,es ESP,DF,29,15.7,562,699,80.4,10931,4302,197,214,92.1,283,324,87.3,66,132,50
2018-2019,LaLiga,Rayo Vallecano,José Pozo,es ESP,MF,22,18,600,745,80.5,8758,2414,326,366,89.1,214,254,84.3,23,57,40.4
2018-2019,LaLiga,Rayo Vallecano,Emiliano Velázquez,uy URU,DF,24,14.2,386,561,68.8,7603,3643,144,171,84.2,174,220,79.1,57,130,43.8
2018-2019,LaLiga,Rayo Vallecano,Bebé,cv CPV,"FW,MF",28,14.5,304,515,59,5175,1195,161,206,78.2,88,148,59.5,39,99,39.4
2018-2019,LaLiga,Rayo Vallecano,Álvaro Medrán,es ESP,MF,24,12.8,623,789,79,11239,3692,278,312,89.1,227,264,86,85,152,55.9
2018-2019,LaLiga,Rayo Vallecano,Tito,es ESP,DF,33,12.2,485,631,76.9,7472,3548,268,300,89.3,190,245,77.6,19,60,31.7
2018-2019,LaLiga,Rayo Vallecano,Mario Suárez,es ESP,MF,31,11.4,461,583,79.1,7982,2723,219,257,85.2,183,224,81.7,46,81,56.8
2018-2019,LaLiga,Rayo Vallecano,Gaël Kakuta,cd COD,"MF,FW",27,8,188,277,67.9,2796,985,115,143,80.4,54,85,63.5,11,32,34.4
2018-2019,LaLiga,Rayo Vallecano,Uche Henry Agbo,ng NGA,MF,22,4.1,184,202,91.1,2899,790,102,106,96.2,62,68,91.2,15,18,83.3
2018-2019,LaLiga,Rayo Vallecano,Gorka Elustondo,es ESP,"MF,DF",31,3.2,118,146,80.8,2201,727,49,57,86,54,61,88.5,13,17,76.5
2018-2019,LaLiga,Rayo Vallecano,Sergio Akieme,es ESP,DF,20,2,64,84,76.2,950,312,36,39,92.3,22,26,84.6,4,12,33.3
2018-2019,LaLiga,Rayo Vallecano,Catena,es ESP,DF,23,2,85,99,85.9,1653,581,25,25,100,45,49,91.8,10,17,58.8
2018-2019,LaLiga,Rayo Vallecano,Javi Guerra,es ESP,"FW,MF",36,2.6,58,76,76.3,701,97,34,39,87.2,12,17,70.6,4,6,66.7
2018-2019,LaLiga,Rayo Vallecano,Franco Di Santo,ar ARG,FW,29,1.9,23,38,60.5,317,24,13,20,65,8,14,57.1,1,1,100
2018-2019,LaLiga,Rayo Vallecano,Chechu,es ESP,DF,36,1,47,52,90.4,1034,450,7,8,87.5,34,36,94.4,6,8,75
2018-2019,LaLiga,Rayo Vallecano,Álex Alegría,es ESP,"FW,MF",25,1.6,22,32,68.8,293,51,13,18,72.2,6,8,75,1,1,100
2018-2019,LaLiga,Rayo Vallecano,Sergio Moreno,es ESP,FW,19,0.2,2,2,100,35,0,1,1,100,1,1,100,0,0,
2018-2019,Ligue1,Paris S-G,Marquinhos,br BRA,"DF,MF",24,29.9,2088,2273,91.9,37643,12823,821,868,94.6,989,1035,95.6,208,271,76.8
2018-2019,Ligue1,Paris S-G,Ángel Di María,ar ARG,"FW,MF",30,25.8,1042,1439,72.4,15546,4506,571,676,84.5,302,405,74.6,86,200,43
2018-2019,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,19,26,632,814,77.6,8039,1997,383,452,84.7,139,187,74.3,33,47,70.2
2018-2019,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,33,23.1,1770,1885,93.9,31929,13476,709,735,96.5,841,879,95.7,165,196,84.2
2018-2019,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,22,22.3,1387,1494,92.8,22491,7369,686,723,94.9,571,602,94.9,86,108,79.6
2018-2019,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,25,20.9,1895,2090,90.7,27928,10076,1033,1094,94.4,635,688,92.3,113,151,74.8
2018-2019,Ligue1,Paris S-G,Julian Draxler,de GER,"MF,FW",24,22.7,1402,1592,88.1,20420,4785,759,819,92.7,465,504,92.3,80,116,69
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25,21,445,516,86.2,10564,7543,94,94,100,251,254,98.8,99,166,59.6
2018-2019,Ligue1,Paris S-G,Juan Bernat,es ESP,"DF,MF",25,20.4,1042,1178,88.5,13611,3058,642,682,94.1,289,328,88.1,35,57,61.4
2018-2019,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,31,18.6,272,361,75.3,3533,461,160,198,80.8,65,89,73,13,15,86.7
2018-2019,Ligue1,Paris S-G,Thilo Kehrer,de GER,DF,21,21.1,1284,1393,92.2,20630,6463,604,642,94.1,542,579,93.6,81,93,87.1
2018-2019,Ligue1,Paris S-G,Dani Alves,br BRA,"MF,DF",35,18,1316,1581,83.2,18569,6221,766,822,93.2,359,437,82.2,88,148,59.5
2018-2019,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,26,17.9,802,978,82,11790,3405,458,503,91.1,254,315,80.6,47,90,52.2
2018-2019,Ligue1,Paris S-G,Gianluigi Buffon,it ITA,GK,40,17,374,410,91.2,7958,5763,96,96,100,216,217,99.5,57,90,63.3
2018-2019,Ligue1,Paris S-G,Neymar,br BRA,"MF,FW",26,16,824,1062,77.6,12145,4713,441,510,86.5,226,279,81,73,134,54.5
2018-2019,Ligue1,Paris S-G,Leandro Paredes,ar ARG,MF,24,13.9,1179,1315,89.7,20069,6570,581,608,95.6,439,464,94.6,117,175,66.9
2018-2019,Ligue1,Paris S-G,Christopher Nkunku,fr FRA,"MF,FW",20,12.8,572,645,88.7,7294,1604,352,375,93.9,155,173,89.6,13,21,61.9
2018-2019,Ligue1,Paris S-G,Adrien Rabiot,fr FRA,MF,23,11.8,980,1060,92.5,15745,4166,512,540,94.8,357,382,93.5,77,89,86.5
2018-2019,Ligue1,Paris S-G,Layvin Kurzawa,fr FRA,"DF,MF",25,11.2,476,576,82.6,5726,1702,316,355,89,107,127,84.3,11,26,42.3
2018-2019,Ligue1,Paris S-G,Moussa Diaby,fr FRA,"MF,DF",19,12.7,447,562,79.5,5392,1118,291,328,88.7,111,143,77.6,8,17,47.1
2018-2019,Ligue1,Paris S-G,Colin Dagba,fr FRA,"DF,MF",19,10.2,600,655,91.6,7375,1782,395,421,93.8,153,168,91.1,10,13,76.9
2018-2019,Ligue1,Paris S-G,Eric Maxim Choupo-Moting,cm CMR,FW,29,8.9,183,231,79.2,2197,409,113,130,86.9,41,54,75.9,5,7,71.4
2018-2019,Ligue1,Paris S-G,Stanley N'Soki,fr FRA,DF,19,7.8,440,514,85.6,6197,2050,260,292,89,136,159,85.5,20,27,74.1
2018-2019,Ligue1,Paris S-G,Loïc Mbe Soh,fr FRA,DF,17,2,116,127,91.3,1914,639,47,52,90.4,58,61,95.1,5,6,83.3
2018-2019,Ligue1,Paris S-G,Antoine Bernede,fr FRA,MF,19,1.9,160,171,93.6,2301,629,96,98,98,52,55,94.5,5,7,71.4
2018-2019,Ligue1,Paris S-G,Lassana Diarra,fr FRA,MF,33,1.8,131,146,89.7,2005,506,68,72,94.4,50,57,87.7,6,10,60
2018-2019,Ligue1,Paris S-G,Timothy Weah,us USA,FW,18,0.6,4,8,50,77,8,2,3,66.7,1,1,100,1,1,100
2018-2019,Ligue1,Paris S-G,Metehan Güçlü,tr TUR,MF,19,0.2,3,3,100,46,1,1,1,100,2,2,100,0,0,
2018-2019,Ligue1,Paris S-G,Giovani Lo Celso,ar ARG,MF,22,0.1,13,13,100,170,60,7,7,100,4,4,100,0,0,
2018-2019,Ligue1,Paris S-G,Kévin Rimane,gf GUF,MF,27,0.1,8,8,100,135,31,3,3,100,5,5,100,0,0,
2018-2019,Ligue1,Lille,Mike Maignan,fr FRA,GK,23,38,716,1116,64.2,21901,17507,92,93,98.9,340,344,98.8,281,673,41.8
2018-2019,Ligue1,Lille,Nicolas Pépé,ci CIV,"FW,MF",23,36.9,982,1295,75.8,13144,3500,531,628,84.6,276,374,73.8,54,104,51.9
2018-2019,Ligue1,Lille,José Fonte,pt POR,DF,34,34.6,1945,2231,87.2,38634,12638,579,640,90.5,1110,1189,93.4,219,334,65.6
2018-2019,Ligue1,Lille,Thiago Mendes,br BRA,MF,26,34.2,1742,2137,81.5,30312,10339,787,865,91,663,762,87,206,386,53.4
2018-2019,Ligue1,Lille,Jonathan Bamba,fr FRA,"FW,MF",22,33.4,949,1233,77,13352,3664,525,614,85.5,276,343,80.5,56,106,52.8
2018-2019,Ligue1,Lille,Zeki Çelik,tr TUR,DF,21,33,1287,1727,74.5,19710,7357,696,800,87,459,625,73.4,85,180,47.2
2018-2019,Ligue1,Lille,Jonathan Ikone,fr FRA,"MF,FW",20,31.1,687,951,72.2,9881,2711,386,463,83.4,194,261,74.3,47,82,57.3
2018-2019,Ligue1,Lille,Xeka,pt POR,MF,23,25.1,999,1240,80.6,17481,4671,436,500,87.2,419,479,87.5,102,179,57
2018-2019,Ligue1,Lille,Adama Soumaoro,fr FRA,DF,26,19.1,873,926,94.3,17478,5089,231,249,92.8,515,533,96.6,108,121,89.3
2018-2019,Ligue1,Lille,Youssouf Koné,ml MLI,DF,23,19,847,1075,78.8,13582,5347,433,477,90.8,324,410,79,62,134,46.3
2018-2019,Ligue1,Lille,Fodé Ballo-Touré,sn SEN,DF,21,17.7,572,771,74.2,7986,3338,343,394,87.1,179,261,68.6,26,56,46.4
2018-2019,Ligue1,Lille,Rafael Leão,pt POR,FW,19,14.3,177,252,70.2,2567,361,105,135,77.8,53,73,72.6,11,15,73.3
2018-2019,Ligue1,Lille,Loïc Rémy,fr FRA,FW,31,13.4,169,221,76.5,2282,338,98,115,85.2,48,69,69.6,7,7,100
2018-2019,Ligue1,Lille,Gabriel Dos Santos,br BRA,DF,20,11.8,554,645,85.9,11218,4120,158,171,92.4,329,353,93.2,62,110,56.4
2018-2019,Ligue1,Lille,Thiago Maia,br BRA,MF,21,11.3,488,589,82.9,8748,2648,190,218,87.2,229,257,89.1,53,76,69.7
2018-2019,Ligue1,Lille,Kouadio-Yves Dabila,ci CIV,DF,21,8.7,324,379,85.5,6302,2282,105,113,92.9,185,198,93.4,31,58,53.4
2018-2019,Ligue1,Lille,Luiz Araújo,br BRA,"FW,MF",22,8.7,232,317,73.2,4202,1089,107,126,84.9,80,111,72.1,33,49,67.3
2018-2019,Ligue1,Lille,Rui Fonte,pt POR,"FW,MF",28,7,148,190,77.9,1802,416,94,114,82.5,28,36,77.8,7,11,63.6
2018-2019,Ligue1,Lille,Boubakary Soumaré,fr FRA,MF,19,6.3,299,347,86.2,5163,1519,129,144,89.6,132,141,93.6,29,42,69
2018-2019,Ligue1,Lille,Jérémy Pied,fr FRA,DF,29,5.2,263,347,75.8,3863,1542,142,170,83.5,88,119,73.9,16,28,57.1
2018-2019,Ligue1,Lille,Lebo Mothiba,za RSA,FW,22,2.8,36,44,81.8,370,34,23,27,85.2,1,2,50,3,3,100
2018-2019,Ligue1,Lille,Yassine Benzia,dz ALG,MF,23,1.8,83,102,81.4,1431,525,45,54,83.3,22,27,81.5,12,15,80
2018-2019,Ligue1,Lille,Edgar Ié,pt POR,DF,24,2.7,96,124,77.4,1702,565,43,47,91.5,46,59,78,7,14,50
2018-2019,Ligue1,Lille,Reinildo Mandava,mz MOZ,DF,24,1.1,51,64,79.7,739,198,33,37,89.2,14,17,82.4,3,7,42.9
2018-2019,Ligue1,Lille,Arton Zekaj,xk KVX,FW,18,0,2,2,100,23,11,1,1,100,1,1,100,0,0,
2018-2019,Ligue1,Lyon,Houssem Aouar,fr FRA,MF,20,34,1793,2078,86.3,28536,7450,914,1027,89,672,722,93.1,134,184,72.8
2018-2019,Ligue1,Lyon,Anthony Lopes,pt POR,GK,27,34,864,1074,80.4,23387,15858,115,115,100,465,468,99.4,280,483,58
2018-2019,Ligue1,Lyon,Marcelo,br BRA,DF,31,32,2096,2397,87.4,44940,15833,518,580,89.3,1240,1355,91.5,319,422,75.6
2018-2019,Ligue1,Lyon,Jason Denayer,be BEL,DF,23,30.6,1848,1974,93.6,33296,12491,671,711,94.4,1044,1086,96.1,107,131,81.7
2018-2019,Ligue1,Lyon,Tanguy Ndombele,fr FRA,MF,21,29.9,1759,1987,88.5,28355,9319,869,944,92.1,726,807,90,105,131,80.2
2018-2019,Ligue1,Lyon,Memphis,nl NED,"FW,MF",24,30.4,1096,1490,73.6,17104,5519,606,694,87.3,280,376,74.5,123,248,49.6
2018-2019,Ligue1,Lyon,Ferland Mendy,fr FRA,DF,23,28.1,1636,1974,82.9,25824,6954,935,1034,90.4,510,608,83.9,142,203,70
2018-2019,Ligue1,Lyon,Bertrand Traoré,bf BFA,FW,22,23.5,840,1041,80.7,12241,2726,495,566,87.5,253,317,79.8,56,76,73.7
2018-2019,Ligue1,Lyon,Nabil Fekir,fr FRA,MF,25,22.1,877,1079,81.3,13044,3831,500,572,87.4,238,285,83.5,80,130,61.5
2018-2019,Ligue1,Lyon,Leo Dubois,fr FRA,DF,23,22.7,1252,1513,82.7,19499,6383,702,768,91.4,447,528,84.7,80,126,63.5
2018-2019,Ligue1,Lyon,Moussa Dembélé,fr FRA,FW,22,22.4,307,419,73.3,3709,657,199,244,81.6,68,93,73.1,10,17,58.8
2018-2019,Ligue1,Lyon,Lucas Tousart,fr FRA,MF,21,19.2,854,983,86.9,15403,3291,350,403,86.8,413,441,93.7,72,98,73.5
2018-2019,Ligue1,Lyon,Martin Terrier,fr FRA,FW,21,16.5,438,532,82.3,5917,1568,283,317,89.3,112,133,84.2,22,37,59.5
2018-2019,Ligue1,Lyon,Maxwel Cornet,ci CIV,FW,21,14.2,333,472,70.6,4207,715,214,263,81.4,86,121,71.1,7,33,21.2
2018-2019,Ligue1,Lyon,Jérémy Morel,mg MAD,DF,34,11.8,630,711,88.6,12434,5097,216,234,92.3,336,354,94.9,72,104,69.2
2018-2019,Ligue1,Lyon,Kenny Tete,nl NED,DF,22,11.6,623,770,80.9,10179,3525,318,343,92.7,241,296,81.4,45,89,50.6
2018-2019,Ligue1,Lyon,Fernando Marçal,br BRA,DF,29,9.8,708,814,87,12339,3729,347,370,93.8,273,307,88.9,79,116,68.1
2018-2019,Ligue1,Lyon,Rafael,br BRA,DF,28,11.4,591,746,79.2,8431,3367,368,404,91.1,182,234,77.8,21,55,38.2
2018-2019,Ligue1,Lyon,Pape Cheikh Diop,sn SEN,MF,20,5,204,228,89.5,3082,585,104,118,88.1,83,86,96.5,8,10,80
2018-2019,Ligue1,Lyon,Mathieu Gorgelin,fr FRA,GK,27,4,99,112,88.4,2479,1734,18,18,100,57,58,98.3,24,36,66.7
2018-2019,Ligue1,Lyon,Mariano,do DOM,FW,24,1.6,23,31,74.2,259,29,17,21,81,4,5,80,0,1,0
2018-2019,Ligue1,Lyon,Jordan Ferri,fr FRA,MF,26,1.3,80,95,84.2,1283,247,40,43,93,31,37,83.8,6,11,54.5
2018-2019,Ligue1,Lyon,Oumar Solet,fr FRA,DF,18,0.7,43,47,91.5,756,175,18,18,100,24,25,96,1,3,33.3
2018-2019,Ligue1,Lyon,Yassin Fekir,fr FRA,FW,21,0.1,13,17,76.5,203,58,9,11,81.8,3,4,75,1,1,100
2018-2019,Ligue1,Lyon,Lenny Pintor,fr FRA,FW,17,0,0,1,0,0,0,0,1,0,0,0,,0,0,
2018-2019,Ligue1,Saint-Étienne,Stéphane Ruffier,fr FRA,GK,31,37,753,1193,63.1,22603,16694,65,65,100,403,409,98.5,284,716,39.7
2018-2019,Ligue1,Saint-Étienne,Yann M'Vila,fr FRA,MF,28,36.2,1979,2313,85.6,39103,13022,786,870,90.3,830,911,91.1,317,436,72.7
2018-2019,Ligue1,Saint-Étienne,Timothée Kolodziejczak,fr FRA,DF,26,35.4,1631,2003,81.4,30348,13114,642,722,88.9,774,874,88.6,188,337,55.8
2018-2019,Ligue1,Saint-Étienne,Rémy Cabella,fr FRA,"MF,FW",28,33.3,1742,2081,83.7,25336,6453,978,1088,89.9,548,659,83.2,101,156,64.7
2018-2019,Ligue1,Saint-Étienne,Wahbi Khazri,tn TUN,"FW,MF",27,31.3,725,1100,65.9,13459,3793,343,433,79.2,218,307,71,124,261,47.5
2018-2019,Ligue1,Saint-Étienne,Loïc Perrin,fr FRA,DF,32,30,1388,1620,85.7,26292,10574,538,588,91.5,689,761,90.5,152,240,63.3
2018-2019,Ligue1,Saint-Étienne,Neven Subotić,rs SRB,DF,29,23.9,958,1146,83.6,20766,7175,253,288,87.8,532,588,90.5,169,255,66.3
2018-2019,Ligue1,Saint-Étienne,Mathieu Debuchy,fr FRA,DF,33,21.6,836,1171,71.4,12624,5018,501,575,87.1,261,370,70.5,50,140,35.7
2018-2019,Ligue1,Saint-Étienne,Ole Selnæs,no NOR,MF,24,18.5,748,925,80.9,14730,4019,289,339,85.3,315,366,86.1,127,171,74.3
2018-2019,Ligue1,Saint-Étienne,Lois Diony,fr FRA,FW,25,17.7,195,318,61.3,2625,488,112,158,70.9,64,96,66.7,5,18,27.8
2018-2019,Ligue1,Saint-Étienne,Romain Hamouma,fr FRA,"FW,MF",31,17.6,397,574,69.2,5425,1305,218,261,83.5,115,175,65.7,23,56,41.1
2018-2019,Ligue1,Saint-Étienne,Kévin Monnet-Paquet,fr FRA,"DF,MF",29,16.5,540,693,77.9,7548,2143,320,371,86.3,182,232,78.4,15,29,51.7
2018-2019,Ligue1,Saint-Étienne,Gabriel Silva,br BRA,DF,27,15.9,467,608,76.8,7667,2336,254,281,90.4,151,204,74,48,90,53.3
2018-2019,Ligue1,Saint-Étienne,William Saliba,fr FRA,DF,17,14.2,569,666,85.4,10712,3495,228,243,93.8,262,296,88.5,68,98,69.4
2018-2019,Ligue1,Saint-Étienne,Robert Berić,si SVN,FW,27,13.1,136,200,68,1471,339,79,111,71.2,25,39,64.1,2,6,33.3
2018-2019,Ligue1,Saint-Étienne,Arnaud Nordin,fr FRA,"FW,MF",20,11.7,266,345,77.1,3987,776,148,172,86,97,113,85.8,10,18,55.6
2018-2019,Ligue1,Saint-Étienne,Pierre-Yves Polomat,fr FRA,DF,24,10.6,438,557,78.6,6948,2230,246,274,89.8,152,182,83.5,30,64,46.9
2018-2019,Ligue1,Saint-Étienne,Youssef Aït Bennasser,ma MAR,MF,22,10.4,572,656,87.2,10579,2532,247,274,90.1,241,269,89.6,72,83,86.7
2018-2019,Ligue1,Saint-Étienne,Yannis Salibur,fr FRA,"FW,MF",27,9.8,233,334,69.8,3486,1058,134,161,83.2,76,108,70.4,15,36,41.7
