Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2017-2018,EPL,Watford,Christian Kabasele,be BEL,DF,26,25.9,677,910,74.4,13472,6282,227,278,81.7,352,425,82.8,88,180,48.9
2017-2018,EPL,Watford,José Holebas,gr GRE,DF,33,26.5,901,1521,59.2,16066,8079,422,516,81.8,329,548,60,128,362,35.4
2017-2018,EPL,Watford,Adrian Mariappa,jm JAM,DF,30,24.6,774,1028,75.3,13905,6028,342,395,86.6,343,432,79.4,77,161,47.8
2017-2018,EPL,Watford,Heurelho Gomes,br BRA,GK,36,23.6,446,754,59.2,17194,14524,26,26,100,161,163,98.8,259,556,46.6
2017-2018,EPL,Watford,Tom Cleverley,eng ENG,MF,27,21.1,964,1238,77.9,15750,4846,481,542,88.7,346,419,82.6,89,181,49.2
2017-2018,EPL,Watford,Daryl Janmaat,nl NED,DF,28,20.2,750,1041,72,12214,5462,416,470,88.5,237,355,66.8,79,173,45.7
2017-2018,EPL,Watford,Troy Deeney,eng ENG,FW,29,20.5,309,552,56,4094,1303,207,330,62.7,69,127,54.3,15,29,51.7
2017-2018,EPL,Watford,Kiko Femenía,es ESP,"DF,FW",26,19,807,1004,80.4,11700,4042,502,558,90,237,294,80.6,41,91,45.1
2017-2018,EPL,Watford,Roberto Pereyra,ar ARG,"MF,FW",26,18,597,735,81.2,9330,2419,340,381,89.2,180,228,78.9,54,78,69.2
2017-2018,EPL,Watford,Étienne Capoue,fr FRA,MF,29,17.1,723,883,81.9,12866,3380,342,390,87.7,271,320,84.7,91,135,67.4
2017-2018,EPL,Watford,Sebastian Prödl,at AUT,DF,30,17.4,445,573,77.7,8856,3785,164,193,85,202,242,83.5,68,118,57.6
2017-2018,EPL,Watford,André Carrillo,pe PER,"FW,MF",26,17.1,561,772,72.7,8091,2148,339,396,85.6,145,221,65.6,47,77,61
2017-2018,EPL,Watford,Andre Gray,jm JAM,FW,26,16.6,217,310,70,2738,463,134,185,72.4,48,64,75,10,12,83.3
2017-2018,EPL,Watford,Orestis Karnezis,gr GRE,GK,32,14.4,198,404,49,8667,7762,5,5,100,50,51,98,143,348,41.1
2017-2018,EPL,Watford,Marvin Zeegelaar,nl NED,DF,26,11,436,584,74.7,6677,3045,259,297,87.2,140,193,72.5,28,55,50.9
2017-2018,EPL,Watford,Will Hughes,eng ENG,MF,22,11,322,416,77.4,4055,1197,208,241,86.3,78,103,75.7,8,21,38.1
2017-2018,EPL,Watford,Miguel Britos,uy URU,DF,32,8.9,318,401,79.3,6586,2637,96,110,87.3,172,195,88.2,49,84,58.3
2017-2018,EPL,Watford,Ben Watson,eng ENG,MF,32,5.1,195,241,80.9,3217,1304,99,111,89.2,67,79,84.8,19,31,61.3
2017-2018,EPL,Watford,Craig Cathcart,nir NIR,DF,28,5.8,143,186,76.9,3103,1225,43,48,89.6,75,88,85.2,24,45,53.3
2017-2018,EPL,Watford,Nathaniel Chalobah,eng ENG,MF,22,5,132,184,71.7,2235,836,61,76,80.3,51,67,76.1,12,28,42.9
2017-2018,EPL,Watford,Molla Wagué,ml MLI,DF,26,4.9,109,147,74.1,2278,1029,29,39,74.4,58,69,84.1,19,34,55.9
2017-2018,EPL,Watford,Gerard Deulofeu,es ESP,"FW,MF",23,4.8,110,160,68.8,1602,455,60,80,75,31,42,73.8,9,14,64.3
2017-2018,EPL,Watford,Stefano Okaka,it ITA,FW,27,5,105,160,65.6,1334,215,67,85,78.8,17,36,47.2,7,8,87.5
2017-2018,EPL,Watford,Nordin Amrabat,ma MAR,FW,30,2.2,44,78,56.4,585,190,29,36,80.6,9,21,42.9,4,9,44.4
2017-2018,EPL,Watford,Younès Kaboul,fr FRA,DF,31,1.7,52,76,68.4,1247,528,14,19,73.7,25,31,80.6,13,24,54.2
