Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2017,Albania ,Bekim Balaj,FW,27,4,3,301,3.3,2,0,2,2,0,0,0,0,0.6,0,0.6,0.6,0.6
2017,Albania ,Freddie Veseli,DF,25,4,3,279,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,Albania ,Eros Grezda,"FW,MF",22,4,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,Albania ,Naser Aliji,DF,24,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Ergys Kaçe,MF,24,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,Albania ,Thomas Strakosha,GK,22,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Sokol Cikalleshi,FW,27,3,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,Albania ,Hysen Memolla,DF,25,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Shkëlzen Gashi,FW,29,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Iván Balliu,DF,26,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Ermir Lenjani,FW,28,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Liridon Latifi,"FW,MF",23,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Alban Hoxha,GK,30,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Edgar Çani,FW,28,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Rey Manaj,FW,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Valon Ahmedi,"FW,MF",23,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania ,Albi Alla,DF,24,0,0,,,,,,,,,,,,,,,
2017,Albania ,Enea Koliçi,GK,31,0,0,,,,,,,,,,,,,,,
2017,Albania ,Emanuele Ndoj,MF,21,0,0,,,,,,,,,,,,,,,
2017,Albania ,Orges Shehi,GK,40,0,0,,,,,,,,,,,,,,,
2018,Albania ,Egzon Binaku,"MF,DF",22,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Ledian Memushaj,MF,31,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Taulant Xhaka,MF,27,4,4,360,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25
2018,Albania ,Berat Djimsiti,DF,25,4,4,322,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Elseid Hysaj,DF,24,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0
2018,Albania ,Thomas Strakosha,GK,23,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Freddie Veseli,DF,25,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Bekim Balaj,FW,27,4,2,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Eros Grezda,FW,23,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Myrto Uzuni,MF,23,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Migjen Basha,MF,31,2,2,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0
2018,Albania ,Mërgim Mavraj,DF,32,3,2,118,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,Albania ,Enis Gavazaj,"MF,FW",23,2,2,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Sabien Lilaj,MF,29,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Etrit Berisha,GK,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Jahmir Hyka,MF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Rey Manaj,FW,21,2,1,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Emanuele Ndoj,MF,21,1,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Sindri Guri,FW,24,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Ergys Kaçe,MF,25,1,1,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Herdi Prenga,DF,23,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Albania ,Ardian Ismajli,DF,21,1,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Kastriot Dermaku,DF,26,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Giacomo Vrioni,FW,19,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania ,Enea Mihaj,DF,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
