Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2017-2018,PrimeiraLiga,Belenenses,Ricardo Fernandes,pt POR,GK,22,1,0,10,0.1,1,9,1,0,0,0,0,0,0,,0,0,0,,
2017-2018,PrimeiraLiga,Aves,Adriano Facchini,br BRA,GK,34,20,20,1756,19.5,29,1.49,90,61,73.3,6,3,11,7,35,5,5,0,0,
2017-2018,PrimeiraLiga,Aves,Quim,pt POR,GK,41,14,14,1260,14,22,1.57,63,41,69.8,3,4,7,3,21.4,3,3,0,0,
2017-2018,PrimeiraLiga,Aves,Artur Moraes,br BRA,GK,36,,,,0.5,,,,,,,,,,,0,0,0,,
2017-2018,PrimeiraLiga,Vitória Setúbal,Cristiano Pereira Figueiredo,pt POR,GK,26,23,23,2070,23,47,2.04,125,78,66.4,5,7,11,4,17.4,5,5,0,0,
2017-2018,PrimeiraLiga,Vitória Setúbal,Pedro Trigueira,pt POR,GK,29,11,11,990,11,15,1.36,47,32,72.3,2,4,5,1,9.1,2,2,0,0,
2017-2018,PrimeiraLiga,Moreirense,Jhonatan,br BRA,GK,26,34,34,3060,34,50,1.47,153,103,71.9,8,8,18,5,14.7,8,7,1,12.5,
2017-2018,PrimeiraLiga,Feirense,Caio Secco,br BRA,GK,26,33,33,2886,32.1,46,1.43,151,105,70.2,8,4,20,8,24.2,3,1,0,0,
2017-2018,PrimeiraLiga,Feirense,Michał Miśkiewicz,pl POL,GK,28,2,1,174,1.9,2,1.03,8,6,87.5,1,0,1,1,100,1,1,0,0,
2017-2018,PrimeiraLiga,Paços,Mário Felgueiras,pt POR,GK,30,20,20,1800,20,34,1.7,101,67,68.3,5,5,10,5,25,3,2,1,33.3,
2017-2018,PrimeiraLiga,Paços,Rafael Defendi,br BRA,GK,33,14,14,1260,14,25,1.79,63,38,63.5,2,4,8,3,21.4,3,2,0,0,
2017-2018,PrimeiraLiga,Estoril,José Moreira,pt POR,GK,35,17,17,1530,17,35,2.06,87,52,59.8,3,3,11,3,17.6,0,0,0,,
2017-2018,PrimeiraLiga,Estoril,Renan Ribeiro,br BRA,GK,27,17,17,1530,17,26,1.53,81,55,70.4,5,3,9,4,23.5,4,2,1,33.3,
2018-2019,EPL,Manchester City,Ederson,br BRA,GK,24,38,38,3420,38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,
2018-2019,EPL,Liverpool,Alisson,br BRA,GK,25,38,38,3420,38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,,
2018-2019,EPL,Chelsea,Kepa Arrizabalaga,es ESP,GK,23,36,36,3240,36,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,50,
2018-2019,EPL,Chelsea,Willy Caballero,ar ARG,GK,36,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,,
2018-2019,EPL,Tottenham,Hugo Lloris,fr FRA,GK,31,33,33,2970,33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,40,
2018-2019,EPL,Tottenham,Paulo Gazzaniga,ar ARG,GK,26,3,3,270,3,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,,
2018-2019,EPL,Tottenham,Michel Vorm,nl NED,GK,34,2,2,180,2,4,2,13,9,69.2,0,0,2,0,0,0,0,0,,
2018-2019,EPL,Arsenal,Bernd Leno,de GER,GK,26,32,31,2835,31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,
2018-2019,EPL,Arsenal,Petr Čech,cz CZE,GK,36,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,,
2018-2019,EPL,Manchester Utd,David de Gea,es ESP,GK,27,38,38,3420,38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,
2018-2019,EPL,Wolves,Rui Patrício,pt POR,GK,30,37,37,3330,37,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,0,
2018-2019,EPL,Wolves,John Ruddy,eng ENG,GK,31,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,,
2018-2019,EPL,Wolves,Will Norris,eng ENG,GK,24,1,0,,0,0,,0,0,,0,0,0,1,,0,0,0,,
2018-2019,EPL,Everton,Jordan Pickford,eng ENG,GK,24,38,38,3420,38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,60,
2018-2019,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,31,38,38,3420,38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,
2018-2019,EPL,West Ham,Łukasz Fabiański,pl POL,GK,33,38,38,3420,38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,20,
2018-2019,EPL,Watford,Ben Foster,eng ENG,GK,35,38,38,3420,38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,20,
2018-2019,EPL,Crystal Palace,Vicente Guaita,es ESP,GK,31,20,20,1755,19.5,23,1.18,85,63,74.1,10,4,6,7,35,1,1,0,0,
2018-2019,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,31,18,17,1575,17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,25,
2018-2019,EPL,Crystal Palace,Julián Speroni,ar ARG,GK,39,1,1,90,1,4,4,9,5,55.6,0,0,1,0,0,0,0,0,,
2018-2019,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,29,38,38,3420,38,48,1.26,140,93,70,12,9,17,11,28.9,6,6,0,0,
2018-2019,EPL,Bournemouth,Asmir Begović,ba BIH,GK,31,24,24,2160,24,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,
2018-2019,EPL,Bournemouth,Artur Boruc,pl POL,GK,38,12,12,1080,12,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,
2018-2019,EPL,Bournemouth,Mark Travers,ie IRL,GK,19,2,2,180,2,5,2.5,13,9,61.5,1,0,1,1,50,0,0,0,,
2018-2019,EPL,Burnley,Joe Hart,eng ENG,GK,31,19,19,1710,19,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,50,
2018-2019,EPL,Burnley,Tom Heaton,eng ENG,GK,32,19,19,1710,19,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,
2018-2019,EPL,Southampton,Alex McCarthy,eng ENG,GK,28,25,25,2250,25,44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,
2018-2019,EPL,Southampton,Angus Gunn,eng ENG,GK,22,12,12,1080,12,18,1.5,50,31,64,4,4,4,3,25,1,0,1,100,
