Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2018-2019,SeriaA,Sassuolo,Andrea Consigli,it ITA,GK,31,36,36,3213,35.7,56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,42.9,
2018-2019,SeriaA,Sassuolo,Gianluca Pegolo,it ITA,GK,37,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0,0,0,0,,
2018-2019,SeriaA,Udinese,Juan Musso,ar ARG,GK,24,29,29,2610,29,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,
2018-2019,SeriaA,Udinese,Simone Scuffet,it ITA,GK,22,9,9,810,9,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,
2018-2019,SeriaA,SPAL,Alfred Gomis,sn SEN,GK,24,20,19,1723,19.2,27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,
2018-2019,SeriaA,SPAL,Emiliano Viviano,it ITA,GK,32,17,17,1525,16.9,25,1.48,84,59,75,7,3,7,3,17.6,4,4,0,0,
2018-2019,SeriaA,SPAL,Vanja Milinković-Savić,rs SRB,GK,21,2,2,164,1.8,4,2.2,16,12,75,1,0,1,0,0,0,0,0,,
2018-2019,SeriaA,SPAL,Giacomo Poluzzi,it ITA,GK,30,1,0,5,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,
2018-2019,SeriaA,Parma,Luigi Sepe,it ITA,GK,27,37,37,3330,37,59,1.59,197,142,74.1,10,11,16,10,27,8,8,0,0,
2018-2019,SeriaA,Parma,Pierluigi Frattali,it ITA,GK,32,1,1,90,1,2,2,8,7,75,0,0,1,0,0,0,0,0,,
2018-2019,SeriaA,Cagliari,Alessio Cragno,it ITA,GK,24,38,38,3420,38,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,20,
2018-2019,SeriaA,Fiorentina,Alban Lafont,fr FRA,GK,19,34,34,3015,33.5,40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,16.7,
2018-2019,SeriaA,Fiorentina,Bartłomiej Drągowski,pl POL,GK,20,3,2,225,2.5,2,0.8,8,6,75,0,1,1,1,50,0,0,0,,
2018-2019,SeriaA,Fiorentina,Pietro Terracciano,it ITA,GK,28,2,2,180,2,3,1.5,11,8,72.7,0,1,1,0,0,0,0,0,,
2018-2019,SeriaA,Genoa,Ionuț Radu,ro ROU,GK,21,33,33,2970,33,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,16.7,
2018-2019,SeriaA,Genoa,Federico Marchetti,it ITA,GK,35,4,4,360,4,10,2.5,18,9,44.4,2,0,2,1,25,0,0,0,,
2018-2019,SeriaA,Genoa,Jandrei,br BRA,GK,25,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,,
2018-2019,SeriaA,Empoli,Ivan Provedel,it ITA,GK,24,16,16,1440,16,36,2.25,104,69,68.3,4,4,8,0,0,4,3,0,0,
2018-2019,SeriaA,Empoli,Bartłomiej Drągowski,pl POL,GK,20,14,14,1260,14,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,25,
2018-2019,SeriaA,Empoli,Pietro Terracciano,it ITA,GK,28,8,8,720,8,10,1.25,35,26,71.4,1,2,5,2,25,0,0,0,,
2018-2019,SeriaA,Frosinone,Marco Sportiello,it ITA,GK,26,35,35,3150,35,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,
2018-2019,SeriaA,Frosinone,Francesco Bardi,it ITA,GK,26,3,3,270,3,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,,
2018-2019,SeriaA,Chievo,Stefano Sorrentino,it ITA,GK,39,31,31,2790,31,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,50,
2018-2019,SeriaA,Chievo,Adrian Šemper,hr CRO,GK,20,6,6,540,6,8,1.33,32,24,75,1,3,2,2,33.3,0,0,0,,
2018-2019,SeriaA,Chievo,Andrea Seculin,it ITA,GK,28,2,1,90,1,7,7,12,5,41.7,0,0,1,0,0,0,0,0,,
2018-2019,EreDivisie,Ajax,André Onana,cm CMR,GK,22,33,33,2921,32.4,27,0.83,104,77,75,28,1,4,15,45.5,2,1,1,50,
2018-2019,EreDivisie,Ajax,Kostas Lamprou,gr GRE,GK,26,2,1,139,1.6,5,3.24,13,9,61.5,0,1,0,0,0,0,0,0,,
2018-2019,EreDivisie,PSV Eindhoven,Jeroen Zoet,nl NED,GK,27,34,34,3060,34,26,0.76,84,58,71.4,26,5,3,16,47.1,3,2,1,33.3,
2018-2019,EreDivisie,Feyenoord,Kenneth Vermeer,nl NED,GK,32,18,17,1511,16.8,20,1.19,76,57,73.7,10,2,5,4,23.5,0,0,0,,
2018-2019,EreDivisie,Feyenoord,Justin Bijlow,nl NED,GK,20,16,16,1411,15.7,20,1.28,67,48,73.1,10,2,4,5,31.3,2,2,0,0,
2018-2019,EreDivisie,Feyenoord,Joris Delle,fr FRA,GK,28,2,1,138,1.5,1,0.65,9,8,88.9,0,1,0,1,100,0,0,0,,
2018-2019,EreDivisie,AZ Alkmaar,Marco Bizot,nl NED,GK,27,34,34,3060,34,43,1.26,148,108,72.3,17,7,10,14,41.2,3,2,1,33.3,
2018-2019,EreDivisie,Vitesse,Eduardo Carvalho,pt POR,GK,35,27,27,2430,27,39,1.44,116,78,68.1,11,8,8,4,14.8,2,2,0,0,
2018-2019,EreDivisie,Vitesse,Remko Pasveer,nl NED,GK,34,7,7,630,7,12,1.71,30,18,73.3,3,3,1,1,14.3,4,4,0,0,
2018-2019,EreDivisie,Utrecht,David Jensen,dk DEN,GK,26,33,33,2970,33,51,1.55,146,95,68.5,14,8,11,8,24.2,5,5,0,0,
2018-2019,EreDivisie,Utrecht,Maarten Paes,nl NED,GK,20,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,,
2018-2019,EreDivisie,Heracles Almelo,Janis Blaswich,de GER,GK,27,33,33,2925,32.5,63,1.94,197,135,73.6,15,3,15,6,18.2,12,11,1,8.3,
2018-2019,EreDivisie,Heracles Almelo,Michael Brouwer,nl NED,GK,25,2,1,135,1.5,5,3.33,10,6,60,0,0,1,0,0,2,1,0,0,
2018-2019,EreDivisie,Groningen,Sergio Padt,nl NED,GK,28,34,34,3060,34,41,1.21,136,95,71.3,13,6,15,12,35.3,2,2,0,0,
2018-2019,EreDivisie,ADO Den Haag,Robert Zwinkels,nl NED,GK,35,22,22,1969,21.9,36,1.65,127,92,72.4,9,5,8,7,31.8,1,1,0,0,
2018-2019,EreDivisie,ADO Den Haag,Indy Groothuizen,nl NED,GK,22,12,12,1080,12,25,2.08,55,30,63.6,3,4,5,1,8.3,5,5,0,0,
2018-2019,EreDivisie,ADO Den Haag,Mike Havekotte,nl NED,GK,22,1,0,7,0.1,2,25.71,2,0,50,0,0,0,0,,1,1,0,0,
2018-2019,EreDivisie,Willem II,Timon Wellenreuther,de GER,GK,22,29,29,2610,29,63,2.17,157,96,64.3,11,4,14,6,20.7,8,7,0,0,
2018-2019,EreDivisie,Willem II,Michael Woud,nz NZL,GK,19,4,4,360,4,9,2.25,19,10,52.6,1,1,2,0,0,0,0,0,,
2018-2019,EreDivisie,Willem II,Mattijs Branderhorst,nl NED,GK,24,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,,
2018-2019,EreDivisie,Heerenveen,Warner Hahn,sr SUR,GK,26,34,34,3060,34,73,2.15,196,124,65.3,10,11,13,2,5.9,6,5,1,16.7,
2018-2019,EreDivisie,VVV-Venlo,Lars Unnerstall,de GER,GK,28,33,33,2900,32.2,60,1.86,185,127,71.9,10,8,15,5,15.2,8,8,0,0,
2018-2019,EreDivisie,VVV-Venlo,Delano van Crooy,nl NED,GK,27,2,1,160,1.8,3,1.69,6,3,50,1,0,0,1,100,0,0,0,,
2018-2019,EreDivisie,Zwolle,Mickey van der Hart,nl NED,GK,24,29,28,2510,27.9,44,1.58,119,74,66.4,10,5,13,10,35.7,6,4,2,33.3,
2018-2019,EreDivisie,Zwolle,Diederik Boer,nl NED,GK,37,7,6,547,6.1,13,2.14,26,14,50,1,1,4,1,16.7,0,0,0,,
2018-2019,EreDivisie,Emmen,Kjell Scherpen,nl NED,GK,18,34,34,3046,33.8,72,2.13,192,123,64.1,10,8,16,3,8.8,5,3,0,0,
2018-2019,EreDivisie,Emmen,Dennis Telgenkamp,nl NED,GK,31,1,0,14,0.2,0,0,1,1,100,0,0,0,1,,0,0,0,,
2018-2019,EreDivisie,Fortuna Sittard,Alexei Koșelev,md MDA,GK,24,34,34,3060,34,80,2.35,204,124,64.7,9,7,18,5,14.7,10,8,2,20,
2018-2019,EreDivisie,Excelsior,Alessandro Damen,nl NED,GK,28,23,20,1906,21.2,48,2.27,149,101,68.5,5,2,13,3,15,2,1,1,50,
2018-2019,EreDivisie,Excelsior,Sonny Stevens,nl NED,GK,26,14,14,1153,12.8,31,2.42,77,47,62.3,4,4,6,2,14.3,3,2,1,33.3,
2018-2019,EreDivisie,De Graafschap,Hidde Jurjus,nl NED,GK,24,22,22,1886,20.9,42,2,131,89,68.7,6,3,13,3,13.6,2,1,1,50,
2018-2019,EreDivisie,De Graafschap,Nigel Bertrams,nl NED,GK,25,11,10,949,10.6,23,2.18,69,47,71,2,1,7,2,20,3,3,0,0,
2018-2019,EreDivisie,De Graafschap,Agil Etemadi,nl NED,GK,31,3,2,225,2.5,10,4,25,15,60,0,1,1,1,50,0,0,0,,
2018-2019,EreDivisie,NAC Breda,Benjamin van Leer,nl NED,GK,26,31,31,2790,31,67,2.16,169,106,63.3,4,8,19,3,9.7,6,5,0,0,
2018-2019,EreDivisie,NAC Breda,Mark Birighitti,au AUS,GK,27,1,1,90,1,5,5,12,7,58.3,0,0,1,0,0,0,0,0,,
2018-2019,EreDivisie,NAC Breda,Arijanet Muric,xk KVX,GK,19,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,,
2018-2019,EreDivisie,NAC Breda,Karol Niemczycki,pl POL,GK,19,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,
2018-2019,PrimeiraLiga,Benfica,Odisseas Vlachodimos,gr GRE,GK,24,34,34,3054,33.9,30,0.88,117,89,77.8,28,3,3,15,44.1,5,4,1,20,
2018-2019,PrimeiraLiga,Benfica,Mile Svilar,rs SRB,GK,18,1,0,2,0,1,45,1,0,100,0,0,0,0,,1,1,0,0,
2018-2019,PrimeiraLiga,Porto,Iker Casillas,es ESP,GK,37,31,31,2790,31,19,0.61,68,50,76.5,24,4,3,18,58.1,3,3,0,0,
2018-2019,PrimeiraLiga,Porto,Vaná,br BRA,GK,27,3,3,270,3,1,0.33,5,4,80,3,0,0,2,66.7,0,0,0,,
2018-2019,PrimeiraLiga,Sporting CP,Renan Ribeiro,br BRA,GK,28,27,26,2299,25.6,26,1.02,87,61,71.3,18,4,4,7,26.9,1,1,0,0,
2018-2019,PrimeiraLiga,Sporting CP,Romain Salin,fr FRA,GK,34,9,8,758,8.4,7,0.83,32,25,81.3,5,1,2,3,37.5,1,1,0,0,
2018-2019,PrimeiraLiga,Braga,Tiago Sá,pt POR,GK,23,31,31,2790,31,31,1,102,70,74.5,19,3,9,16,51.6,6,5,1,16.7,
2018-2019,PrimeiraLiga,Braga,Matheus,br BRA,GK,26,3,3,270,3,6,2,21,15,76.2,2,1,0,0,0,1,1,0,0,
2018-2019,PrimeiraLiga,Vitória,Douglas,br BRA,GK,35,23,23,2070,23,21,0.91,95,73,80,10,6,7,8,34.8,3,2,1,33.3,
2018-2019,PrimeiraLiga,Vitória,João Miguel Macedo Silva,pt POR,GK,23,11,11,990,11,13,1.18,55,42,78.2,5,1,5,2,18.2,1,1,0,0,
2018-2019,PrimeiraLiga,Moreirense,Jhonatan,br BRA,GK,27,25,25,2233,24.8,30,1.21,94,64,72.3,13,3,9,6,24,6,4,0,0,
2018-2019,PrimeiraLiga,Moreirense,Pedro Trigueira,pt POR,GK,30,8,7,587,6.5,9,1.38,27,17,66.7,3,1,3,3,42.9,1,0,1,100,
2018-2019,PrimeiraLiga,Moreirense,Nuno Macedo,pt POR,GK,19,3,2,236,2.6,5,1.91,11,6,54.5,0,0,2,0,0,0,0,0,,
2018-2019,PrimeiraLiga,Rio Ave,Leonardo César Jardim,br BRA,GK,23,33,33,2970,33,51,1.55,144,103,71.5,11,9,13,5,15.2,10,10,0,0,
2018-2019,PrimeiraLiga,Rio Ave,Paulo Vítor Fagundes dos Anjos,br BRA,GK,29,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,,
2018-2019,PrimeiraLiga,Boavista,Helton Leite,br BRA,GK,27,21,21,1890,21,26,1.24,99,73,75.8,6,4,11,9,42.9,3,2,0,0,
2018-2019,PrimeiraLiga,Boavista,Rafael Bracalli,br BRA,GK,37,12,12,1080,12,14,1.17,55,43,81.8,6,1,5,4,33.3,4,4,0,0,
2018-2019,PrimeiraLiga,Boavista,Assis Giovanaz,br BRA,GK,28,1,1,90,1,0,0,5,5,100,1,0,0,1,100,0,0,0,,
2018-2019,PrimeiraLiga,B-SAD,Muriel Becker,br BRA,GK,31,32,32,2811,31.2,39,1.25,128,90,74.2,9,13,10,12,37.5,7,6,1,14.3,
2018-2019,PrimeiraLiga,B-SAD,Mika,pt POR,GK,27,2,2,180,2,5,2.5,13,8,69.2,1,0,1,1,50,1,1,0,0,
2018-2019,PrimeiraLiga,B-SAD,Guilherme Mata Oliveira,pt POR,GK,23,1,0,66,0.7,7,9.55,10,3,40,0,0,0,0,,1,1,0,0,
2018-2019,PrimeiraLiga,Santa Clara,Marco André Rocha Pereira,pt POR,GK,31,25,25,2192,24.3,30,1.23,110,80,78.2,9,6,10,7,28,6,6,0,0,
2018-2019,PrimeiraLiga,Santa Clara,Serginho,pt POR,GK,35,7,6,598,6.7,10,1.51,28,18,67.9,1,1,4,1,16.7,1,1,0,0,
2018-2019,PrimeiraLiga,Santa Clara,João Lopes,br BRA,GK,22,3,3,270,3,5,1.67,15,10,80,1,2,0,1,33.3,2,2,0,0,
2018-2019,PrimeiraLiga,Marítimo,Charles,br BRA,GK,24,21,21,1890,21,28,1.33,100,73,77,9,1,11,7,33.3,6,5,0,0,
2018-2019,PrimeiraLiga,Marítimo,Amir Abedzadeh,ir IRN,GK,25,13,13,1170,13,16,1.23,55,38,78.2,3,2,8,3,23.1,5,4,1,20,
2018-2019,PrimeiraLiga,Portimonense,Ricardo Abel Barbosa Ferreira,pt POR,GK,28,26,26,2340,26,45,1.73,128,84,66.4,7,5,14,4,15.4,2,2,0,0,
2018-2019,PrimeiraLiga,Portimonense,Leonardo Navacchio,br BRA,GK,25,7,7,630,7,12,1.71,23,12,56.5,4,1,2,1,14.3,2,2,0,0,
2018-2019,PrimeiraLiga,Portimonense,Shūichi Gonda,jp JPN,GK,29,1,1,90,1,2,2,7,5,85.7,0,0,1,0,0,1,1,0,0,
2018-2019,PrimeiraLiga,Vitória Setúbal,Cristiano Pereira Figueiredo,pt POR,GK,27,14,14,1260,14,15,1.07,56,41,75,2,5,7,5,35.7,1,1,0,0,
2018-2019,PrimeiraLiga,Vitória Setúbal,Giorgi Makaridze,ge GEO,GK,28,11,11,990,11,12,1.09,41,29,73.2,3,5,3,4,36.4,2,1,1,50,
2018-2019,PrimeiraLiga,Vitória Setúbal,Joel Castro Pereira,pt POR,GK,22,9,9,810,9,12,1.33,38,26,71.1,3,2,4,2,22.2,1,1,0,0,
2018-2019,PrimeiraLiga,Aves,Quentin Beunardeau,fr FRA,GK,24,26,26,2340,26,30,1.15,109,80,73.4,8,5,13,9,34.6,1,1,0,0,
2018-2019,PrimeiraLiga,Aves,André Ferreira,pt POR,GK,22,8,8,707,7.8,19,2.42,42,24,59.5,2,1,5,0,0,2,2,0,0,
2018-2019,PrimeiraLiga,Aves,Fábio Szymonek,br BRA,GK,28,1,0,13,0.2,0,0,1,1,100,0,0,0,0,,0,0,0,,
2018-2019,PrimeiraLiga,Tondela,Cláudio Ramos,pt POR,GK,26,34,34,3060,34,54,1.59,151,96,67.5,9,8,17,4,11.8,7,5,1,16.7,
2018-2019,PrimeiraLiga,Chaves,António Filipe de Carvalho,pt POR,GK,33,19,19,1694,18.8,27,1.43,74,49,67.6,6,7,6,7,36.8,3,3,0,0,
2018-2019,PrimeiraLiga,Chaves,Ricardo Jorge Novo Nunes,pt POR,GK,36,16,15,1366,15.2,30,1.98,77,46,63.6,2,1,12,1,6.7,2,2,0,0,
2018-2019,PrimeiraLiga,Nacional,Daniel Guimarães,br BRA,GK,31,28,28,2421,26.9,58,2.16,134,76,64.2,7,6,15,7,25,12,10,1,9.1,
2018-2019,PrimeiraLiga,Nacional,Lucas França,br BRA,GK,22,7,5,549,6.1,12,1.97,24,12,50,0,1,4,1,20,0,0,0,,
2018-2019,PrimeiraLiga,Nacional,Ohoulo Framelin,cm CMR,GK,21,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,,
2018-2019,PrimeiraLiga,Feirense,Caio Secco,br BRA,GK,27,24,24,2156,23.9,43,1.79,116,74,65.5,3,8,13,4,16.7,3,3,0,0,
2018-2019,PrimeiraLiga,Feirense,André Moreira,pt POR,GK,22,5,5,450,5,14,2.8,29,16,51.7,0,0,5,0,0,0,0,0,,
2018-2019,PrimeiraLiga,Feirense,Bruno Brigido,br BRA,GK,27,5,4,364,4.1,7,1.73,19,12,73.7,0,2,2,1,25,2,2,0,0,
2018-2019,PrimeiraLiga,Feirense,Dele Alampasu,ng NGA,GK,21,1,1,90,1,0,0,2,2,100,0,1,0,1,100,0,0,0,,
2019-2020,EPL,Liverpool,Alisson,br BRA,GK,26,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,
2019-2020,EPL,Liverpool,Adrián,es ESP,GK,32,11,9,875,9.7,10,1.03,27,17,63,9,0,0,2,22.2,0,0,0,,
2019-2020,EPL,Manchester City,Ederson,br BRA,GK,25,35,35,3071,34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,
2019-2020,EPL,Manchester City,Claudio Bravo,cl CHI,GK,36,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,,
2019-2020,EPL,Manchester Utd,David de Gea,es ESP,GK,28,38,38,3420,38,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,
2019-2020,EPL,Chelsea,Kepa Arrizabalaga,es ESP,GK,24,33,33,2970,33,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,
2019-2020,EPL,Chelsea,Willy Caballero,ar ARG,GK,37,5,5,450,5,7,1.4,16,10,56.3,2,2,1,1,20,0,0,0,,
2019-2020,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,32,38,38,3420,38,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,20,
2019-2020,EPL,Tottenham,Hugo Lloris,fr FRA,GK,32,21,21,1807,20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,33.3,
2019-2020,EPL,Tottenham,Paulo Gazzaniga,ar ARG,GK,27,18,17,1613,17.9,26,1.45,82,56,72,5,5,7,2,11.8,4,3,1,25,
2019-2020,EPL,Wolves,Rui Patrício,pt POR,GK,31,38,38,3420,38,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,66.7,
2019-2020,EPL,Arsenal,Bernd Leno,de GER,GK,27,30,30,2649,29.4,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,14.3,
2019-2020,EPL,Arsenal,Emiliano Martínez,ar ARG,GK,26,9,8,771,8.6,9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,
2019-2020,EPL,Sheffield Utd,Dean Henderson,eng ENG,GK,22,36,36,3240,36,33,0.92,128,94,75,14,11,11,13,36.1,3,1,1,50,
2019-2020,EPL,Sheffield Utd,Simon Moore,eng ENG,GK,29,2,2,180,2,6,3,11,5,45.5,0,1,1,0,0,0,0,0,,
2019-2020,EPL,Burnley,Nick Pope,eng ENG,GK,27,38,38,3420,38,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,20,
2019-2020,EPL,Southampton,Alex McCarthy,eng ENG,GK,29,28,28,2520,28,35,1.25,113,78,69.9,13,5,10,7,25,2,1,1,50,
2019-2020,EPL,Southampton,Angus Gunn,eng ENG,GK,23,10,10,900,10,25,2.5,55,30,58.2,2,2,6,2,20,2,2,0,0,
2019-2020,EPL,Everton,Jordan Pickford,eng ENG,GK,25,38,38,3420,38,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,0,
2019-2020,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,30,38,38,3420,38,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,
2019-2020,EPL,Crystal Palace,Vicente Guaita,es ESP,GK,32,35,35,3150,35,42,1.2,149,109,71.8,11,9,15,10,28.6,1,0,0,,
2019-2020,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,32,3,3,270,3,8,2.67,23,15,65.2,0,1,2,0,0,0,0,0,,
2019-2020,EPL,Brighton,Mathew Ryan,au AUS,GK,27,38,38,3420,38,54,1.42,168,116,69,9,14,15,9,23.7,2,2,0,0,
2019-2020,EPL,West Ham,Łukasz Fabiański,pl POL,GK,34,25,25,2117,23.5,34,1.45,104,71,70.2,8,7,10,5,20,4,3,1,25,
2019-2020,EPL,West Ham,Roberto,es ESP,GK,33,8,7,687,7.6,17,2.23,51,35,68.6,0,1,6,0,0,1,1,0,0,
2019-2020,EPL,West Ham,David Martin,eng ENG,GK,33,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50,0,0,0,,
2019-2020,EPL,West Ham,Darren Randolph,ie IRL,GK,32,2,2,180,2,5,2.5,11,6,63.6,0,1,1,0,0,1,1,0,0,
2019-2020,EPL,Aston Villa,Tom Heaton,eng ENG,GK,33,20,20,1794,19.9,35,1.76,102,68,68.6,6,3,11,4,20,3,3,0,0,
2019-2020,EPL,Aston Villa,Pepe Reina,es ESP,GK,36,12,12,1080,12,20,1.67,53,32,66,3,3,6,2,16.7,3,2,1,33.3,
2019-2020,EPL,Aston Villa,Ørjan Nyland,no NOR,GK,28,7,5,539,6,12,2,27,15,55.6,0,2,3,1,20,0,0,0,,
2019-2020,EPL,Aston Villa,Jed Steer,eng ENG,GK,26,1,1,7,0.1,,,,,,,,1,,,,,,,
2019-2020,EPL,Bournemouth,Aaron Ramsdale,eng ENG,GK,21,37,37,3330,37,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,16.7,
2019-2020,EPL,Bournemouth,Mark Travers,ie IRL,GK,20,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,,
2019-2020,EPL,Watford,Ben Foster,eng ENG,GK,36,38,38,3420,38,64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,11.1,
2019-2020,EPL,Norwich City,Tim Krul,nl NED,GK,31,36,36,3240,36,68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,40,
2019-2020,EPL,Norwich City,Michael McGovern,nir NIR,GK,35,2,1,159,1.8,6,3.4,13,6,53.8,0,0,1,0,0,1,0,1,100,
2019-2020,EPL,Norwich City,Ralf Fährmann,de GER,GK,30,1,1,21,0.2,1,4.29,2,1,100,,,1,,,,1,,,
2019-2020,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,33,33,33,2970,33,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,25,
2019-2020,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,30,2,2,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,,
2019-2020,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,28,31,31,2770,30.8,40,1.3,95,58,61.1,19,5,7,12,38.7,3,3,0,0,
2019-2020,Bundesliga,Dortmund,Marwin Hitz,ch SUI,GK,31,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100,0,0,0,,
2019-2020,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,29,32,32,2880,32,34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,
2019-2020,Bundesliga,RB Leipzig,Yvon Mvogo,ch SUI,GK,25,2,2,180,2,3,1.5,5,2,40,2,0,0,0,0,0,0,0,,
2019-2020,Bundesliga,M'Gladbach,Yann Sommer,ch SUI,GK,30,34,34,3060,34,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,50,
2019-2020,Bundesliga,Leverkusen,Lukáš Hrádecký,fi FIN,GK,29,34,34,3060,34,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,
2019-2020,Bundesliga,Hoffenheim,Oliver Baumann,de GER,GK,29,30,30,2700,30,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,28.6,
2019-2020,Bundesliga,Hoffenheim,Philipp Pentke,de GER,GK,34,4,4,360,4,4,1,21,17,85.7,2,0,2,1,25,1,1,0,0,
2019-2020,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,27,26,26,2340,26,38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,
2019-2020,Bundesliga,Wolfsburg,Pavao Pervan,at AUT,GK,31,8,8,720,8,8,1,37,30,81.1,2,4,2,3,37.5,1,1,0,0,
2019-2020,Bundesliga,Freiburg,Alexander Schwolow,de GER,GK,27,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,
2019-2020,Bundesliga,Freiburg,Mark Flekken,nl NED,GK,26,10,10,900,10,14,1.4,69,55,79.7,4,3,3,3,30,1,0,0,,
2019-2020,Bundesliga,Freiburg,Niclas Thiede,de GER,GK,20,1,0,69,0.8,1,1.3,4,3,75,0,0,0,0,,0,0,0,,
2019-2020,Bundesliga,Eint Frankfurt,Kevin Trapp,de GER,GK,29,22,22,1980,22,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,
2019-2020,Bundesliga,Eint Frankfurt,Frederik Rønnow,dk DEN,GK,26,9,9,810,9,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,
2019-2020,Bundesliga,Eint Frankfurt,Felix Wiedwald,de GER,GK,29,3,3,270,3,8,2.67,20,12,60,0,0,3,0,0,0,0,0,,
2019-2020,Bundesliga,Hertha BSC,Rune Jarstein,no NOR,GK,34,29,29,2547,28.3,46,1.63,143,99,72.7,11,5,13,9,31,7,7,0,0,
2019-2020,Bundesliga,Hertha BSC,Thomas Kraft,de GER,GK,31,4,4,360,4,9,2.25,19,10,52.6,0,3,1,0,0,0,0,0,,
2019-2020,Bundesliga,Hertha BSC,Dennis Smarsch,de GER,GK,20,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0,0,0,0,,
2019-2020,Bundesliga,Union Berlin,Rafał Gikiewicz,pl POL,GK,31,33,33,2970,33,54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,25,
2019-2020,Bundesliga,Union Berlin,Moritz Nicolas,de GER,GK,21,1,1,90,1,4,4,8,4,50,0,0,1,0,0,0,0,0,,
2019-2020,Bundesliga,Schalke 04,Alexander Nübel,de GER,GK,22,26,26,2315,25.7,40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,
2019-2020,Bundesliga,Schalke 04,Markus Schubert,de GER,GK,21,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25,2,2,0,0,
2019-2020,Bundesliga,Mainz 05,Robin Zentner,de GER,GK,24,22,22,1935,21.5,40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,50,
2019-2020,Bundesliga,Mainz 05,Florian Müller,de GER,GK,21,13,12,1125,12.5,25,2,66,40,65.2,3,2,7,2,16.7,3,2,1,33.3,
