Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,Key
1,0,1,0,0,0,2,1,0,1,2,0,0,2017-2018_charlycharrier
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jean-christophebouet
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_georgesgope-fenepej
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jean-lucdompe
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_brightonlabeau
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_nathan
0,0,0,0,0,0,0,0,0,0,1,0,0,2017-2018_sekoubaradji
92,59,35,46,11,28,92,40,5,35,40,45,1,2017-2018_thomasmangani
17,8,2,5,10,5,24,13,0,13,15,2,0,2017-2018_karltokoekambi
84,49,56,22,6,42,34,34,2,32,34,103,0,2017-2018_vincentmanceau
54,32,40,13,1,14,15,25,10,15,52,132,2,2017-2018_ismaeltraore
59,40,25,29,5,23,60,39,8,31,43,48,2,2017-2018_baptistesantamaria
31,21,16,15,0,14,15,32,19,13,34,151,1,2017-2018_romainthomas
50,36,26,18,6,18,60,43,4,39,20,17,1,2017-2018_flavientait
48,30,40,6,2,16,23,23,5,18,37,75,1,2017-2018_yoannandreu
50,37,29,17,4,16,54,29,0,29,34,26,0,2017-2018_pierrickcapelle
13,7,10,3,0,7,13,14,11,3,21,120,0,2017-2018_mateopavlovic
0,0,0,0,0,0,0,0,0,0,1,10,2,2017-2018_ludovicbutelle
29,22,23,6,0,16,14,8,1,7,11,52,0,2017-2018_abdoulayebamba
21,11,9,8,4,8,19,21,2,19,20,7,0,2017-2018_angelofulgini
16,11,5,9,2,8,23,20,4,16,11,8,0,2017-2018_princeoniangue
0,0,0,0,0,0,0,0,0,0,0,1,2,2017-2018_alexandreletellier
13,9,2,6,5,1,4,4,0,4,2,6,0,2017-2018_enzocrivelli
26,17,13,10,3,10,25,15,1,14,8,10,0,2017-2018_lassanacoulibaly
13,8,7,5,1,6,11,7,2,5,1,9,0,2017-2018_jeffreine-adelaide
0,0,0,0,0,0,1,0,0,0,0,0,1,2017-2018_mathieumichel
7,6,4,3,0,2,3,3,1,2,9,15,1,2017-2018_mehditahrat
4,4,1,3,0,0,4,7,0,7,3,3,0,2017-2018_gillessunu
14,9,4,5,5,5,10,9,0,9,5,8,0,2017-2018_billyketkeophomphone
4,1,0,2,2,0,5,4,1,3,2,1,0,2017-2018_baptisteguillaume
3,2,1,1,1,2,3,0,0,0,2,1,0,2017-2018_saliouciss
2,2,0,2,0,0,2,0,0,0,0,1,0,2017-2018_wilfriedkanga
9,5,2,5,2,3,1,7,3,4,4,2,0,2017-2018_loicpuyo
2,1,0,1,1,0,7,5,0,5,1,0,0,2017-2018_thomastoure
73,50,41,28,4,17,37,30,3,27,33,36,0,2017-2018_jonasmartin
70,34,32,37,1,17,38,29,7,22,75,58,1,2017-2018_jean-eudesaholou
87,47,53,28,6,21,26,18,10,8,42,70,2,2017-2018_kennylala
77,51,37,32,8,30,54,35,2,33,52,41,1,2017-2018_dimitrilienard
26,17,23,3,0,12,19,20,10,10,33,122,2,2017-2018_bakarykone
60,47,41,14,5,40,21,25,8,17,51,98,1,2017-2018_ernestseka
41,34,28,12,1,22,27,25,12,13,51,112,3,2017-2018_pablomartinez
50,32,12,29,9,7,28,21,0,21,19,9,0,2017-2018_nunodacosta
37,24,29,8,0,11,10,28,18,10,24,120,4,2017-2018_kadermangane
0,0,0,0,0,0,2,0,0,0,1,6,3,2017-2018_bingouroukamara
42,30,16,23,3,9,19,11,1,10,14,6,0,2017-2018_martinterrier
16,11,3,8,5,4,18,18,1,17,9,1,0,2017-2018_stephanebahoken
50,31,14,32,4,15,35,27,0,27,25,27,0,2017-2018_anthonygoncalves
0,0,0,0,0,0,1,0,0,0,3,9,1,2017-2018_alexandreoukidja
28,19,5,16,7,6,22,18,1,17,11,11,0,2017-2018_benjamincorgnet
25,12,15,8,2,7,10,15,4,11,14,33,0,2017-2018_dimitrifoulquier
15,13,10,5,0,5,7,11,6,5,26,62,1,2017-2018_yoannsalmier
6,5,2,3,1,2,9,3,2,1,5,1,0,2017-2018_idrisssaadi
10,8,6,0,4,2,8,2,0,2,5,6,0,2017-2018_ihsansacko
5,3,0,3,2,2,7,7,2,5,1,11,0,2017-2018_jeremyblayac
23,17,15,6,2,9,15,11,3,8,19,31,1,2017-2018_jeremygrimm
0,0,0,0,0,0,0,0,0,0,0,2,0,2017-2018_landrybonnefoi
9,5,6,3,0,5,5,6,1,5,2,5,0,2017-2018_abdallahndour
0,0,0,0,0,0,0,0,0,0,0,2,0,2017-2018_vincentnogueira
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_kevinzohi
136,89,71,58,7,50,55,43,13,30,88,136,0,2017-2018_fredericguilbert
33,22,7,18,8,8,34,21,2,19,28,41,1,2017-2018_ronnyrodelin
40,27,10,25,5,14,61,52,7,45,49,58,2,2017-2018_julienferet
2,2,2,0,0,2,0,0,0,0,2,14,2,2017-2018_remyvercoutre
52,35,40,12,0,20,13,45,25,20,36,184,2,2017-2018_damiendasilva
19,12,5,8,6,4,25,13,5,8,4,33,0,2017-2018_ivansantini
65,43,52,11,2,25,27,34,5,29,57,155,2,2017-2018_alexanderdjiku
47,28,17,27,3,15,49,35,2,33,32,30,0,2017-2018_youssefaitbennasser
48,28,27,13,8,21,18,25,11,14,31,76,0,2017-2018_romaingenevois
71,48,48,18,5,41,24,21,1,20,28,50,0,2017-2018_adamambengue
41,27,23,16,2,22,26,19,1,18,18,18,0,2017-2018_vincentbessat
27,19,8,18,1,8,20,20,8,12,25,64,1,2017-2018_baissamasankoh
14,11,5,5,4,4,14,10,0,10,7,3,0,2017-2018_janrepas
22,11,6,14,2,6,25,17,3,14,7,11,0,2017-2018_stefpeeters
21,15,9,7,5,5,10,22,0,22,15,8,0,2017-2018_hervebazile
4,2,2,1,1,1,4,1,0,1,2,2,0,2017-2018_enzocrivelli
14,8,7,6,1,10,5,11,5,6,5,20,0,2017-2018_ismaeldiomande
16,11,6,9,1,5,12,12,1,11,10,25,0,2017-2018_durelavounou
24,13,14,8,2,5,14,16,1,15,8,6,1,2017-2018_christiankouakou
10,8,1,8,1,3,7,13,5,8,8,8,0,2017-2018_jonathandelaplace
12,9,4,6,2,4,10,5,0,5,10,13,0,2017-2018_jessydeminguet
9,6,4,5,0,1,3,7,1,6,1,0,0,2017-2018_jordannkololo
4,3,1,1,2,1,15,7,0,7,3,1,0,2017-2018_timostavitski
0,0,0,0,0,0,0,0,0,0,0,2,0,2017-2018_bricesamba
2,1,0,1,1,1,0,1,1,0,1,2,1,2017-2018_yoelarmougom
0,0,0,0,0,0,0,0,0,0,1,1,0,2017-2018_emmanuelimorou
74,42,55,18,1,31,38,57,26,31,84,135,3,2017-2018_edgarie
1,1,1,0,0,1,0,0,0,0,0,8,6,2017-2018_mikemaignan
30,18,14,11,5,11,31,23,0,23,10,20,0,2017-2018_nicolaspepe
58,31,36,22,0,28,22,26,16,10,56,153,1,2017-2018_junioralonso
43,29,24,19,0,14,13,30,13,17,41,70,3,2017-2018_ibrahimamadou
62,41,21,31,10,17,45,31,4,27,28,14,0,2017-2018_yassinebenzia
55,40,26,26,3,15,46,32,10,22,61,47,1,2017-2018_thiagomaia
25,16,10,11,4,5,18,21,3,18,25,29,0,2017-2018_thiagomendes
50,36,29,16,5,21,26,27,2,25,28,47,1,2017-2018_fodeballo-toure
41,31,23,17,1,10,37,24,0,24,16,11,1,2017-2018_luizaraujo
51,37,31,16,4,17,8,13,5,8,38,47,0,2017-2018_kevinmalcuit
23,18,7,13,3,9,20,11,1,10,7,7,1,2017-2018_anwarelghazi
67,50,30,32,5,19,20,13,2,11,31,31,1,2017-2018_yvesbissouma
9,5,7,2,0,2,1,22,16,6,16,50,1,2017-2018_adamasoumaoro
8,5,4,0,4,0,7,6,2,4,2,11,0,2017-2018_lebomothiba
20,11,14,4,2,6,4,14,6,8,10,46,0,2017-2018_kouadio-yvesdabila
18,10,12,6,0,11,9,5,0,5,17,26,0,2017-2018_hamzamendyl
9,8,3,5,1,0,7,2,1,1,3,11,0,2017-2018_ezequielponce
0,0,0,0,0,0,0,0,0,0,1,1,1,2017-2018_hervekoffi
13,9,8,5,0,3,11,8,1,7,7,6,1,2017-2018_boubakarysoumare
3,3,0,1,2,1,4,3,0,3,0,2,0,2017-2018_nicolasdepreville
10,8,4,3,3,2,5,7,0,7,1,1,0,2017-2018_faresbahlouli
5,2,2,2,1,2,1,1,0,1,5,0,0,2017-2018_rominiguekouame
5,2,2,1,2,4,4,1,0,1,4,3,0,2017-2018_imadfaraj
1,0,1,0,0,0,0,1,0,1,1,0,0,2017-2018_xeka
1,0,1,0,0,1,3,0,0,0,2,20,5,2017-2018_albanlafont
59,43,45,10,4,22,9,25,7,18,45,127,1,2017-2018_kelvinamian
58,43,35,22,1,21,27,38,25,13,76,128,0,2017-2018_issadiop
36,25,27,9,0,15,17,29,19,10,40,182,5,2017-2018_christopherjullien
29,19,10,15,4,7,22,17,2,15,20,13,3,2017-2018_giannelliimbula
63,36,28,21,14,24,48,39,2,37,14,30,0,2017-2018_maxgradel
20,13,2,9,9,4,15,10,0,10,12,22,0,2017-2018_andydelort
65,45,21,36,8,14,40,34,2,32,34,35,0,2017-2018_somalia
57,37,23,30,4,22,47,27,6,21,31,31,0,2017-2018_alexisblin
28,15,20,7,1,10,24,23,7,16,27,75,0,2017-2018_francoismoubandje
12,8,4,7,1,5,16,14,1,13,14,10,0,2017-2018_corentinjean
72,47,35,34,3,29,40,33,7,26,24,19,1,2017-2018_ibrahimsangare
39,28,20,19,0,15,11,29,10,19,30,42,0,2017-2018_yannickcahuzac
44,32,22,16,6,19,28,31,4,27,34,65,1,2017-2018_issiagasylla
11,6,1,5,5,3,8,6,1,5,6,14,1,2017-2018_yayasanogo
49,36,28,17,4,20,17,16,7,9,34,64,1,2017-2018_steeveyago
16,9,5,5,6,6,8,2,0,2,14,9,0,2017-2018_jimmydurmaz
4,4,1,0,3,0,7,2,0,2,2,12,0,2017-2018_olatoivonen
8,4,6,2,0,4,6,11,0,11,9,4,0,2017-2018_ndombemubele
11,7,7,4,0,7,4,3,1,2,4,12,0,2017-2018_clementmichelin
3,1,0,3,0,1,5,0,0,0,2,3,0,2017-2018_yannbodiger
7,3,5,1,1,4,1,1,0,1,2,2,0,2017-2018_zinedinemachach
2,2,0,2,0,0,3,2,0,2,0,1,0,2017-2018_quentinboisgard
4,2,3,1,0,1,2,0,0,0,3,6,0,2017-2018_stevenfortes
1,0,0,0,1,0,0,0,0,0,0,2,0,2017-2018_drisskhalid
39,26,27,12,0,16,14,38,27,11,56,241,1,2017-2018_christopheherelle
60,32,46,9,5,26,30,52,16,36,57,171,0,2017-2018_charlestraore
69,43,39,18,12,21,52,31,3,28,23,19,1,2017-2018_samuelgrandsir
52,38,33,14,5,20,28,26,10,16,60,95,2,2017-2018_mathieudeplagne
48,33,23,21,4,21,28,20,6,14,28,45,0,2017-2018_francoisbellugou
84,57,41,37,6,27,41,30,11,19,26,61,3,2017-2018_karimazamoum
22,12,5,10,7,6,20,11,2,9,9,13,0,2017-2018_adamaniane
26,16,20,6,0,10,6,30,22,8,31,128,2,2017-2018_jimmygiraudon
57,25,22,27,8,15,35,12,2,10,27,9,0,2017-2018_saif-eddinekhaoui
0,0,0,0,0,0,2,0,0,0,0,12,3,2017-2018_mamadousamassa
19,14,13,4,2,5,35,21,2,19,20,17,0,2017-2018_stephanedarbion
20,9,9,8,3,4,24,11,0,11,15,13,0,2017-2018_bryanpele
21,15,17,3,1,14,23,18,16,2,20,129,2,2017-2018_oswaldovizcarrondo
1,1,1,0,0,1,1,0,0,0,2,10,1,2017-2018_erwinzelazny
31,14,12,14,5,11,40,18,1,17,16,20,0,2017-2018_benjaminnivet
25,20,12,9,4,5,8,12,0,12,12,16,1,2017-2018_tristandingome
6,5,2,2,2,1,8,10,0,10,1,7,0,2017-2018_sukhyun-jun
23,10,9,13,1,2,21,7,3,4,11,14,0,2017-2018_remiwalter
20,16,12,7,1,9,5,12,2,10,9,35,0,2017-2018_jeremycordoval
13,9,9,2,2,6,7,9,1,8,7,15,0,2017-2018_johannobiang
8,6,7,1,0,3,6,7,4,3,4,15,1,2017-2018_aloisconfais
11,8,5,3,3,2,9,3,0,3,2,3,0,2017-2018_chaoukibensaada
1,1,1,0,0,0,1,2,1,1,0,4,1,2017-2018_gabrieldossantos
1,0,0,1,0,0,1,1,0,1,1,0,0,2017-2018_jonathantinhan
0,0,0,0,0,0,3,2,0,2,0,2,0,2017-2018_bryanmbeumo
143,86,63,71,9,46,73,70,10,60,53,91,0,2017-2018_renaudcohade
57,38,44,12,1,22,15,27,14,13,55,139,1,2017-2018_moussaniakhate
24,17,8,10,6,7,31,32,2,30,25,22,0,2017-2018_nolanroux
35,25,15,15,5,7,32,24,3,21,28,12,0,2017-2018_mathieudossevi
1,1,1,0,0,1,2,0,0,0,3,9,2,2017-2018_eijikawashima
33,20,21,12,0,7,15,33,18,15,46,116,3,2017-2018_falloudiagne
81,59,50,26,5,41,39,21,7,14,39,73,0,2017-2018_jonathanrivierez
10,3,1,6,3,1,11,8,0,8,2,5,0,2017-2018_emmanuelriviere
34,22,22,6,6,12,16,23,9,14,27,64,1,2017-2018_ivanballiu
58,37,23,29,6,25,41,19,0,19,24,22,1,2017-2018_geronimopoblete
25,18,10,12,3,3,22,8,1,7,11,8,0,2017-2018_florentmollet
29,15,17,9,3,17,12,16,2,14,22,31,0,2017-2018_julianpalmieri
12,9,5,6,1,5,10,7,4,3,46,21,0,2017-2018_benoitassou-ekotto
20,14,10,9,1,11,3,10,8,2,17,58,1,2017-2018_vahidselimovic
27,22,11,12,4,5,16,10,0,10,18,13,0,2017-2018_opanguette
25,14,8,16,1,8,10,9,3,6,18,21,1,2017-2018_georgesmandjeck
22,12,10,10,2,5,21,13,5,8,30,18,0,2017-2018_chrisphilipps
7,5,5,1,1,5,2,2,0,2,5,43,0,2017-2018_milanbisevac
0,0,0,0,0,0,1,0,0,0,0,5,2,2017-2018_thomasdidillon
8,4,0,4,4,1,8,5,0,5,3,2,0,2017-2018_danijelmilicevic
9,7,3,4,2,3,8,3,1,2,12,13,0,2017-2018_cafu
6,5,4,1,1,2,6,6,0,6,4,8,0,2017-2018_ibrahimaniane
14,8,13,1,0,5,9,10,2,8,5,17,0,2017-2018_matthieuudol
9,7,5,3,1,4,5,6,3,3,8,14,0,2017-2018_nicolasbasin
3,2,0,2,1,1,5,5,1,4,3,2,0,2017-2018_yannjouffre
1,1,1,0,0,0,5,1,0,1,3,1,0,2017-2018_abliejallow
5,3,3,1,1,2,4,1,0,1,0,6,0,2017-2018_dylanlempereur
0,0,0,0,0,0,0,0,0,0,1,8,0,2017-2018_simonfalette
2,1,0,2,0,1,2,2,1,1,0,3,0,2017-2018_lemouyagoudiaby
2,2,2,0,0,2,2,1,0,1,2,1,0,2017-2018_gauthierhein
5,1,4,1,0,3,3,1,0,1,1,2,0,2017-2018_faridboulaya
0,0,0,0,0,0,1,2,0,2,0,0,0,2017-2018_brianfernandez
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_quentinbeunardeau
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_vincentthill
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_habibdiallo
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_lilianfournier
19,17,3,7,9,2,17,19,4,15,7,20,0,2017-2018_gonzalohiguain
36,30,13,18,5,13,38,25,5,20,64,27,2,2017-2018_miralempjanic
49,35,14,25,10,10,25,28,4,24,32,22,1,2017-2018_blaisematuidi
36,23,13,11,12,8,21,20,3,17,25,42,2,2017-2018_mariomandzukic
19,11,4,10,5,4,28,22,0,22,12,4,0,2017-2018_paulodybala
28,19,17,10,1,7,8,21,14,7,47,142,3,2017-2018_giorgiochiellini
14,9,1,9,4,2,21,13,3,10,20,20,0,2017-2018_samikhedira
57,31,33,17,7,20,19,21,1,20,30,45,0,2017-2018_alexsandro
18,12,11,5,2,7,6,18,14,4,20,87,1,2017-2018_danielerugani
0,0,0,0,0,0,0,0,0,0,0,11,2,2017-2018_gianluigibuffon
31,27,16,10,5,9,8,11,2,9,15,38,1,2017-2018_stephanlichtsteiner
28,21,20,6,2,8,7,18,13,5,43,89,1,2017-2018_medhibenatia
17,14,10,5,2,8,17,15,0,15,7,7,0,2017-2018_douglascosta
28,21,12,14,2,15,8,11,0,11,18,30,0,2017-2018_kwadwoasamoah
0,0,0,0,0,0,0,0,0,0,0,4,0,2017-2018_wojciechszczesny
28,19,17,9,2,11,16,14,0,14,19,14,1,2017-2018_juancuadrado
26,15,14,11,1,9,7,14,7,7,17,46,0,2017-2018_andreabarzagli
22,17,7,13,2,9,4,12,2,10,14,32,0,2017-2018_mattiadesciglio
17,10,9,5,3,6,15,7,2,5,4,7,0,2017-2018_claudiomarchisio
8,5,4,3,1,1,6,9,0,9,11,18,1,2017-2018_federicobernardeschi
17,11,5,9,3,4,7,9,2,7,5,18,1,2017-2018_stefanosturaro
18,11,10,7,1,2,14,5,1,4,3,14,0,2017-2018_rodrigobentancur
1,1,1,0,0,0,0,0,0,0,8,10,1,2017-2018_benedikthowedes
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_carlopinsoglio
33,27,15,14,4,10,37,42,5,37,22,31,0,2017-2018_josecallejon
1,0,1,0,0,1,1,0,0,0,0,13,2,2017-2018_pepereina
29,17,11,13,5,13,20,20,0,20,17,4,0,2017-2018_lorenzoinsigne
64,45,28,30,6,32,24,35,4,31,43,68,4,2017-2018_elseidhysaj
54,42,31,19,4,20,20,36,16,20,40,119,3,2017-2018_kalidoukoulibaly
28,22,5,13,10,5,31,18,2,16,5,8,1,2017-2018_driesmertens
62,46,14,39,9,15,53,32,3,29,50,12,2,2017-2018_jorginho
107,68,24,65,18,36,68,52,3,49,28,16,0,2017-2018_allan
36,22,10,15,11,15,22,35,2,33,14,16,0,2017-2018_marekhamsik
29,19,15,14,0,13,6,18,13,5,32,129,1,2017-2018_raulalbiol
55,39,18,32,5,30,22,30,5,25,14,43,1,2017-2018_mariorui
31,19,7,21,3,9,15,32,3,29,13,19,1,2017-2018_piotrzielinski
8,4,3,5,0,4,2,10,2,8,15,19,0,2017-2018_faouzighoulam
8,4,7,1,0,2,3,2,1,1,16,19,1,2017-2018_vladchiriches
17,10,9,6,2,7,12,15,4,11,13,21,0,2017-2018_christianmaggio
11,9,3,7,1,1,6,12,2,10,9,5,0,2017-2018_amadoudiawara
2,1,0,1,1,0,1,5,0,5,1,4,0,2017-2018_arkadiuszmilik
7,1,4,3,0,5,4,2,1,1,7,10,0,2017-2018_lorenzotonelli
1,1,0,1,0,1,0,1,0,1,0,5,0,2017-2018_nikolamaksimovic
0,0,0,0,0,0,0,0,0,0,0,1,0,2017-2018_luigisepe
11,7,3,6,2,1,10,4,1,3,2,1,0,2017-2018_markorog
4,3,0,2,2,1,3,2,0,2,0,2,0,2017-2018_adamounas
1,1,0,1,0,0,0,0,0,0,0,0,0,2017-2018_emanuelegiaccherini
1,0,1,0,0,0,1,0,0,0,2,22,4,2017-2018_alisson
58,47,34,16,8,27,22,24,7,17,53,100,2,2017-2018_aleksandarkolarov
15,10,1,9,5,3,12,9,1,8,4,36,0,2017-2018_edindzeko
56,43,38,18,0,25,6,30,22,8,46,161,3,2017-2018_federicofazio
49,36,14,28,7,9,24,18,1,17,18,31,1,2017-2018_radjanainggolan
23,20,14,7,2,9,6,31,24,7,46,133,2,2017-2018_kostasmanolas
38,28,20,13,5,18,29,19,8,11,44,62,1,2017-2018_alessandroflorenzi
57,38,19,24,14,15,31,27,3,24,27,21,0,2017-2018_kevinstrootman
22,16,9,8,5,5,16,16,1,15,24,8,0,2017-2018_stephanelshaarawy
36,20,16,11,9,10,25,21,2,19,41,21,1,2017-2018_lorenzopellegrini
23,13,12,9,2,9,24,18,13,5,43,45,2,2017-2018_danielederossi
42,30,25,15,2,18,16,18,9,9,39,63,0,2017-2018_juanjesus
25,17,6,14,5,8,12,19,0,19,11,13,0,2017-2018_diegoperotti
10,6,4,6,0,3,15,8,1,7,9,10,0,2017-2018_cengizunder
26,17,16,7,3,10,13,9,2,7,22,28,1,2017-2018_brunoperes
26,18,7,12,7,9,14,15,4,11,23,19,1,2017-2018_maximegonalons
9,7,1,5,3,1,8,14,0,14,2,11,0,2017-2018_patrikschick
20,12,10,8,2,2,5,15,2,13,11,11,1,2017-2018_gerson
8,3,1,1,6,2,6,5,0,5,3,6,0,2017-2018_gregoiredefrel
2,2,1,1,0,0,1,1,1,0,3,5,0,2017-2018_hectormoreno
0,0,0,0,0,0,1,1,1,0,3,1,0,2017-2018_jonathansilva
0,0,0,0,0,0,0,0,0,0,0,1,0,2017-2018_ukaszskorupski
1,0,1,0,0,0,0,2,2,0,2,13,0,2017-2018_eliocapradossi
1,1,1,0,0,0,0,0,0,0,1,0,0,2017-2018_rickkarsdorp
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_mirkoantonucci
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_emersonpalmieri
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_marcotumminello
0,0,0,0,0,0,0,1,0,1,0,7,1,2017-2018_samirhandanovic
86,55,69,16,1,44,26,38,26,12,35,180,0,2017-2018_milanskriniar
47,31,15,23,9,8,48,47,6,41,45,62,0,2017-2018_ivanperisic
82,64,38,35,9,30,29,31,7,24,45,68,1,2017-2018_danilodambrosio
3,2,1,2,0,1,7,14,6,8,5,23,1,2017-2018_mauroicardi
12,7,7,5,0,8,31,20,2,18,22,24,0,2017-2018_antoniocandreva
48,37,38,10,0,22,3,30,23,7,38,131,2,2017-2018_miranda
46,31,17,25,4,20,38,15,4,11,18,41,1,2017-2018_borjavalero
54,34,15,30,9,19,30,28,6,22,20,31,0,2017-2018_matiasvecino
63,45,28,29,6,20,34,18,3,15,45,32,2,2017-2018_robertogagliardini
60,43,21,31,8,19,44,30,7,23,18,18,0,2017-2018_marcelobrozovic
42,29,27,11,4,17,25,15,2,13,35,51,0,2017-2018_joaocancelo
14,9,1,10,3,3,13,15,0,15,7,9,0,2017-2018_rafinha
19,14,13,6,0,9,8,10,3,7,20,32,2,2017-2018_davidesanton
10,6,4,5,1,5,9,8,3,5,10,28,0,2017-2018_yutonagatomo
8,4,6,2,0,3,3,6,5,1,12,35,0,2017-2018_andrearanocchia
8,4,3,3,2,2,6,6,1,5,4,5,0,2017-2018_joaomario
15,10,11,3,1,7,6,7,4,3,13,19,0,2017-2018_dalberthenrique
10,7,2,4,4,0,10,6,1,5,5,4,0,2017-2018_eder
3,1,1,1,1,0,3,4,0,4,4,1,1,2017-2018_yannkaramoh
2,2,1,1,0,0,2,0,0,0,1,3,0,2017-2018_lisandrolopez
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_andreapinamonti
0,0,0,0,0,0,0,0,0,0,2,13,4,2017-2018_thomasstrakosha
31,22,14,17,0,14,9,43,24,19,71,156,1,2017-2018_stefandevrij
107,80,43,59,5,29,71,33,7,26,70,59,0,2017-2018_lucasleiva
55,39,11,34,10,13,39,29,6,23,33,36,1,2017-2018_sergejmilinkovic-savic
4,2,0,3,1,0,17,14,1,13,0,9,0,2017-2018_ciroimmobile
39,28,8,23,8,10,34,30,2,28,16,7,0,2017-2018_luisalberto
53,38,36,16,1,25,16,30,14,16,55,105,1,2017-2018_stefanradu
70,37,27,36,7,14,44,49,8,41,43,64,0,2017-2018_marcoparolo
66,40,32,22,12,21,59,32,4,28,36,39,0,2017-2018_senadlulic
28,21,17,8,3,12,16,22,2,20,31,33,0,2017-2018_adammarusic
33,24,19,13,1,19,11,13,8,5,24,67,0,2017-2018_bastos
40,28,24,16,0,15,10,26,14,12,18,50,1,2017-2018_luizfelipe
17,7,11,6,0,4,9,13,5,8,29,43,3,2017-2018_wallace
28,15,14,11,3,10,6,14,2,12,15,23,0,2017-2018_jordanlukaku
34,21,7,11,16,6,29,17,0,17,11,8,1,2017-2018_felipeanderson
19,12,9,9,1,5,14,14,3,11,17,13,0,2017-2018_alessandromurgia
9,7,4,3,2,6,8,10,3,7,13,15,0,2017-2018_dusanbasta
11,10,3,5,3,2,5,6,0,6,1,4,0,2017-2018_felipecaicedo
11,6,8,2,1,4,2,3,0,3,3,32,0,2017-2018_patric
12,7,9,2,1,10,4,4,4,0,4,13,0,2017-2018_martincaceres
9,6,2,2,5,3,6,8,0,8,2,0,0,2017-2018_nani
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_simonepalombi
1,0,1,0,0,1,0,0,0,0,0,0,0,2017-2018_davidedigennaro
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_mauricio
1,0,1,0,0,1,0,0,0,0,1,13,8,2017-2018_gianluigidonnarumma
48,34,20,19,9,17,27,47,11,36,26,45,3,2017-2018_franckkessie
30,21,22,7,1,11,7,31,22,9,51,132,0,2017-2018_leonardobonucci
48,29,24,18,6,18,10,36,6,30,33,93,3,2017-2018_ricardorodriguez
18,14,3,5,10,4,27,25,0,25,16,2,1,2017-2018_suso
31,20,7,19,5,9,36,31,6,25,33,17,0,2017-2018_giacomobonaventura
20,14,17,2,1,9,5,24,14,10,23,154,1,2017-2018_alessioromagnoli
37,27,11,18,8,8,23,29,2,27,22,15,0,2017-2018_hakancalhanoglu
59,36,28,26,5,22,39,49,12,37,28,51,1,2017-2018_lucasbiglia
6,5,1,4,1,0,8,4,1,3,3,12,0,2017-2018_nikolakalinic
38,23,12,18,8,16,21,32,6,26,13,43,0,2017-2018_fabioborini
64,50,33,24,7,21,20,19,4,15,33,82,1,2017-2018_davidecalabria
11,10,2,7,2,1,9,11,1,10,3,12,0,2017-2018_patrickcutrone
22,15,13,7,2,8,8,9,3,6,12,58,1,2017-2018_mateomusacchio
29,21,11,15,3,7,17,17,4,13,19,15,0,2017-2018_riccardomontolivo
20,17,10,9,1,6,5,22,2,20,8,29,0,2017-2018_ignazioabate
25,20,21,4,0,15,1,12,6,6,15,50,1,2017-2018_cristianzapata
5,4,1,0,4,2,5,10,1,9,4,6,0,2017-2018_andresilva
16,13,6,9,1,4,14,10,2,8,9,13,0,2017-2018_manuellocatelli
4,2,1,3,0,2,1,3,0,3,1,5,0,2017-2018_andreaconti
1,1,0,0,1,0,2,1,0,1,1,8,0,2017-2018_lucaantonelli
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_josemauri
,,,,,,,,,,,,,2017-2018_emanueletorrasi
89,62,35,41,13,27,55,46,13,33,28,37,2,2017-2018_remofreuler
66,50,21,32,13,18,41,43,6,37,23,27,0,2017-2018_bryancristante
1,1,1,0,0,1,0,0,0,0,1,5,3,2017-2018_etritberisha
14,9,6,5,3,5,21,16,1,15,22,7,0,2017-2018_papugomez
58,38,34,20,4,30,24,24,6,18,72,137,0,2017-2018_andreamasiello
77,50,27,44,6,29,53,40,5,35,46,36,0,2017-2018_martenderoon
72,40,34,38,0,35,33,35,14,21,63,119,1,2017-2018_rafaeltoloi
31,25,13,13,5,15,11,32,5,27,30,46,1,2017-2018_hanshateboer
39,26,15,24,0,13,20,31,18,13,41,113,1,2017-2018_mattiacaldara
60,39,36,19,5,24,27,36,21,15,39,111,1,2017-2018_joseluispalomino
8,3,2,4,2,1,10,14,3,11,4,5,0,2017-2018_andreapetagna
24,19,5,13,6,8,21,19,0,19,16,2,0,2017-2018_josipilicic
14,5,9,4,1,7,8,25,6,19,18,44,1,2017-2018_leonardospinazzola
