Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,Key
65,50,9,36,20,8,50,40,2,38,18,10,0,2017-2018_robertofirmino
28,20,8,11,9,3,20,20,0,20,9,8,0,2017-2018_sadiomane
34,23,13,16,5,11,12,20,2,18,25,20,0,2017-2018_georginiowijnaldum
51,33,13,32,6,18,34,33,2,31,31,27,0,2017-2018_jordanhenderson
26,17,14,11,1,12,10,26,15,11,38,146,2,2017-2018_dejanlovren
67,54,32,29,6,18,25,32,4,28,28,37,1,2017-2018_emrecan
35,24,23,11,1,12,12,26,15,11,35,101,1,2017-2018_joelmatip
31,17,19,9,3,15,14,22,2,20,26,56,0,2017-2018_andrewrobertson
58,45,32,23,3,21,19,19,8,11,34,57,1,2017-2018_joegomez
0,0,0,0,0,0,0,0,0,0,1,4,0,2017-2018_loriskarius
2,1,2,0,0,1,2,0,0,0,0,5,3,2017-2018_simonmignolet
37,25,23,9,5,22,14,20,5,15,28,46,1,2017-2018_trentalexander-arnold
58,45,18,32,8,15,24,33,5,28,21,23,0,2017-2018_jamesmilner
14,10,6,7,1,6,6,11,5,6,15,85,1,2017-2018_ragnarklavan
32,21,13,14,5,6,15,24,0,24,20,14,0,2017-2018_alexoxlade-chamberlain
35,26,21,12,2,13,16,19,2,17,12,44,0,2017-2018_albertomoreno
15,8,7,7,1,4,1,8,2,6,18,80,1,2017-2018_virgilvandijk
17,14,4,10,3,3,18,10,0,10,10,5,1,2017-2018_philippecoutinho
7,4,0,6,1,1,3,5,1,4,2,9,0,2017-2018_dominicsolanke
0,0,0,0,0,0,1,1,0,1,0,1,0,2017-2018_danielsturridge
5,3,1,3,1,0,0,4,0,4,2,1,0,2017-2018_dannyings
3,1,2,1,0,0,1,2,1,1,0,3,0,2017-2018_nathanielclyne
3,1,3,0,0,2,8,3,0,3,1,1,0,2017-2018_adamlallana
2,2,0,1,1,2,0,0,0,0,0,0,0,2017-2018_markogrujic
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_divockorigi
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_benwoodburn
80,59,47,26,7,27,27,48,22,26,54,135,1,2017-2018_cesarazpilicueta
0,0,0,0,0,0,0,0,0,0,0,8,1,2017-2018_thibautcourtois
113,77,55,52,6,33,59,40,4,36,85,29,3,2017-2018_ngolokante
51,33,30,18,3,23,21,36,5,31,47,76,1,2017-2018_marcosalonso
6,3,2,3,1,3,18,11,0,11,3,0,0,2017-2018_edenhazard
31,21,20,10,1,15,16,29,15,14,24,115,1,2017-2018_antoniorudiger
68,49,30,29,9,18,51,25,4,21,22,26,2,2017-2018_cescfabregas
37,29,21,13,3,14,10,29,4,25,15,39,2,2017-2018_victormoses
64,41,25,32,7,16,32,23,6,17,37,38,4,2017-2018_tiemouebakayoko
29,21,15,9,5,10,11,21,14,7,27,127,1,2017-2018_garycahill
13,8,0,7,6,1,20,17,4,13,6,20,0,2017-2018_alvaromorata
26,13,23,3,0,10,5,25,17,8,39,109,5,2017-2018_andreaschristensen
22,17,7,12,3,0,16,13,1,12,10,10,0,2017-2018_willian
20,11,6,8,6,5,13,13,1,12,13,7,1,2017-2018_pedro
26,11,14,9,3,11,14,11,2,9,6,26,0,2017-2018_davidezappacosta
18,11,13,4,1,11,10,9,5,4,24,45,2,2017-2018_davidluiz
4,3,1,2,1,1,2,0,0,0,1,5,0,2017-2018_oliviergiroud
15,10,6,8,1,3,14,10,2,8,8,7,0,2017-2018_dannydrinkwater
5,4,2,3,0,1,2,0,0,0,1,3,0,2017-2018_michybatshuayi
6,4,4,2,0,5,0,2,0,2,2,10,0,2017-2018_emersonpalmieri
0,0,0,0,0,0,0,0,0,0,0,3,0,2017-2018_willycaballero
0,0,0,0,0,0,1,3,1,2,0,2,0,2017-2018_rossbarkley
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jeremieboga
1,0,0,0,1,1,0,0,0,0,0,0,0,2017-2018_charlymusondajr.
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_callumhudson-odoi
1,1,0,1,0,0,0,0,0,0,0,2,0,2017-2018_ethanampadu
78,57,35,40,3,26,43,30,9,21,37,68,4,2017-2018_granitxhaka
57,43,36,12,9,25,27,42,8,34,23,89,4,2017-2018_hectorbellerin
1,1,1,0,0,1,0,0,0,0,0,23,7,2017-2018_petrcech
54,32,19,29,6,21,27,26,7,19,56,83,2,2017-2018_nachomonreal
24,17,6,11,7,4,23,19,3,16,7,5,0,2017-2018_alexandrelacazette
64,46,42,18,4,28,26,23,15,8,57,175,2,2017-2018_shkodranmustafi
43,21,27,12,4,19,14,28,15,13,54,138,3,2017-2018_laurentkoscielny
49,37,28,13,8,20,19,15,3,12,26,56,0,2017-2018_seadkolasinac
20,13,6,10,4,5,17,11,1,10,12,9,0,2017-2018_mesutozil
19,15,8,8,3,5,13,19,1,18,7,10,1,2017-2018_alexiwobi
35,27,18,17,0,8,36,14,3,11,24,6,1,2017-2018_aaronramsey
20,9,9,4,7,7,25,5,2,3,6,1,0,2017-2018_alexissanchez
20,13,9,5,6,4,8,22,1,21,11,13,0,2017-2018_dannywelbeck
15,10,3,7,5,4,16,10,2,8,8,5,0,2017-2018_jackwilshere
5,4,3,2,0,1,6,14,1,13,3,7,0,2017-2018_pierre-emerickaubameyang
12,6,6,3,3,6,4,11,0,11,10,12,2,2017-2018_mohamedelneny
17,10,10,6,1,5,9,14,11,3,18,47,0,2017-2018_calumchambers
19,14,13,5,1,4,8,16,10,6,21,40,2,2017-2018_robholding
18,13,9,7,2,5,16,16,2,14,8,7,0,2017-2018_henrikhmkhitaryan
25,17,12,7,6,14,17,15,1,14,12,35,2,2017-2018_ainsleymaitland-niles
0,0,0,0,0,0,0,0,0,0,0,1,0,2017-2018_davidospina
2,2,0,2,0,0,1,4,3,1,6,22,2,2017-2018_permertesacker
5,3,2,2,1,2,1,5,2,3,6,8,0,2017-2018_alexoxlade-chamberlain
1,1,1,0,0,1,1,4,3,1,6,11,1,2017-2018_konstantinosmavropanos
4,3,1,1,2,0,0,4,0,4,3,0,0,2017-2018_reissnelson
5,4,1,2,2,1,4,1,0,1,1,4,0,2017-2018_oliviergiroud
5,4,2,3,0,1,2,1,0,1,3,2,0,2017-2018_franciscoquelin
4,2,4,0,0,1,0,3,0,3,1,2,0,2017-2018_joewillock
1,0,1,0,0,0,0,0,0,0,1,0,0,2017-2018_theowalcott
1,1,0,1,0,0,0,0,0,0,0,0,0,2017-2018_eddienketiah
60,44,25,27,8,20,42,36,15,21,41,86,1,2017-2018_jackcork
0,0,0,0,0,0,1,0,0,0,0,21,0,2017-2018_nickpope
43,27,16,19,8,20,27,21,1,20,34,43,0,2017-2018_johannberggumundsson
46,26,36,10,0,17,21,55,43,12,50,223,2,2017-2018_jamestarkowski
33,20,22,11,0,16,13,51,42,9,33,217,1,2017-2018_benmee
16,10,4,10,2,3,14,11,2,9,8,21,1,2017-2018_jeffhendrick
39,31,27,8,4,20,22,27,12,15,42,126,0,2017-2018_stephenward
55,34,26,27,2,28,32,35,15,20,39,141,2,2017-2018_matthewlowton
33,22,12,18,3,10,36,35,7,28,46,25,0,2017-2018_stevendefour
21,14,1,14,6,5,24,26,5,21,2,19,0,2017-2018_ashleybarnes
7,3,2,3,2,3,10,12,4,8,0,16,0,2017-2018_chriswood
32,23,28,4,0,16,10,25,14,11,19,129,1,2017-2018_kevinlong
36,26,20,13,3,19,25,22,1,21,11,24,0,2017-2018_scottarfield
32,21,14,17,1,8,20,17,3,14,7,29,0,2017-2018_robbiebrady
17,16,9,7,1,4,7,22,6,16,22,77,0,2017-2018_philbardsley
20,14,5,14,1,2,18,20,5,15,8,18,0,2017-2018_aaronlennon
13,10,10,3,0,2,14,17,9,8,19,16,0,2017-2018_ashleywestwood
16,4,9,6,1,7,5,13,5,8,15,52,0,2017-2018_charlietaylor
3,1,1,2,0,0,3,6,2,4,3,15,0,2017-2018_samvokes
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_tomheaton
7,6,5,1,1,3,5,4,0,4,1,1,0,2017-2018_georges-kevinnkoudou
4,3,0,3,1,1,0,2,0,2,0,0,0,2017-2018_nahkiwells
0,0,0,0,0,0,0,0,0,0,0,1,0,2017-2018_jonathanwalters
,,,,,,,,,,,,,2017-2018_aidenoneill
0,0,0,0,0,0,2,0,0,0,2,26,5,2017-2018_jordanpickford
117,93,65,41,11,35,51,59,9,50,62,48,1,2017-2018_idrissaganagueye
33,25,26,5,2,19,24,39,28,11,53,214,0,2017-2018_michaelkeane
28,19,11,13,4,10,32,25,6,19,16,43,2,2017-2018_waynerooney
38,26,15,14,9,16,41,37,7,30,34,36,0,2017-2018_gylfisigursson
58,40,34,21,3,15,29,18,7,11,61,59,1,2017-2018_morganschneiderlin
33,23,24,9,0,8,13,30,20,10,39,179,1,2017-2018_philjagielka
25,13,18,3,4,9,5,18,6,12,25,56,0,2017-2018_leightonbaines
30,20,14,11,5,12,42,19,5,14,24,21,0,2017-2018_tomdavies
23,13,17,6,0,9,9,31,23,8,36,173,3,2017-2018_ashleywilliams
61,35,38,15,8,27,19,17,4,13,42,130,2,2017-2018_cucomartina
15,8,5,3,7,2,13,13,1,12,10,23,1,2017-2018_dominiccalvert-lewin
