SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
49,3.15,44,0,3,1,0,1,2,0.13,2,0,0,0,0,0,2017-2018_moussasissoko
20,1.53,16,0,3,1,0,0,0,0,0,0,0,0,0,0,2017-2018_tobyalderweireld
31,3.49,19,2,2,2,5,1,5,0.56,2,0,0,1,2,0,2017-2018_dannyrose
16,1.86,15,0,0,0,0,1,2,0.23,2,0,0,0,0,0,2017-2018_harrywinks
16,1.7,13,0,1,1,1,0,1,0.11,1,0,0,0,0,0,2017-2018_victorwanyama
41,4.37,27,6,2,1,4,1,3,0.32,2,0,0,0,1,0,2017-2018_eriklamela
17,7.29,12,0,1,0,3,1,1,0.43,1,0,0,0,0,0,2017-2018_lucasmoura
7,3.33,6,0,0,0,1,0,2,0.95,2,0,0,0,0,0,2017-2018_kylewalker-peters
5,1.89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_fernandollorente
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_paulogazzaniga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_michelvorm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_vincentjanssen
1,,0,0,0,0,1,0,0,,0,0,0,0,0,0,2017-2018_georges-kevinnkoudou
161,4.98,103,12,27,9,9,1,33,1.02,16,1,14,1,1,0,2017-2018_mohamedsalah
133,4.33,95,1,17,13,3,4,13,0.42,10,0,1,2,0,0,2017-2018_robertofirmino
105,4.32,79,0,13,6,6,1,14,0.58,10,0,3,1,0,0,2017-2018_sadiomane
56,2.11,47,0,4,4,0,1,5,0.19,5,0,0,0,0,0,2017-2018_georginiowijnaldum
63,2.61,58,3,1,1,0,0,4,0.17,4,0,0,0,0,0,2017-2018_jordanhenderson
21,0.89,17,0,0,4,0,0,3,0.13,2,0,0,1,0,0,2017-2018_dejanlovren
59,2.54,51,2,1,2,3,0,10,0.43,8,1,0,0,1,0,2017-2018_emrecan
24,1.08,21,0,0,2,1,0,2,0.09,2,0,0,0,0,0,2017-2018_joelmatip
52,2.41,47,3,1,0,1,0,8,0.37,8,0,0,0,0,0,2017-2018_andrewrobertson
31,1.47,25,4,2,0,0,0,1,0.05,1,0,0,0,0,0,2017-2018_joegomez
4,0.21,1,3,0,0,0,0,1,0.05,1,0,0,0,0,0,2017-2018_loriskarius
3,0.16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_simonmignolet
42,2.4,29,7,2,2,0,2,3,0.17,2,0,1,0,0,0,2017-2018_trentalexander-arnold
79,4.01,59,15,1,0,3,1,5,0.25,4,1,0,0,0,0,2017-2018_jamesmilner
21,1.3,21,0,0,0,0,0,3,0.19,3,0,0,0,0,0,2017-2018_ragnarklavan
74,4.46,54,6,9,1,1,3,15,0.9,9,0,4,1,0,1,2017-2018_alexoxlade-chamberlain
34,2.42,27,1,1,2,2,1,3,0.21,2,0,0,0,1,0,2017-2018_albertomoreno
13,0.93,11,0,0,1,0,1,0,0,0,0,0,0,0,0,2017-2018_virgilvandijk
92,7.46,57,13,11,6,4,1,16,1.3,8,2,4,0,2,0,2017-2018_philippecoutinho
22,3.33,18,0,1,2,1,0,1,0.15,1,0,0,0,0,0,2017-2018_dominicsolanke
20,4.18,13,0,5,1,1,0,1,0.21,1,0,0,0,0,0,2017-2018_danielsturridge
7,2.36,4,0,1,1,0,1,1,0.34,0,0,0,1,0,0,2017-2018_dannyings
2,1.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_nathanielclyne
20,7.38,17,0,1,1,1,0,2,0.74,1,0,0,1,0,0,2017-2018_adamlallana
1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_markogrujic
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_divockorigi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_benwoodburn
61,1.65,58,0,1,1,0,1,8,0.22,8,0,0,0,0,0,2017-2018_cesarazpilicueta
4,0.11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_thibautcourtois
