Shots,ShotsOnTarget,SoT%,Sh/90,SoT/90,GoalsPerShot,GoalsPerShotOnTarget,AvgShotDistance,GoalsFromPenalties,PKatt,Key
0,28,,0,1.01,,0.18,,0,1,2017-2018_brandleykuwas
0,23,,0,0.84,,0.3,,0,0,2017-2018_kristofferpeterson
0,8,,0,0.33,,0.38,,0,0,2017-2018_robinpropper
0,15,,0,0.76,,0.4,,2,2,2017-2018_reuvenniemeijer
0,6,,0,0.34,,0,,0,0,2017-2018_joeypelupessy
0,3,,0,0.18,,0,,2,2,2017-2018_jeffhardeveld
0,7,,0,0.42,,0.14,,0,0,2017-2018_petervanooijen
0,17,,0,0.88,,0.35,,0,0,2017-2018_paulgladon
0,2,,0,0.13,,0.5,,0,0,2017-2018_drieswuytens
0,0,,0,0,,,,0,0,2017-2018_woutdroste
0,16,,0,1.07,,0.5,,0,0,2017-2018_vincentvermeij
0,0,,0,0,,,,0,0,2017-2018_rolandbaas
,1,,,0.09,,1,,0,0,2017-2018_sebastianjakubiak
0,9,,0,0.91,,0.11,,0,0,2017-2018_brahimdarri
0,0,,0,0,,,,0,0,2017-2018_bartvanhintum
0,1,,0,0.15,,0,,0,0,2017-2018_dariovandenbuijs
0,1,,0,0.13,,0,,0,0,2017-2018_lerinduarte
0,2,,0,0.46,,0.5,,0,0,2017-2018_jaroslavnavratil
,0,,,0,,,,0,0,2017-2018_nielsleemhuis
0,0,,0,0,,,,0,0,2017-2018_timvandeberg
0,1,,0,1.18,,0,,0,0,2017-2018_mohammedosman
0,0,,0,0,,,,0,0,2017-2018_kaihuisman
0,11,,0,0.33,,0,,0,0,2017-2018_jurgenmattheij
0,31,,0,0.95,,0.16,,0,0,2017-2018_hichamfaik
0,7,,0,0.26,,0.29,,0,0,2017-2018_ryankoolwijk
0,23,,0,0.86,,0.22,,3,3,2017-2018_mikevanduinen
0,2,,0,0.08,,0.5,,0,0,2017-2018_khalidkarami
0,6,,0,0.25,,0.83,,0,0,2017-2018_milanmassop
0,9,,0,0.39,,0.22,,3,4,2017-2018_luigibruins
0,12,,0,0.55,,0.25,,0,0,2017-2018_stanleyelbers
0,10,,0,0.51,,0.4,,0,0,2017-2018_alimessaoud
0,1,,0,0.05,,0,,0,0,2017-2018_jordydewijs
0,1,,0,0.06,,0,,0,0,2017-2018_woutfaes
0,3,,0,0.16,,0,,0,0,2017-2018_jeffryfortes
0,0,,0,0,,,,0,0,2017-2018_theozwarthoed
0,0,,0,0,,,,0,0,2017-2018_ogmundurkristinsson
0,9,,0,0.85,,0.22,,0,0,2017-2018_zakariaelazzouzi
0,2,,0,0.2,,0,,0,0,2017-2018_kevinvermeulen
0,5,,0,0.51,,0.4,,0,0,2017-2018_jintycaenepeel
0,2,,0,0.32,,0.5,,0,0,2017-2018_anouarhadouir
0,3,,0,0.42,,0.33,,0,0,2017-2018_levigarcia
0,0,,0,0,,,,0,0,2017-2018_dogucanhaspolat
0,0,,0,0,,,,0,0,2017-2018_alessandrodamen
0,1,,0,0.34,,0,,0,0,2017-2018_lorenzoburnet
0,0,,0,0,,,,0,0,2017-2018_deseviopayne
,0,,,0,,,,0,0,2017-2018_marouaneafaker
0,0,,0,0,,,,0,0,2017-2018_shaneoneill
0,0,,0,0,,,,0,0,2017-2018_sergiopadt
0,3,,0,0.09,,0.33,,0,0,2017-2018_miketewierik
0,20,,0,0.69,,0.05,,0,0,2017-2018_juninhobacuna
0,6,,0,0.21,,0.17,,0,0,2017-2018_djangowarmerdam
0,4,,0,0.15,,0.25,,0,0,2017-2018_samirmemisevic
0,19,,0,0.75,,0.47,,0,0,2017-2018_ritsudoan
0,21,,0,0.88,,0.48,,2,2,2017-2018_tomvanweert
0,25,,0,1.1,,0.16,,3,5,2017-2018_mimounmahi
0,12,,0,0.59,,0.25,,0,0,2017-2018_jesperdrost
0,2,,0,0.12,,0.5,,0,0,2017-2018_yoellvannieff
0,3,,0,0.19,,0,,0,0,2017-2018_tomvandelooi
0,8,,0,0.66,,0.13,,0,0,2017-2018_ajdinhrustic
0,0,,0,0,,,,0,0,2017-2018_deyovaisiozeefuik
0,4,,0,0.36,,0.25,,0,0,2017-2018_ludovitreis
0,0,,0,0,,,,0,0,2017-2018_rubenyttergardjenssen
0,6,,0,0.59,,0.67,,0,0,2017-2018_oussamaidrissi
0,11,,0,1.13,,0.18,,2,2,2017-2018_larsveldwijk
0,2,,0,0.26,,0,,0,0,2017-2018_kasperlarsen
0,0,,0,0,,,,0,0,2017-2018_etiennereijnen
0,0,,0,0,,,,0,0,2017-2018_toddkane
0,0,,0,0,,,,0,0,2017-2018_amirabsalem
0,1,,0,0.21,,0,,0,0,2017-2018_urielantuna
0,0,,0,0,,,,0,0,2017-2018_michaelbreij
,0,,,0,,,,0,0,2017-2018_larskramer
0,38,,0,1.19,,0.37,,2,2,2017-2018_fransol
0,0,,0,0,,,,0,0,2017-2018_darryllachman
0,6,,0,0.19,,0.5,,0,0,2017-2018_kostastsimikas
0,19,,0,0.64,,0.53,,0,0,2017-2018_benrienstra
0,2,,0,0.07,,0,,0,0,2017-2018_pedrochirivella
0,1,,0,0.04,,0,,0,0,2017-2018_freekheerkens
0,19,,0,0.69,,0.11,,0,0,2017-2018_thomhaye
0,2,,0,0.1,,0,,0,0,2017-2018_fernandolewis
0,0,,0,0,,,,0,0,2017-2018_mattijsbranderhorst
0,2,,0,0.13,,0,,0,0,2017-2018_jopvanderlinden
0,0,,0,0,,,,0,0,2017-2018_timonwellenreuther
0,4,,0,0.3,,0,,0,0,2017-2018_mohamedelhankouri
0,17,,0,1.26,,0.59,,0,0,2017-2018_bartholomewogbeche
0,5,,0,0.38,,0.2,,0,0,2017-2018_elmolieftink
0,0,,0,0,,,,0,0,2017-2018_jordenspeters
0,8,,0,0.63,,0.5,,0,0,2017-2018_ismailazzaoui
0,4,,0,0.44,,0.25,,0,0,2017-2018_jordycroux
0,0,,0,0,,,,0,0,2017-2018_gilianowijnaldum
0,6,,0,1.8,,0.33,,1,1,2017-2018_etienvelikonja
0,1,,0,0.26,,0,,0,0,2017-2018_thomasmeiner
0,0,,0,0,,,,0,0,2017-2018_damildankerlui
0,1,,0,0.37,,0,,0,0,2017-2018_danielcrowley
0,1,,0,0.49,,0,,0,0,2017-2018_eyongenoh
0,1,,0,1.2,,0,,0,0,2017-2018_karimcoulibaly
0,0,,0,0,,,,0,0,2017-2018_kristoferkristinsson
0,0,,0,0,,,,0,0,2017-2018_andreascalcan
0,11,,0,0.32,,0.27,,0,0,2017-2018_angelino
0,12,,0,0.36,,0.08,,0,0,2017-2018_manugarcia
0,16,,0,0.52,,0.19,,0,0,2017-2018_mounirelallouchi
0,10,,0,0.34,,0.3,,0,0,2017-2018_pablomari
0,27,,0,1.03,,0.22,,4,5,2017-2018_thierryambrose
0,4,,0,0.17,,0.25,,0,0,2017-2018_arnoverschueren
0,11,,0,0.43,,0.36,,0,0,2017-2018_raivloet
0,2,,0,0.1,,0,,0,0,2017-2018_karolmets
0,1,,0,0.05,,0,,0,0,2017-2018_fabiansporkslede
0,11,,0,0.68,,0.27,,0,0,2017-2018_giovannikorte
0,0,,0,0,,,,0,0,2017-2018_nigelbertrams
0,0,,0,0,,,,0,0,2017-2018_markbirighitti
0,6,,0,0.46,,0.17,,0,0,2017-2018_mennokoch
0,0,,0,0,,,,0,0,2017-2018_bartmeijers
0,0,,0,0,,,,0,0,2017-2018_gianlucanijholt
0,10,,0,0.98,,0.2,,0,0,2017-2018_paolofernandes
0,1,,0,0.14,,0,,0,0,2017-2018_jameshorsfield
0,10,,0,1.44,,0.3,,0,0,2017-2018_mitchelltevrede
0,14,,0,2.02,,0.29,,1,1,2017-2018_umarsadiq
0,2,,0,0.4,,0,,0,0,2017-2018_thomasagyepong
0,1,,0,0.23,,0,,0,0,2017-2018_lucasschoofs
0,0,,0,0,,,,0,0,2017-2018_andriesnoppert
0,2,,0,0.78,,0.5,,0,0,2017-2018_thomasenevoldsen
0,0,,0,0,,,,0,0,2017-2018_richelorsprangers
0,0,,0,0,,,,0,0,2017-2018_bodibrusselers
0,1,,0,6.43,,0,,0,0,2017-2018_diegosnepvangers
0,4,,0,0.12,,0,,0,0,2017-2018_nilsroseler
0,32,,0,0.98,,0.19,,4,6,2017-2018_clintleemans
0,0,,0,0,,,,0,0,2017-2018_larsunnerstall
0,23,,0,0.73,,0.3,,0,0,2017-2018_lennartthy
0,13,,0,0.43,,0.23,,0,0,2017-2018_ralfseuntjens
0,3,,0,0.1,,0,,0,0,2017-2018_morenorutten
0,2,,0,0.08,,0.5,,0,0,2017-2018_jeroldpromes
0,26,,0,0.95,,0.19,,0,0,2017-2018_vitovancrooy
0,11,,0,0.49,,0.27,,0,0,2017-2018_torinohunte
0,1,,0,0.05,,0,,0,0,2017-2018_roeljanssen
0,1,,0,0.05,,0,,0,0,2017-2018_dannypost
0,3,,0,0.18,,0.67,,0,0,2017-2018_damianvanbruggen
0,1,,0,0.08,,0,,0,0,2017-2018_leroylabylle
0,2,,0,0.23,,0,,0,0,2017-2018_romeocastelen
0,1,,0,0.12,,0,,0,0,2017-2018_tristandekker
0,5,,0,0.91,,0.2,,0,0,2017-2018_tariktissoudali
0,6,,0,0.85,,0.17,,0,0,2017-2018_johnatanopoku
0,5,,0,1.51,,0.2,,0,0,2017-2018_kelechinwakali
0,0,,0,0,,,,0,0,2017-2018_jensjanse
0,0,,0,0,,,,0,0,2017-2018_delanovancrooy
0,0,,0,0,,,,0,0,2017-2018_emilriisjakobsen
0,0,,0,0,,,,0,0,2017-2018_evrenkorkmaz
0,0,,0,0,,,,0,0,2017-2018_etienneamenyido
0,0,,0,0,,,,0,0,2017-2018_evertlinthorst
0,0,,0,0,,,,0,0,2017-2018_hiddejurjus
0,20,,0,0.61,,0.35,,3,4,2017-2018_simongustafson
0,8,,0,0.26,,0.25,,0,0,2017-2018_mikhailrosheuvel
0,7,,0,0.26,,0.29,,0,0,2017-2018_adilauassar
0,24,,0,0.94,,0.42,,0,0,2017-2018_danischahin
0,2,,0,0.08,,1,,0,0,2017-2018_jannesvansteenkiste
0,11,,0,0.44,,0.18,,0,0,2017-2018_tsiy-williamndenge
0,3,,0,0.15,,0,,0,0,2017-2018_mohamedelmakrini
0,2,,0,0.11,,1,,0,0,2017-2018_christiankum
0,1,,0,0.07,,0,,0,0,2017-2018_ognjengnjatic
0,0,,0,0,,,,0,0,2017-2018_henkdijkhuizen
0,0,,0,0,,,,0,0,2017-2018_patrickbanggaard
0,10,,0,0.9,,0.4,,0,0,2017-2018_jornvancamp
0,7,,0,0.63,,0.14,,0,0,2017-2018_marioengels
0,0,,0,0,,,,0,0,2017-2018_fredericananou
0,10,,0,1.14,,0.3,,0,0,2017-2018_donisavdijaj
0,0,,0,0,,,,0,0,2017-2018_ashtongotz
0,0,,0,0,,,,0,0,2017-2018_darylwerker
0,2,,0,0.24,,0,,0,0,2017-2018_ardvanpeppen
0,4,,0,0.74,,0.25,,0,0,2017-2018_mitchellpaulissen
0,7,,0,0.82,,0,,0,0,2017-2018_gylianovanvelzen
0,2,,0,0.43,,0.5,,0,0,2017-2018_liviomilts
0,3,,0,0.67,,0.33,,0,0,2017-2018_maeckyngombo
0,0,,0,0,,,,0,0,2017-2018_nathanrutjes
0,0,,0,0,,,,0,0,2017-2018_celestindjim
0,12,,0,0.39,,0.08,,0,0,2017-2018_ryansanusi
0,3,,0,0.11,,0.33,,0,0,2017-2018_kennethdougall
0,5,,0,0.18,,0.2,,0,0,2017-2018_sanderfischer
0,1,,0,0.04,,0,,0,0,2017-2018_frederikholst
0,31,,0,1.31,,0.23,,0,0,2017-2018_robertmuhren
0,1,,0,0.05,,0,,0,0,2017-2018_sherelfloranus
0,0,,0,0,,,,0,0,2017-2018_roykortsmit
0,2,,0,0.12,,1,,0,0,2017-2018_julianchabot
0,14,,0,0.94,,0,,2,2,2017-2018_lorisbrogno
0,0,,0,0,,,,0,0,2017-2018_michelbreuer
0,14,,0,0.85,,0.21,,0,0,2017-2018_deroyduarte
0,0,,0,0,,,,0,0,2017-2018_jannikhuth
0,8,,0,0.63,,0.25,,0,0,2017-2018_craiggoodwin
0,7,,0,0.68,,0.14,,0,0,2017-2018_soufyanahannach
0,5,,0,0.45,,0.8,,0,0,2017-2018_fredfriday
0,1,,0,0.11,,0,,0,0,2017-2018_miquelnelom
0,2,,0,0.22,,0,,0,0,2017-2018_bartvriends
0,8,,0,1.11,,0,,0,0,2017-2018_thomasverhaar
0,3,,0,0.31,,0.67,,0,0,2017-2018_stijnspierings
0,5,,0,0.71,,0.4,,0,0,2017-2018_michielkramer
0,0,,0,0,,,,0,0,2017-2018_pacovanmoorsel
0,0,,0,0,,,,0,0,2017-2018_nicholasmarfelt
0,6,,0,1.22,,0.5,,0,0,2017-2018_nickproschwitz
0,0,,0,0,,,,0,0,2017-2018_georgedobson
0,9,,0,1.59,,0.22,,0,0,2017-2018_ragnarache
0,2,,0,0.47,,0,,0,0,2017-2018_iliasalhaft
0,0,,0,0,,,,0,0,2017-2018_daliborvolas
0,2,,0,0.63,,0,,0,0,2017-2018_dabneydossantos
0,0,,0,0,,,,0,0,2017-2018_leonardnienhuis
0,0,,0,0,,,,0,0,2017-2018_abdouharroui
,0,,,0,,,,0,0,2017-2018_markveenhoven
0,0,,0,0,,,,0,0,2017-2018_franck-yvesbambock
0,5,,0,0.16,,0.4,,0,0,2017-2018_peetbijen
0,25,,0,0.89,,0.2,,0,0,2017-2018_fredrikjensen
0,8,,0,0.29,,0.38,,0,0,2017-2018_thomaslam
0,15,,0,0.57,,0.33,,0,0,2017-2018_tomboere
0,19,,0,0.87,,0.21,,2,2,2017-2018_oussamaassaidi
0,12,,0,0.55,,0.17,,0,0,2017-2018_dannyholla
0,0,,0,0,,,,0,0,2017-2018_cristiancuevas
0,0,,0,0,,,,0,0,2017-2018_hiddeteravest
0,0,,0,0,,,,0,0,2017-2018_joeldrommel
0,7,,0,0.39,,0.43,,0,0,2017-2018_stefanthesker
0,0,,0,0,,,,0,0,2017-2018_jornbrondeel
0,14,,0,0.89,,0.07,,0,0,2017-2018_adammaher
0,1,,0,0.06,,1,,0,0,2017-2018_jeroenvanderlely
0,2,,0,0.17,,0,,0,0,2017-2018_michaelliendl
0,4,,0,0.36,,0.25,,0,0,2017-2018_lucianoslagveer
0,11,,0,0.98,,0.27,,0,0,2017-2018_harisvuckic
0,13,,0,1.07,,0.15,,0,0,2017-2018_adnanetighadouini
0,1,,0,0.14,,0,,0,0,2017-2018_richardjensen
0,1,,0,0.18,,0,,0,0,2017-2018_joshooiveld
0,3,,0,0.59,,0.33,,0,0,2017-2018_michaelmaria
0,0,,0,0,,,,0,0,2017-2018_jellevanderheyden
0,0,,0,0,,,,0,0,2017-2018_dejantrajkovski
0,2,,0,0.51,,0,,0,0,2017-2018_markokvasina
0,2,,0,0.65,,0.5,,0,0,2017-2018_dylangeorge
0,0,,0,0,,,,0,0,2017-2018_joachimandersen
0,1,,0,0.66,,0,,0,0,2017-2018_nikolagjorgjev
0,2,,0,1.02,,0,,0,0,2017-2018_alexanderlaukart
0,2,,0,1.05,,0,,0,0,2017-2018_mounirelhamdaoui
0,2,,0,3,,0,,0,0,2017-2018_ryantrotman
0,0,,0,0,,,,0,0,2017-2018_isaacbuckley-ricketts
63,26,41.3,2.03,0.84,0.14,0.35,,0,1,2017-2018_yacinebrahimi
39,14,35.9,1.3,0.47,0.08,0.21,,0,0,2017-2018_felipe
28,10,35.7,0.96,0.34,0.07,0.2,,1,1,2017-2018_alextelles
23,8,34.8,0.78,0.27,0.22,0.63,,0,0,2017-2018_ivanmarcano
93,46,49.5,3.47,1.72,0.24,0.48,,0,0,2017-2018_moussamarega
37,10,27,1.42,0.39,0.08,0.3,,0,0,2017-2018_hectorherrera
19,6,31.6,0.75,0.24,0.11,0.33,,0,0,2017-2018_ricardopereira
77,34,44.2,3.46,1.53,0.18,0.41,,1,1,2017-2018_vincentaboubakar
0,0,,0,0,,,,0,0,2017-2018_ikercasillas
20,6,30,1.17,0.35,0.05,0.17,,0,0,2017-2018_danilopereira
22,6,27.3,1.37,0.37,0.14,0.5,,0,0,2017-2018_jesuscorona
28,9,32.1,1.88,0.61,0.14,0.44,,0,1,2017-2018_sergiooliveira
0,0,,0,0,,,,0,0,2017-2018_josesa
53,18,34,4.36,1.48,0.13,0.39,,1,2,2017-2018_tiquinhosoares
7,1,14.3,0.63,0.09,0,0,,0,0,2017-2018_maxipereira
12,2,16.7,1.37,0.23,0.17,1,,0,0,2017-2018_otavio
7,2,28.6,0.82,0.23,0.29,1,,0,0,2017-2018_diegoreyes
8,5,62.5,0.77,0.48,0,0,,0,0,2017-2018_olivertorres
1,0,0,0.22,0,0,,,0,0,2017-2018_diogodalot
7,0,0,1.86,0,0,,,0,0,2017-2018_andreandre
6,2,33.3,2.05,0.68,0,0,,0,0,2017-2018_miguellayun
16,5,31.3,6.4,2,0,0,,0,0,2017-2018_goncalopaciencia
18,6,33.3,5.7,1.9,0,0,,0,0,2017-2018_hernanifortes
4,1,25,2.79,0.7,0,0,,0,0,2017-2018_abdulmajeedwaris
2,0,0,1.42,0,0,,,0,0,2017-2018_paulinho
0,0,,0,0,,,,0,0,2017-2018_vana
0,0,,0,0,,,,0,0,2017-2018_yordanosorio
3,0,0,10.38,0,0,,,0,0,2017-2018_galeno
0,0,,0,0,,,,0,0,2017-2018_fabiano
0,0,,0,0,,,,0,0,2017-2018_andrepereira
19,4,21.1,0.63,0.13,0.11,0.5,,0,0,2017-2018_andrealmeida
45,17,37.8,1.53,0.58,0.13,0.35,,0,0,2017-2018_pizzi
0,0,,0,0,,,,0,0,2017-2018_brunovarela
133,68,51.1,4.89,2.5,0.2,0.38,,8,10,2017-2018_jonas
38,12,31.6,1.45,0.46,0.08,0.25,,0,0,2017-2018_francocervi
22,7,31.8,0.81,0.26,0.05,0.14,,0,0,2017-2018_alexgrimaldo
8,1,12.5,0.3,0.04,0,0,,0,0,2017-2018_ljubomirfejsa
23,11,47.8,0.91,0.44,0.09,0.18,,0,0,2017-2018_jardel
10,3,30,0.42,0.13,0.3,1,,0,0,2017-2018_rubendias
50,25,50,2.82,1.41,0.18,0.36,,0,0,2017-2018_eduardosalvio
30,14,46.7,1.75,0.82,0.1,0.21,,0,0,2017-2018_andrijazivkovic
18,6,33.3,1.13,0.37,0.06,0.17,,0,0,2017-2018_luisao
30,14,46.7,2.22,1.04,0.1,0.21,,0,0,2017-2018_rafasilva
22,8,36.4,2.31,0.84,0.05,0.13,,0,0,2017-2018_filipkrovinovic
31,15,48.4,3.34,1.61,0.13,0.27,,0,0,2017-2018_harisseferovic
48,21,43.8,4.3,1.88,0.1,0.24,,1,1,2017-2018_rauljimenez
2,0,0,0.35,0,0,,,0,0,2017-2018_eliseu
4,0,0,0.73,0,0,,,0,0,2017-2018_filipeaugusto
8,2,25,1.37,0.34,0.13,0.5,,0,0,2017-2018_andreassamaris
3,0,0,0.78,0,0,,,0,0,2017-2018_douglas
8,0,0,2.42,0,0,,,0,0,2017-2018_diogogoncalves
0,0,,0,0,,,,0,0,2017-2018_milesvilar
2,0,0,0.76,0,0,,,0,0,2017-2018_lisandrolopez
0,0,,0,0,,,,0,0,2017-2018_juliocesar
5,1,20,2.62,0.52,0,0,,0,0,2017-2018_joaocarvalho
0,0,,0,0,,,,0,0,2017-2018_keatonparks
0,0,,0,0,,,,0,0,2017-2018_martinchrien
1,0,0,6.43,0,0,,,0,0,2017-2018_gabrielbarbosa
30,6,20,0.88,0.18,0.07,0.33,,0,0,2017-2018_sebastiancoates
0,0,,0,0,,,,0,0,2017-2018_ruipatricio
91,36,39.6,2.93,1.16,0.1,0.25,,2,2,2017-2018_brunofernandes
47,21,44.7,1.58,0.7,0.17,0.38,,0,0,2017-2018_gelsonmartins
66,41,62.1,2.29,1.42,0.33,0.54,,5,5,2017-2018_basdost
24,10,41.7,0.88,0.36,0.08,0.2,,0,0,2017-2018_jeremymathieu
48,12,25,1.89,0.47,0.08,0.33,,0,0,2017-2018_marcosacuna
17,2,11.8,0.75,0.09,0.06,0.5,,0,0,2017-2018_fabiocoentrao
21,4,19,0.89,0.17,0.05,0.25,,0,0,2017-2018_williamcarvalho
9,2,22.2,0.39,0.09,0,0,,0,0,2017-2018_cristianopiccini
18,7,38.9,0.78,0.3,0.06,0.14,,0,0,2017-2018_rodrigobattaglia
16,6,37.5,1.41,0.53,0.13,0.33,,0,0,2017-2018_bryanruiz
1,1,100,0.13,0.13,0,0,,0,0,2017-2018_stefanristovski
12,5,41.7,1.74,0.73,0,0,,0,0,2017-2018_brunocesar
10,1,10,1.77,0.18,0,0,,0,0,2017-2018_danielpodence
6,5,83.3,1.03,0.86,0,0,,0,0,2017-2018_rubentiagorodriguesribeiro
17,3,17.6,2.99,0.53,0,0,,0,0,2017-2018_seydoudoumbia
5,0,0,1.05,0,0,,,0,0,2017-2018_andrealmeidapinto
15,3,20,3.18,0.64,0.07,0.33,,0,0,2017-2018_fredymontero
1,0,0,0.24,0,0,,,0,0,2017-2018_jonathansilva
5,2,40,1.79,0.72,0,0,,0,0,2017-2018_alanruiz
4,2,50,1.63,0.81,0.25,0.5,,0,0,2017-2018_adriensilva
0,0,,0,0,,,,0,0,2017-2018_radosavpetrovic
4,0,0,2.75,0,0,,,0,0,2017-2018_iurimedeiros
1,1,100,0.73,0.73,0,0,,0,0,2017-2018_josipmisic
1,0,0,0.78,0,0,,,0,0,2017-2018_wendel
0,2,,0,1.33,,0,,0,0,2017-2018_lumoragbenyenu
3,2,66.7,2.62,1.75,0.33,0.5,,0,0,2017-2018_rafaelleao
0,0,,0,0,,,,0,0,2017-2018_joaopalhinha
0,0,,0,0,,,,0,0,2017-2018_matheus
14,6,42.9,0.48,0.21,0.14,0.33,,0,0,2017-2018_nikolavukcevic
25,7,28,0.88,0.25,0.16,0.57,,0,0,2017-2018_ricardoesgaio
10,1,10,0.37,0.04,0,0,,0,0,2017-2018_marcelogoiano
17,7,41.2,0.65,0.27,0,0,,0,0,2017-2018_jeffersonnascimento
16,11,68.8,0.62,0.42,0.25,0.36,,0,0,2017-2018_brunoviana
17,8,47.1,0.7,0.33,0.35,0.75,,0,0,2017-2018_raulsilva
66,27,40.9,2.88,1.18,0.17,0.41,,0,0,2017-2018_ricardohorta
70,32,45.7,2.97,1.36,0.17,0.38,,1,2,2017-2018_paulinho
22,7,31.8,1.35,0.43,0.05,0.14,,0,0,2017-2018_andrehorta
36,14,38.9,2.08,0.81,0.11,0.29,,0,0,2017-2018_danilobarbosa
40,17,42.5,3.1,1.32,0.18,0.41,,0,0,2017-2018_wilsoneduardo
28,12,42.9,2.39,1.02,0.14,0.33,,1,1,2017-2018_koka
31,7,22.6,2.89,0.65,0.06,0.29,,0,0,2017-2018_xadas
34,13,38.2,2.72,1.04,0.15,0.38,,0,0,2017-2018_fabiomartins
7,1,14.3,0.78,0.11,0,0,,0,0,2017-2018_lazarrosic
14,3,21.4,1.71,0.37,0,0,,0,0,2017-2018_fransergio
5,0,0,0.71,0,0,,,0,0,2017-2018_nunosequeira
9,2,22.2,1.35,0.3,0,0,,0,0,2017-2018_joaocarlosteixeira
3,0,0,0.48,0,0,,,0,0,2017-2018_ricardoferreira
35,19,54.3,5.53,3,0.2,0.37,,1,2,2017-2018_dyegosousa
1,0,0,0.49,0,0,,,0,0,2017-2018_diogofigueiras
4,1,25,2,0.5,0.25,1,,0,0,2017-2018_ruifonte
0,1,,0,0.5,,0,,0,0,2017-2018_andrejlukic
0,0,,0,0,,,,0,0,2017-2018_nikolastojiljkovic
0,0,,0,0,,,,0,0,2017-2018_pedroneto
0,0,,0,0,,,,0,0,2017-2018_ricardo
25,9,36,0.82,0.3,0,0,,7,8,2017-2018_pele
25,12,48,0.83,0.4,0.04,0.08,,0,0,2017-2018_ricardojosevazalvesmonteiro
9,1,11.1,0.31,0.03,0,0,,0,0,2017-2018_marcelodossantosferreira
59,28,47.5,2.08,0.99,0.17,0.36,,0,1,2017-2018_helderguedes
0,0,,0,0,,,,0,0,2017-2018_cassio
11,16,145.5,0.42,0.62,0,0,,0,0,2017-2018_lionn
52,5,9.6,2.03,0.2,0.06,0.6,,0,0,2017-2018_franciscogeraldes
4,2,50,0.16,0.08,0,0,,0,0,2017-2018_nelsonmonte
5,3,60,0.21,0.12,0.2,0.33,,0,0,2017-2018_yuriribeiro
82,24,29.3,3.49,1.02,0.1,0.33,,0,0,2017-2018_joaonovais
31,10,32.3,1.89,0.61,0.03,0.1,,0,0,2017-2018_oscarbarreto
37,9,24.3,2.31,0.56,0.08,0.33,,0,0,2017-2018_rubentiagorodriguesribeiro
5,0,0,0.32,0,0,,,0,0,2017-2018_marcao
8,1,12.5,0.74,0.09,0.13,1,,0,0,2017-2018_brunoteles
13,7,53.8,1.72,0.93,0.15,0.29,,0,0,2017-2018_diegolopes
1,0,0,0.16,0,0,,,0,0,2017-2018_leandrinho
0,0,,0,0,,,,0,0,2017-2018_ruivieira
12,6,50,1.62,0.81,0.08,0.17,,0,0,2017-2018_nunosantos
1,0,0,0.18,0,0,,,0,0,2017-2018_eliseucassama
3,0,0,1.07,0,0,,,0,0,2017-2018_tasoskaramanos
4,2,50,1.16,0.58,0.25,0.5,,0,0,2017-2018_pedromanueldasilvamoreira
5,2,40,2,0.8,0,0,,0,0,2017-2018_gabrielairtondesouza
0,1,,0,0.69,,0,,0,0,2017-2018_gelson
1,0,0,2,0,0,,,0,0,2017-2018_yazaldegomespinto
21,4,19,0.64,0.12,0,0,,0,0,2017-2018_paulosergiomota
67,20,29.9,2.24,0.67,0.06,0.2,,5,6,2017-2018_pedrotiba
5,0,0,0.17,0,0,,,0,0,2017-2018_domingosduarte
49,16,32.7,1.76,0.58,0.06,0.19,,2,2,2017-2018_renanbardinibressan
8,2,25,0.28,0.07,0.13,0.5,,0,0,2017-2018_nikolamaras
53,16,30.2,2.03,0.61,0.09,0.31,,0,0,2017-2018_davidsondaluzpereira
37,22,59.5,1.47,0.88,0.3,0.5,,0,0,2017-2018_william
14,2,14.3,0.67,0.1,0,0,,0,0,2017-2018_jeffersondejesussantos
67,28,41.8,2.69,1.13,0.09,0.21,,1,1,2017-2018_matheuspereira
6,4,66.7,0.28,0.19,0.17,0.25,,0,0,2017-2018_djavandasilvaferreira
0,0,,0,0,,,,0,0,2017-2018_ricardojorgenovonunes
0,0,,0,0,,,,0,0,2017-2018_antoniofilipedecarvalho
8,2,25,0.83,0.21,0,0,,0,0,2017-2018_jefersonfernandesmacedo
21,9,42.9,2.26,0.97,0.24,0.56,,1,1,2017-2018_platiny
6,3,50,0.66,0.33,0.17,0.33,,0,0,2017-2018_stepheneustaquio
5,1,20,0.68,0.14,0,0,,0,0,2017-2018_nunoandrecoelho
,0,,,0,,,,0,0,2017-2018_rafaelfurlan
12,2,16.7,1.61,0.27,0.08,0.5,,0,0,2017-2018_jorginho
2,1,50,0.47,0.24,0,0,,0,0,2017-2018_filipemelo
2,0,0,0.53,0,0,,,0,0,2017-2018_rubenrafaelsousaferreira
7,1,14.3,1.26,0.18,0,0,,0,0,2017-2018_hamdouelhouni
12,1,8.3,2.53,0.21,0,0,,0,0,2017-2018_joaopatrao
7,4,57.1,2.35,1.34,0,0,,0,0,2017-2018_tiagogalvao
0,0,,0,0,,,,0,0,2017-2018_pedroqueiros
0,0,,0,0,,,,0,0,2017-2018_andersonconceicao
,0,,,0,,,,0,0,2017-2018_victormassaia
,0,,,0,,,,0,0,2017-2018_wilmarjordan
0,0,,0,0,,,,0,0,2017-2018_emanuelnovo
6,4,66.7,0.19,0.13,0.33,0.5,,0,0,2017-2018_bebeto
15,4,26.7,0.51,0.14,0.07,0.25,,0,0,2017-2018_zainadinejunior
