Shots,ShotsOnTarget,SoT%,Sh/90,SoT/90,GoalsPerShot,GoalsPerShotOnTarget,AvgShotDistance,GoalsFromPenalties,PKatt,Key
7,1,14.3,0.27,0.04,0,0,19.2,0,0,2017-2018_davidabraham
39,14,35.9,1.5,0.54,0.18,0.5,13.3,2,2,2017-2018_sebastienhaller
16,2,12.5,0.65,0.08,0.06,0.5,13.6,0,0,2017-2018_simonfalette
2,1,50,0.09,0.04,0,0,26,0,0,2017-2018_makotohasebe
24,7,29.2,1.14,0.33,0.08,0.29,16.2,0,0,2017-2018_timothychandler
37,17,45.9,1.83,0.84,0.03,0.06,19.5,0,0,2017-2018_mijatgacinovic
46,23,50,2.36,1.18,0.13,0.26,18.4,0,0,2017-2018_anterebic
21,9,42.9,1.14,0.49,0,0,21.2,0,0,2017-2018_jetrowillems
5,2,40,0.28,0.11,0,0,24,0,0,2017-2018_carlossalcedo
9,2,22.2,0.67,0.15,0.11,0.5,11.4,0,0,2017-2018_dannydacosta
7,5,71.4,0.55,0.39,0.14,0.2,10.3,0,0,2017-2018_marcoruss
11,4,36.4,0.91,0.33,0,0,21.3,0,0,2017-2018_jonathandeguzman
1,1,100,0.09,0.09,0,0,21,0,0,2017-2018_gelsonfernandes
38,15,39.5,3.65,1.44,0.21,0.53,12.2,0,0,2017-2018_lukajovic
4,2,50,0.47,0.23,0.25,0.5,21.3,0,0,2017-2018_omarmascarell
8,1,12.5,1.94,0.24,0,0,23.4,0,0,2017-2018_marcstendera
3,0,0,0.61,0,0,,22.8,0,0,2017-2018_talebtawatha
17,4,23.5,3.63,0.85,0.06,0.25,23,0,0,2017-2018_marcofabian
3,0,0,0.86,0,0,,23,0,0,2017-2018_aymenbarkok
3,2,66.7,1.38,0.92,0,0,15.3,0,0,2017-2018_branimirhrgota
2,0,0,1.25,0,0,,15.2,0,0,2017-2018_daichikamada
1,0,0,2.81,0,0,,28.7,0,0,2017-2018_marijancavar
2,1,50,6.21,3.1,0.5,1,12.7,0,0,2017-2018_dannyblum
0,0,,0,0,,,,0,0,2017-2018_slobodanmedojevic
1,1,100,22.5,22.5,1,1,9.3,0,0,2017-2018_alexandermeier
29,11,37.9,0.85,0.32,0.17,0.45,12.9,0,0,2017-2018_matthiasginter
81,28,34.6,2.48,0.86,0.06,0.18,17.9,5,6,2017-2018_thorganhazard
15,7,46.7,0.46,0.22,0.13,0.29,11.2,0,0,2017-2018_nicoelvedi
24,6,25,0.75,0.19,0.13,0.5,12.3,0,0,2017-2018_jannikvestergaard
71,25,35.2,2.34,0.83,0.08,0.24,18.9,0,0,2017-2018_larsstindl
0,0,,0,0,,,,0,0,2017-2018_yannsommer
20,4,20,0.78,0.16,0.1,0.5,25.9,0,0,2017-2018_deniszakaria
18,5,27.8,0.66,0.18,0.06,0.2,17.7,0,0,2017-2018_oscarwendt
12,4,33.3,0.5,0.17,0.25,0.75,16.3,0,0,2017-2018_christophkramer
51,17,33.3,2.22,0.74,0.16,0.47,17.9,1,1,2017-2018_raffael
20,7,35,1.6,0.56,0,0,15.5,0,0,2017-2018_patrickherrmann
20,5,25,1.74,0.44,0,0,17.8,0,0,2017-2018_jonashofmann
25,5,20,1.86,0.37,0,0,24.6,0,0,2017-2018_mickaelcuisance
12,6,50,1.37,0.69,0,0,20.8,0,0,2017-2018_vincenzogrifo
1,0,0,0.12,0,0,,8.6,0,0,2017-2018_tonyjantschke
6,3,50,1.16,0.58,0.17,0.33,10.1,0,0,2017-2018_fabianjohnson
3,1,33.3,0.58,0.19,0,0,17.3,0,0,2017-2018_reeceoxford
15,7,46.7,3.01,1.4,0,0,18.1,0,0,2017-2018_raulbobadilla
17,5,29.4,3.28,0.96,0.24,0.8,13.2,0,0,2017-2018_josipdrmic
0,0,,0,0,,,,0,0,2017-2018_tobiassippel
8,3,37.5,3.58,1.34,0,0,21.9,0,0,2017-2018_ibrahimatraore
0,0,,0,0,,,,0,0,2017-2018_tobiasstrobl
1,0,0,2.37,0,0,,32.8,0,0,2017-2018_laszlobenes
0,0,,0,0,,,,0,0,2017-2018_florianmayer
0,0,,0,0,,,,0,0,2017-2018_mandelaegbo
0,0,,0,0,,,,0,0,2017-2018_juliovillalba
0,0,,0,0,,,,0,0,2017-2018_marcelbenger
18,3,16.7,0.55,0.09,0,0,29,0,0,2017-2018_marvinplattenhardt
1,0,0,0.03,0,0,,9.2,0,0,2017-2018_runejarstein
48,22,45.8,1.96,0.9,0.23,0.5,16.2,1,2,2017-2018_salomonkalou
8,2,25,0.31,0.08,0.25,1,13.8,0,0,2017-2018_karimrekik
11,5,45.5,0.45,0.2,0.09,0.2,12.5,0,0,2017-2018_niklasstark
6,2,33.3,0.25,0.08,0,0,32,0,0,2017-2018_perciljanskjelbred
13,4,30.8,0.59,0.18,0.08,0.25,18.1,0,0,2017-2018_mitchellweiser
46,21,45.7,2.2,1,0.2,0.43,13.9,1,1,2017-2018_davieselke
17,11,64.7,0.82,0.53,0.12,0.18,18.6,0,0,2017-2018_valentinolazaro
23,8,34.8,1.12,0.39,0.22,0.63,15.7,0,0,2017-2018_mathewleckie
25,8,32,1.38,0.44,0,0,23,0,0,2017-2018_vladimirdarida
3,0,0,0.17,0,0,,30.7,0,0,2017-2018_fabianlustenberger
36,19,52.8,2.23,1.18,0.11,0.21,11.8,2,2,2017-2018_vedadibisevic
9,3,33.3,0.59,0.2,0,0,18.6,0,0,2017-2018_peterpekarik
13,1,7.7,0.96,0.07,0,0,26.3,0,0,2017-2018_arnemaier
6,1,16.7,0.57,0.09,0,0,14.2,0,0,2017-2018_sebastianlangkamp
8,3,37.5,0.97,0.36,0.13,0.33,19.1,0,0,2017-2018_ondrejduda
2,1,50,0.27,0.14,0.5,1,3.1,0,0,2017-2018_jordantorunarigha
9,6,66.7,1.31,0.88,0.22,0.33,17.7,0,0,2017-2018_alexanderesswein
9,6,66.7,1.91,1.27,0,0,24.6,0,0,2017-2018_maximilianmittelstadt
0,0,,0,0,,,,0,0,2017-2018_thomaskraft
0,0,,0,0,,,,0,0,2017-2018_genkiharaguchi
1,0,0,1.61,0,0,,12.3,0,0,2017-2018_julianschieber
3,2,66.7,5.19,3.46,0,0,27.9,0,0,2017-2018_valentinstocker
0,0,,0,0,,,,0,0,2017-2018_palkodardai
0,0,,0,0,,,,0,0,2017-2018_jiripavlenka
17,9,52.9,0.54,0.29,0.18,0.33,11.3,0,0,2017-2018_theodorgebreselassie
56,13,23.2,1.8,0.42,0.05,0.23,18.9,0,0,2017-2018_thomasdelaney
43,14,32.6,1.44,0.47,0.05,0.14,17.5,0,0,2017-2018_maximilianeggestein
5,1,20,0.17,0.03,0.2,1,10.3,0,0,2017-2018_milosveljkovic
24,6,25,0.85,0.21,0.04,0.17,18,0,0,2017-2018_ludwigaugustinsson
53,21,39.6,1.94,0.77,0.11,0.29,18.2,0,0,2017-2018_maxkruse
18,5,27.8,0.72,0.2,0.11,0.4,14.7,0,0,2017-2018_niklasmoisander
16,5,31.3,0.77,0.24,0.06,0.2,27.4,0,0,2017-2018_philippbargfrede
34,11,32.4,1.79,0.58,0.09,0.27,21.8,0,0,2017-2018_floriankainz
42,11,26.2,2.31,0.61,0.05,0.18,21.2,0,0,2017-2018_zlatkojunuzovic
22,9,40.9,1.77,0.72,0.09,0.22,17.1,0,0,2017-2018_finbartels
46,20,43.5,3.07,1.33,0.09,0.2,12.6,0,0,2017-2018_ishakbelfodil
2,0,0,0.19,0,0,,33.5,0,0,2017-2018_robertbauer
4,1,25,0.46,0.11,0.25,1,11,0,0,2017-2018_laminesane
16,3,18.8,1.81,0.34,0.06,0.33,17.3,0,0,2017-2018_jeromegondorf
5,1,20,0.75,0.15,0,0,24.6,0,0,2017-2018_marcofriedl
1,0,0,0.22,0,0,,4.7,0,0,2017-2018_sebastianlangkamp
15,5,33.3,3.52,1.17,0.07,0.2,22.1,0,0,2017-2018_milotrashica
