Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
806,17,145,524,142,2,806,4,4,100,0,449,2183,1208,15,11,0,13,10,567,13,2018-2019_florentbalmont
509,427,509,0,0,0,509,0,0,,0,231,1692,1287,0,0,0,0,0,137,0,2018-2019_bobbyallain
747,68,336,383,36,9,747,7,6,85.7,1,376,1848,1032,11,6,0,8,5,460,3,2018-2019_nayefaguerd
476,5,50,169,260,22,476,34,18,52.9,16,248,1539,595,20,17,4,23,22,314,83,2018-2019_kwonchang-hoon
496,5,91,325,83,3,496,8,4,50,4,303,1443,747,9,12,1,12,11,352,5,2018-2019_enzoloiodice
652,59,338,298,21,7,652,0,0,,0,403,1770,948,1,0,0,0,2,465,0,2018-2019_laurentciman
375,23,108,154,116,8,375,6,4,66.7,2,159,1141,649,21,13,2,10,3,194,38,2018-2019_mickaelalphonse
274,4,44,131,104,9,274,8,2,25,6,182,1022,522,16,12,4,12,9,200,31,2018-2019_fredericsammaritano
251,22,108,134,11,4,251,1,1,100,0,133,796,371,1,3,0,6,1,147,0,2018-2019_senoucoulibaly
226,2,15,57,162,33,226,39,16,41,23,160,1511,596,25,16,15,21,11,165,63,2018-2019_juleskeita
104,1,9,45,51,9,104,13,5,38.5,8,61,299,77,2,4,2,12,11,86,28,2018-2019_sorykaba
100,3,9,43,49,6,100,2,1,50,1,66,402,210,9,3,2,3,3,76,11,2018-2019_yoanngourcuff
44,2,21,18,6,1,44,2,1,50,1,17,159,65,2,4,0,2,1,18,1,2018-2019_arnoldboukamoutou
1337,1138,1332,5,0,0,1337,0,0,,0,593,3836,2667,0,0,0,1,0,439,0,2018-2019_bricesamba
2428,28,367,1538,543,14,2427,47,29,61.7,18,1283,5983,2672,39,39,2,47,35,1574,59,2018-2019_faycalfajr
1877,115,653,879,363,16,1877,50,29,58,21,757,4180,2163,57,51,2,44,25,848,86,2018-2019_fredericguilbert
1840,212,1065,750,38,17,1840,13,8,61.5,5,799,4048,2076,7,5,1,14,13,961,3,2018-2019_alexanderdjiku
1014,9,144,419,482,79,1013,126,52,41.3,74,649,6195,2667,95,97,23,125,86,648,185,2018-2019_casimirninga
778,34,59,465,259,57,778,30,12,40,18,409,1898,536,17,14,4,76,41,604,123,2018-2019_enzocrivelli
1220,52,282,838,113,28,1220,7,2,28.6,5,567,2798,1289,15,21,1,22,15,790,20,2018-2019_princeoniangue
1186,104,477,604,122,6,1186,30,21,70,9,550,3644,2333,42,27,2,17,11,651,24,2018-2019_jonathangradit
1107,47,349,540,230,7,1107,31,11,35.5,20,528,3164,1687,45,31,4,28,9,596,49,2018-2019_yoelarmougom
1052,142,581,449,31,17,1052,1,1,100,0,493,2308,1213,5,2,0,4,2,609,4,2018-2019_paulbaysse
629,6,70,391,177,20,629,41,24,58.5,17,348,1848,836,21,16,2,33,23,410,60,2018-2019_saif-eddinekhaoui
603,27,80,287,245,66,602,26,10,38.5,16,298,1375,544,22,18,6,56,16,426,116,2018-2019_claudiobeauvue
670,28,81,409,191,55,670,24,15,62.5,9,347,1319,450,14,8,2,60,31,469,61,2018-2019_maliktchokounte
622,32,148,387,97,9,622,22,14,63.6,8,329,2284,1140,30,16,1,19,26,358,17,2018-2019_jessydeminguet
729,42,238,463,36,1,729,13,8,61.5,5,414,2060,944,6,4,0,13,13,457,4,2018-2019_ismaeldiomande
724,39,256,357,117,2,724,11,5,45.5,6,266,1422,692,21,15,0,10,10,342,30,2018-2019_emmanuelimorou
452,21,76,208,172,24,451,6,3,50,3,224,995,412,12,13,4,20,17,282,63,2018-2019_yacinebammou
493,28,195,218,88,1,493,13,8,61.5,5,187,1137,606,17,11,1,16,4,193,20,2018-2019_adamambengue
355,45,177,143,38,1,355,5,3,60,2,120,643,240,1,2,0,11,1,134,0,2018-2019_younnzahary
275,16,81,142,53,7,275,16,5,31.3,11,155,955,374,10,6,1,12,7,172,21,2018-2019_baissamasankoh
223,9,39,140,46,2,223,2,1,50,1,120,557,253,6,1,1,0,5,155,7,2018-2019_stefpeeters
203,22,100,88,16,0,203,1,0,0,1,85,346,178,2,0,0,3,0,109,3,2018-2019_romaingenevois
119,1,13,43,65,9,119,15,4,26.7,11,91,685,251,11,6,6,15,16,90,38,2018-2019_evensjoseph
71,4,12,20,39,12,71,5,3,60,2,43,220,85,5,2,3,6,4,52,14,2018-2019_hermanmoussaki
17,0,6,10,2,0,17,0,0,,0,11,54,9,0,0,0,4,1,10,0,2018-2019_alyndom
1,0,0,1,0,0,1,0,0,,0,1,3,0,0,0,0,0,1,2,1,2018-2019_timostavitski
2429,104,654,1127,682,17,2429,30,22,73.3,8,982,6067,3411,74,64,6,34,30,1195,129,2018-2019_pedrorebocho
1239,15,135,546,598,146,1234,146,101,69.2,45,766,7216,3424,133,90,53,95,92,942,221,2018-2019_marcusthuram
1293,141,627,647,28,16,1293,5,5,100,0,585,3191,1598,3,4,1,12,1,675,0,2018-2019_jeremysorbon
1323,166,617,640,76,25,1323,11,9,81.8,2,540,3219,1675,9,8,1,12,3,629,3,2018-2019_felixeboaeboa
1277,20,183,759,367,47,1276,86,57,66.3,29,682,4740,2142,58,61,11,59,61,776,81,2018-2019_ludovicblas
1136,138,530,581,32,13,1136,4,3,75,1,453,2525,1546,10,8,3,10,3,532,3,2018-2019_christophekerbrat
1448,51,274,937,246,13,1448,7,4,57.1,3,626,2995,1254,15,11,2,21,27,850,35,2018-2019_etiennedidot
1199,30,253,830,130,6,1199,19,12,63.2,7,614,3122,1486,19,11,0,18,14,775,16,2018-2019_lebogangphiri
600,524,600,0,0,0,600,0,0,,0,214,1611,1160,0,0,0,1,0,152,0,2018-2019_marc-aurelecaillard
884,13,120,368,412,67,884,45,21,46.7,24,483,3598,1545,63,37,13,71,48,591,186,2018-2019_marcuscoco
990,38,285,454,262,16,990,23,16,69.6,7,374,2783,1589,49,31,6,27,20,475,73,2018-2019_jordanikoko
1103,6,114,486,517,63,1103,50,34,68,16,610,4386,1991,66,47,14,65,54,741,163,2018-2019_nicolasbenezet
543,24,48,262,235,62,543,13,8,61.5,5,267,1276,425,10,9,1,38,22,408,103,2018-2019_nolanroux
519,438,514,5,0,0,519,0,0,,0,222,1576,1188,0,0,0,0,0,165,0,2018-2019_karl-johanjohnsson
673,17,105,414,161,24,673,14,5,35.7,9,266,1365,597,19,16,4,21,12,424,39,2018-2019_lucasdeaux
893,39,237,359,306,20,893,41,16,39,25,310,2382,1243,44,34,11,17,14,377,99,2018-2019_cheicktraore
421,10,81,199,148,17,421,30,17,56.7,13,243,1760,739,20,16,2,17,18,273,49,2018-2019_mehdimerghem
409,13,31,217,166,28,409,11,8,72.7,3,184,935,374,10,10,4,17,9,295,48,2018-2019_ronnyrodelin
200,6,12,94,96,37,200,9,4,44.4,5,94,434,153,5,7,2,25,12,142,37,2018-2019_alexandremendy
425,10,76,293,61,4,425,11,6,54.5,5,223,1400,632,13,8,0,12,10,252,12,2018-2019_didieribrahimndong
257,4,32,96,130,24,257,5,2,40,3,115,618,272,8,6,2,11,6,141,36,2018-2019_yeningbakoto
183,11,37,112,34,4,183,3,1,33.3,2,63,331,155,3,4,0,2,7,93,4,2018-2019_guessoumafofana
193,3,7,87,100,24,193,8,2,25,6,86,358,112,5,3,2,16,10,146,31,2018-2019_nathaeljulan
96,13,49,46,2,0,96,0,0,,0,39,200,117,1,1,0,1,0,52,0,2018-2019_francktabanou
110,12,42,64,6,2,110,1,1,100,0,50,279,143,0,0,0,1,0,58,1,2018-2019_papydjilobodji
83,9,44,37,2,2,83,0,0,,0,34,228,145,0,0,0,0,0,45,0,2018-2019_djeguikoita
46,1,5,25,17,2,46,0,0,,0,26,230,149,6,1,1,1,0,24,2,2018-2019_johanlarsson
12,0,0,7,6,1,12,1,0,0,1,11,158,18,2,1,0,1,1,10,4,2018-2019_matthiasphaeton
2,0,0,0,2,0,2,0,0,,0,1,15,0,0,0,0,0,1,1,0,2018-2019_yannissalibur
4,0,0,1,3,0,4,0,0,,0,2,12,9,0,1,0,0,0,3,2,2018-2019_louiscarnot
1494,37,79,540,893,196,1488,85,45,52.9,40,1033,7485,3945,145,106,48,54,39,1274,358,2018-2019_cristianoronaldo
1523,29,242,926,363,56,1523,31,20,64.5,11,922,3210,1404,23,26,4,39,18,1127,118,2018-2019_blaisematuidi
791,703,786,5,0,0,791,0,0,,0,403,2313,1437,0,1,1,0,1,306,0,2018-2019_wojciechszczesny
2215,95,495,1091,645,45,2215,56,29,51.8,27,1334,7251,4204,104,84,8,34,25,1522,163,2018-2019_alexsandro
1854,174,755,1056,50,18,1854,3,3,100,0,1125,4808,2901,6,8,2,9,2,1296,4,2018-2019_leonardobonucci
2280,43,385,1338,572,17,2280,16,11,68.8,5,1313,5572,2651,30,30,2,25,15,1615,19,2018-2019_miralempjanic
1571,4,110,812,674,69,1570,90,49,54.4,41,1087,6549,2603,69,57,16,71,43,1243,154,2018-2019_paulodybala
802,31,104,312,389,98,802,8,5,62.5,3,400,1460,615,18,15,1,27,20,576,145,2018-2019_mariomandzukic
1575,163,672,838,75,21,1575,5,4,80,1,900,4544,2640,21,13,1,9,9,1079,6,2018-2019_giorgiochiellini
1755,51,402,816,561,44,1755,85,61,71.8,24,1145,7157,4548,109,65,22,34,22,1207,152,2018-2019_joaocancelo
1482,60,262,916,321,22,1482,33,19,57.6,14,919,4398,2163,36,27,3,27,24,1043,65,2018-2019_rodrigobentancur
1284,38,276,743,282,48,1283,35,26,74.3,8,770,3941,2104,48,40,6,25,13,874,46,2018-2019_emrecan
1361,71,393,694,288,16,1361,12,7,58.3,5,717,3327,1909,40,30,3,13,10,865,91,2018-2019_mattiadesciglio
899,96,399,477,28,10,899,1,0,0,1,539,2521,1322,6,2,0,4,5,624,1,2018-2019_danielerugani
892,15,95,363,449,77,892,40,21,52.5,19,590,3909,1770,58,33,23,29,17,640,153,2018-2019_federicobernardeschi
962,14,123,448,398,44,962,32,19,59.4,13,671,3607,2231,55,47,20,22,15,745,109,2018-2019_juancuadrado
241,224,241,0,0,0,241,1,1,100,0,125,783,508,0,0,0,0,0,94,0,2018-2019_mattiaperin
438,14,68,257,119,28,438,1,0,0,1,277,1127,468,9,10,2,8,4,322,32,2018-2019_samikhedira
515,27,177,301,39,4,515,1,0,0,1,330,1440,963,13,7,0,6,0,388,5,2018-2019_martincaceres
438,1,37,173,240,24,438,47,30,63.8,17,335,2951,1532,47,38,13,17,13,364,83,2018-2019_douglascosta
440,13,88,155,200,24,440,18,11,61.1,7,279,2384,1434,60,26,15,13,7,303,65,2018-2019_leonardospinazzola
165,1,15,63,91,34,165,24,9,37.5,15,118,727,221,11,6,8,22,10,126,42,2018-2019_moisekean
374,34,172,192,14,3,374,2,2,100,0,226,1032,523,3,2,0,0,2,260,0,2018-2019_medhibenatia
216,15,76,133,7,0,216,1,0,0,1,147,622,360,3,1,0,0,3,165,0,2018-2019_andreabarzagli
58,0,3,25,30,5,58,2,1,50,1,36,132,57,2,1,0,2,0,43,10,2018-2019_matheuspereiradasilva
63,2,28,34,2,0,63,1,1,100,0,50,389,255,5,2,0,0,0,48,0,2018-2019_paologozziiweru
36,35,36,0,0,0,36,0,0,,0,20,114,83,0,0,0,0,0,14,0,2018-2019_carlopinsoglio
26,0,6,8,12,1,26,1,1,100,0,13,57,29,1,0,1,2,1,16,1,2018-2019_grigoriskastanos
37,0,4,20,13,2,37,2,0,0,2,21,138,62,2,1,0,1,1,25,4,2018-2019_hansnicolussicaviglia
20,1,4,14,3,1,20,2,1,50,1,9,29,12,1,1,0,1,1,10,2,2018-2019_manoloportanova
11,0,0,2,9,1,11,2,0,0,2,9,47,7,1,0,0,2,0,9,5,2018-2019_stephymavididi
2902,221,1054,1758,117,32,2902,20,11,55,9,1956,10351,6642,53,39,2,17,9,2082,15,2018-2019_kalidoukoulibaly
2330,30,243,1296,825,84,2330,53,36,67.9,17,1689,10118,5638,134,133,16,50,38,1884,197,2018-2019_piotrzielinski
1921,28,238,863,832,116,1921,29,15,51.7,14,1190,4884,2778,54,66,11,27,19,1440,247,2018-2019_josecallejon
2582,70,466,1711,439,26,2582,64,41,64.1,23,1757,8379,4562,49,66,14,34,42,1876,45,2018-2019_allan
856,19,43,330,493,131,856,17,8,47.1,9,539,2092,872,30,28,10,45,22,692,169,2018-2019_arkadiuszmilik
1980,62,522,1094,380,25,1980,33,18,54.5,15,1219,6369,3615,67,55,8,26,21,1363,98,2018-2019_elseidhysaj
1572,8,77,679,827,107,1570,48,26,54.2,22,1182,5749,2798,76,69,21,45,27,1345,258,2018-2019_lorenzoinsigne
1167,3,45,421,706,151,1166,38,18,47.4,20,816,3481,2012,71,54,35,44,28,954,261,2018-2019_driesmertens
2085,40,262,1277,568,59,2085,51,36,70.6,15,1539,7154,3804,70,72,17,27,29,1682,116,2018-2019_fabianruizpena
1541,73,424,713,419,28,1541,63,34,54,29,940,5364,2876,82,65,14,38,20,949,138,2018-2019_kevinmalcuit
1292,130,529,735,31,7,1292,2,1,50,1,758,3466,1959,4,4,0,5,2,889,2,2018-2019_raulalbiol
1458,50,284,693,493,16,1458,21,11,52.4,10,949,4312,2850,69,63,4,18,13,1042,134,2018-2019_mariorui
494,436,494,0,0,0,494,1,1,100,0,259,1411,901,0,1,0,1,0,208,0,2018-2019_davidospina
1014,109,448,544,27,5,1014,7,4,57.1,3,625,3444,2012,6,6,0,6,2,680,3,2018-2019_nikolamaksimovic
379,349,379,0,0,0,379,0,0,,0,178,931,517,0,0,0,1,0,151,0,2018-2019_alexmeret
1094,25,160,531,408,20,1094,4,1,25,3,674,3041,1847,37,30,5,9,3,744,138,2018-2019_faouzighoulam
924,16,127,647,158,13,924,9,6,66.7,3,596,2628,1393,22,27,1,5,6,762,28,2018-2019_marekhamsik
261,236,260,1,0,0,261,0,0,,0,132,679,427,0,0,0,0,0,109,0,2018-2019_orestiskarnezis
482,5,41,230,217,24,481,22,12,54.5,10,361,1885,858,32,29,8,26,16,377,74,2018-2019_simoneverdi
618,19,86,455,85,3,618,9,9,100,0,431,1511,663,3,14,0,5,6,475,6,2018-2019_amadoudiawara
533,45,211,306,17,5,533,2,1,50,1,320,1366,830,7,0,0,3,0,357,3,2018-2019_sebastianoluperto
382,1,18,143,225,30,382,34,19,55.9,15,287,2124,1187,45,35,19,18,10,308,77,2018-2019_adamounas
397,0,24,195,180,31,397,28,18,64.3,10,316,1746,819,19,18,15,9,8,336,66,2018-2019_aminyounes
243,2,32,179,35,4,243,12,8,66.7,4,130,570,309,2,5,0,8,4,168,4,2018-2019_markorog
143,9,47,96,1,1,143,2,2,100,0,114,623,382,1,0,0,2,0,110,0,2018-2019_vladchiriches
12,0,2,3,7,2,12,1,0,0,1,10,52,17,1,1,2,1,0,12,3,2018-2019_gianlucagaetano
2633,53,401,1538,718,52,2633,46,26,56.5,20,1711,9313,4729,100,92,11,53,40,1884,77,2018-2019_remofreuler
2545,69,468,1550,550,25,2544,16,8,50,8,1545,6734,3548,33,46,2,19,13,1723,40,2018-2019_martenderoon
2323,9,136,915,1311,104,2323,127,76,59.8,51,1669,12136,6636,239,186,45,66,76,1794,264,2018-2019_papugomez
2114,61,441,911,773,95,2114,40,14,35,26,1307,6429,3862,100,74,13,36,32,1481,243,2018-2019_hanshateboer
1206,29,66,405,758,278,1204,83,40,48.2,43,916,5429,2280,108,67,58,149,92,988,374,2018-2019_duvanzapata
1583,134,781,758,60,10,1583,8,6,75,2,852,3759,1452,5,4,0,11,4,876,4,2018-2019_joseluispalomino
1670,97,645,834,208,57,1670,12,11,91.7,1,971,4594,2706,26,32,3,11,9,1045,20,2018-2019_gianlucamancini
1632,4,88,634,929,156,1631,133,78,58.6,55,1321,8652,4085,155,103,69,74,76,1433,286,2018-2019_josipilicic
1501,49,314,689,517,58,1501,40,20,50,20,786,4519,2844,96,48,13,39,8,925,153,2018-2019_robingosens
1475,90,563,764,155,15,1475,0,0,,0,793,3428,1994,17,27,3,8,4,936,17,2018-2019_andreamasiello
1518,57,347,641,542,56,1518,39,20,51.3,19,845,4487,2457,61,46,10,34,29,944,159,2018-2019_timothycastagne
1279,168,698,544,43,17,1279,5,5,100,0,730,3734,1333,5,8,1,13,4,783,2,2018-2019_beratdjimsiti
641,555,637,4,0,0,641,0,0,,0,339,1819,1115,0,0,0,2,0,254,0,2018-2019_pierluigigollini
1428,85,544,717,185,34,1428,11,9,81.8,2,862,4631,2752,40,28,6,11,9,953,25,2018-2019_rafaeltoloi
511,431,509,2,0,0,511,0,0,,0,234,1242,858,0,0,0,0,0,173,0,2018-2019_etritberisha
1219,17,174,710,352,54,1219,29,16,55.2,13,828,4223,1758,34,39,6,46,32,911,62,2018-2019_mariopasalic
352,1,14,115,229,47,352,19,7,36.8,12,260,1546,739,33,20,17,41,13,289,79,2018-2019_musabarrow
322,4,15,124,190,20,322,31,16,51.6,15,229,1664,681,28,17,4,20,18,244,80,2018-2019_emilianorigoni
137,7,34,56,50,4,137,7,5,71.4,2,73,419,252,7,2,0,0,1,79,11,2018-2019_aliadnankadhim
215,4,28,128,59,1,215,0,0,,0,142,710,397,6,4,0,3,1,156,9,2018-2019_matteopessina
34,0,5,25,5,1,34,1,1,100,0,17,59,28,1,0,0,1,1,22,0,2018-2019_lucavalzania
73,0,2,37,34,4,73,2,2,100,0,66,381,206,9,4,2,6,2,68,11,2018-2019_dejankulusevski
41,0,8,12,21,2,41,4,2,50,2,26,145,62,1,1,0,1,0,27,5,2018-2019_arkadiuszreca
22,0,0,7,15,5,22,0,0,,0,13,39,9,0,1,0,6,0,16,5,2018-2019_robertopiccoli
8,0,1,3,4,2,8,1,1,100,0,6,16,0,0,0,0,2,0,7,3,2018-2019_marcotumminello
4,2,3,1,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,1,0,2018-2019_rogeribanez
1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,2018-2019_francescorossi
1238,1119,1236,3,0,0,1238,0,0,,0,641,3460,2607,0,0,0,0,0,579,0,2018-2019_samirhandanovic
2745,252,1237,1444,81,35,2745,11,7,63.6,4,1704,8449,4343,26,17,0,18,7,1930,5,2018-2019_milanskriniar
2999,84,639,1806,581,15,2999,32,22,68.8,10,1891,9482,4341,43,49,2,45,27,2159,29,2018-2019_marcelobrozovic
1775,11,127,587,1083,92,1775,84,47,56,37,1142,8385,4278,141,103,33,49,33,1323,303,2018-2019_matteopolitano
1784,62,212,599,987,201,1782,55,23,41.8,32,1002,6449,3631,159,70,52,50,18,1265,338,2018-2019_ivanperisic
2475,77,588,1332,579,20,2475,65,40,61.5,25,1540,7411,4524,90,83,12,36,23,1761,153,2018-2019_kwadwoasamoah
2183,71,562,1168,463,53,2183,32,13,40.6,19,1215,4992,2634,57,49,3,26,18,1499,148,2018-2019_danilodambrosio
1900,165,863,1002,47,28,1900,4,4,100,0,1183,5510,3283,15,3,0,6,2,1339,4,2018-2019_stefandevrij
638,22,37,250,357,153,632,21,9,42.9,10,339,1384,450,19,12,9,43,21,462,137,2018-2019_mauroicardi
1409,38,232,822,373,77,1409,27,15,55.6,12,819,4236,2400,55,48,4,26,14,1010,102,2018-2019_matiasvecino
1236,11,104,578,574,46,1236,40,27,67.5,13,828,4152,1974,51,55,7,54,45,980,145,2018-2019_radjanainggolan
927,77,419,490,21,11,927,2,1,50,1,566,2478,1295,5,4,0,7,1,654,5,2018-2019_miranda
478,8,25,203,255,98,477,28,13,46.4,15,308,1357,621,26,11,13,58,30,372,92,2018-2019_lautaromartinez
944,31,145,577,230,36,944,9,5,55.6,4,546,2637,1421,32,30,1,22,10,720,42,2018-2019_robertogagliardini
1301,37,200,838,275,13,1301,6,4,66.7,2,873,4304,2320,33,32,1,12,4,1054,31,2018-2019_borjavalero
874,13,128,430,329,20,874,35,23,65.7,12,596,3709,2102,59,42,8,27,19,664,90,2018-2019_joaomario
632,22,170,331,138,8,632,9,3,33.3,6,328,1633,980,23,20,1,8,7,357,43,2018-2019_dalberthenrique
450,3,28,141,289,56,450,34,20,58.8,14,330,2327,1132,57,25,19,25,16,368,98,2018-2019_keitabalde
721,33,163,363,200,3,721,5,2,40,3,391,1836,1129,20,18,0,8,4,456,48,2018-2019_simevrsaljko
351,4,29,115,208,31,351,11,6,54.5,5,235,1811,943,41,22,11,8,10,268,75,2018-2019_antoniocandreva
233,6,48,116,73,3,233,1,0,0,1,106,436,174,2,4,0,5,1,140,15,2018-2019_cedricsoares
40,2,13,21,6,3,40,0,0,,0,17,72,51,0,0,0,0,0,30,1,2018-2019_andrearanocchia
6,0,0,3,4,1,6,1,1,100,0,6,45,20,0,3,0,1,0,6,3,2018-2019_yannkaramoh
1248,1136,1244,4,0,0,1248,0,0,,0,648,3410,2355,0,0,0,0,1,516,0,2018-2019_gianluigidonnarumma
2479,118,793,1320,392,10,2479,14,12,85.7,2,1608,8598,4879,86,67,4,15,18,1644,81,2018-2019_ricardorodriguez
2074,5,162,825,1105,107,2074,98,66,67.3,32,1566,9628,4735,138,100,46,62,64,1694,368,2018-2019_suso
2090,83,359,1172,592,93,2087,63,44,69.8,19,1400,7414,3621,72,62,20,70,40,1558,159,2018-2019_franckkessie
2240,32,311,1057,897,82,2240,48,32,66.7,16,1510,8769,4615,126,94,22,69,35,1651,196,2018-2019_hakancalhanoglu
2109,257,1083,993,36,17,2109,1,1,100,0,1282,5982,3075,11,2,0,12,3,1455,3,2018-2019_alessioromagnoli
1996,187,1035,922,50,20,1996,5,3,60,2,1329,6985,4484,11,10,0,7,7,1454,4,2018-2019_mateomusacchio
1679,74,358,1089,256,30,1679,84,60,71.4,24,1071,5565,2908,49,54,5,55,42,1126,45,2018-2019_tiemouebakayoko
1769,78,578,850,360,18,1769,33,12,36.4,21,991,4710,2898,58,45,4,26,15,1123,124,2018-2019_davidecalabria
403,15,31,159,214,68,403,14,8,57.1,6,277,1015,289,12,5,9,47,23,321,107,2018-2019_krzysztofpiatek
1070,67,342,579,156,11,1070,10,4,40,6,646,2673,1487,27,13,4,8,2,695,43,2018-2019_ignazioabate
490,14,31,202,261,67,489,36,20,55.6,16,359,2185,731,25,13,7,35,26,395,81,2018-2019_gonzalohiguain
974,52,298,564,118,2,974,4,3,75,1,494,1914,936,11,8,0,10,12,627,4,2018-2019_lucasbiglia
524,18,47,215,268,73,524,16,5,31.3,11,355,1835,676,26,11,11,61,26,388,142,2018-2019_patrickcutrone
768,79,342,408,20,10,768,3,2,66.7,1,482,2885,1627,6,6,1,3,2,513,0,2018-2019_cristianzapata
478,14,78,272,136,15,478,25,16,64,9,324,1455,729,21,15,2,20,30,370,49,2018-2019_lucaspaqueta
534,30,119,219,199,34,534,11,8,72.7,3,342,1510,552,13,11,5,27,20,364,96,2018-2019_fabioborini
667,9,71,259,354,41,667,41,19,46.3,22,470,3294,1625,56,40,9,28,25,486,124,2018-2019_samucastillejo
452,14,83,223,151,31,452,13,10,76.9,3,311,2096,1178,32,23,6,12,10,368,26,2018-2019_giacomobonaventura
483,11,124,232,130,14,483,11,6,54.5,5,254,1448,763,21,11,4,11,11,295,51,2018-2019_diegolaxalt
417,16,89,217,116,8,417,7,5,71.4,2,248,1390,864,19,14,0,2,0,274,38,2018-2019_andreaconti
119,108,118,1,0,0,119,0,0,,0,66,302,205,0,0,0,0,0,47,0,2018-2019_pepereina
127,2,22,82,23,2,127,6,5,83.3,1,71,265,123,1,1,0,3,3,82,2,2018-2019_josemauri
2377,125,645,1061,698,40,2374,55,31,56.4,24,1225,7207,4656,105,70,16,28,17,1482,177,2018-2019_aleksandarkolarov
1785,246,790,914,95,40,1785,17,14,82.4,3,857,4142,2361,19,7,0,16,6,1010,5,2018-2019_federicofazio
1939,80,416,1274,266,33,1939,19,13,68.4,6,988,4014,1838,21,27,0,15,12,1369,21,2018-2019_stevennzonzi
1089,37,67,462,572,193,1089,69,34,49.3,35,586,3908,1478,64,33,34,76,49,859,246,2018-2019_edindzeko
927,842,926,1,0,0,927,0,0,,0,440,2423,1725,0,0,0,1,0,370,0,2018-2019_robinolsen
1305,182,656,627,30,18,1305,3,3,100,0,623,3358,1841,8,6,0,8,1,727,2,2018-2019_kostasmanolas
1630,61,305,937,408,41,1630,45,31,68.9,14,822,4774,2309,39,46,2,28,34,1120,47,2018-2019_bryancristante
1717,78,459,790,487,38,1717,24,8,33.3,16,860,4701,2854,66,46,8,16,9,1004,101,2018-2019_alessandroflorenzi
1140,15,152,435,569,113,1140,83,44,53,38,733,5200,2686,104,59,37,53,22,897,185,2018-2019_stephanelshaarawy
1213,28,160,553,507,53,1213,42,26,61.9,16,630,3543,1434,41,34,7,49,32,836,127,2018-2019_lorenzopellegrini
866,10,104,403,379,74,866,76,41,53.9,35,568,3586,1443,48,38,23,70,68,640,130,2018-2019_nicolozaniolo
731,6,69,275,400,59,731,43,21,48.8,22,515,3592,1622,53,43,17,38,22,581,164,2018-2019_cengizunder
973,72,470,484,23,1,973,3,3,100,0,470,1858,756,3,4,0,2,3,644,1,2018-2019_juanjesus
452,20,48,184,224,79,452,16,9,56.3,7,238,1164,383,13,5,10,52,21,333,90,2018-2019_patrikschick
1039,52,255,664,127,9,1039,3,2,66.7,1,526,2499,1414,16,19,0,4,1,766,9,2018-2019_danielederossi
650,8,73,220,369,59,650,54,24,44.4,29,424,3325,1748,68,41,22,44,23,467,168,2018-2019_justinkluivert
812,38,203,428,192,5,812,22,14,63.6,8,466,2802,1613,51,34,3,13,3,504,45,2018-2019_davidesanton
344,287,344,0,0,0,344,1,1,100,0,146,941,759,0,0,0,0,0,117,0,2018-2019_antoniomirante
650,72,259,345,50,10,650,6,3,50,3,290,1371,665,6,5,2,1,2,403,6,2018-2019_ivanmarcano
459,7,35,226,203,31,459,18,14,77.8,4,298,1913,1146,35,31,3,13,6,364,44,2018-2019_javierpastore
460,20,118,245,105,2,460,9,7,77.8,2,228,1397,842,20,19,1,5,6,267,28,2018-2019_rickkarsdorp
419,7,57,154,212,35,416,28,18,64.3,10,271,2358,1197,52,30,10,12,9,319,56,2018-2019_diegoperotti
140,3,27,80,37,3,140,2,1,50,1,68,372,259,5,2,1,2,1,86,9,2018-2019_lucapellegrini
50,4,8,26,16,2,50,1,0,0,1,26,87,28,0,0,0,3,0,29,2,2018-2019_kevinstrootman
15,0,0,7,8,0,15,0,0,,0,10,63,37,1,1,0,0,0,11,1,2018-2019_antecoric
2,0,0,2,0,0,2,1,1,100,0,1,5,0,0,0,0,0,0,2,0,2018-2019_zancelar
1280,27,90,506,705,194,1274,82,34,41.5,48,753,4375,2168,82,76,34,113,76,995,267,2018-2019_andreabelotti
2333,194,861,1280,208,39,2333,14,9,64.3,5,1174,7047,4544,55,29,4,14,11,1270,26,2018-2019_armandoizzo
1778,216,1007,760,23,14,1778,9,6,66.7,3,926,3908,1272,1,0,0,6,10,966,2,2018-2019_nicolasnkoulou
1216,1009,1209,7,0,0,1216,2,2,100,0,546,3237,2353,0,0,0,0,0,428,0,2018-2019_salvatoresirigu
1755,65,339,1074,375,18,1755,44,26,59.1,18,862,4857,2547,55,44,6,36,33,980,41,2018-2019_tomasrincon
1511,43,226,940,375,44,1511,71,52,73.2,19,816,4774,2206,57,53,8,66,47,965,64,2018-2019_soualihomeite
1507,75,284,727,510,67,1507,15,5,33.3,10,599,3217,1585,59,37,3,38,20,829,139,2018-2019_lorenzodesilvestri
1551,40,260,829,479,40,1551,31,22,71,9,770,4418,2181,50,41,2,51,33,950,73,2018-2019_danielebaselli
