Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
26,22,26,0,0,0,26,0,0,,0,12,86,67,0,0,0,0,0,8,0,2017-2018_sergioromero
0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2017-2018_axeltuanzebe
2863,19,189,1472,1225,93,2863,53,29,54.7,24,1604,8387,3836,83,103,11,75,72,2081,237,2017-2018_christianeriksen
1250,1102,1248,2,0,0,1250,1,1,100,0,608,2867,1674,0,0,0,0,0,602,0,2017-2018_hugolloris
2926,192,1158,1616,177,26,2926,38,30,78.9,8,1487,8706,5616,68,34,3,18,6,1906,29,2017-2018_janvertonghen
1108,24,37,406,677,214,1105,96,47,49,48,725,4128,1401,58,30,26,64,60,894,261,2017-2018_harrykane
1726,33,179,702,874,147,1726,105,44,41.9,61,1097,6773,2868,100,78,28,98,89,1334,359,2017-2018_delealli
2577,133,731,1583,277,36,2577,15,13,86.7,2,1316,6079,3263,35,27,0,11,17,1875,29,2017-2018_ericdier
2172,146,1117,1032,40,12,2172,9,9,100,0,1070,4343,2237,8,8,0,8,3,1464,2,2017-2018_davinsonsanchez
1264,13,70,420,791,156,1264,101,58,57.4,43,831,5794,2729,111,46,68,65,57,1067,339,2017-2018_sonheung-min
1976,72,402,928,655,37,1976,21,15,71.4,6,859,4422,2674,73,52,8,26,16,1176,178,2017-2018_bendavies
1823,66,413,788,639,25,1823,18,13,72.2,5,725,3280,1776,37,24,2,20,6,1079,195,2017-2018_kierantrippier
1600,26,207,1156,265,3,1600,81,68,84,13,1011,6562,3863,66,59,1,25,34,1187,26,2017-2018_mousadembele
1249,39,300,533,425,36,1249,22,15,68.2,7,531,2527,1251,32,29,5,16,16,694,152,2017-2018_sergeaurier
1037,22,138,576,341,48,1037,32,18,56.3,13,586,3657,1970,50,40,6,19,17,774,102,2017-2018_moussasissoko
1049,65,413,564,78,11,1049,7,6,85.7,1,611,3145,2152,12,12,0,4,0,761,5,2017-2018_tobyalderweireld
645,20,137,261,251,23,645,29,11,37.9,18,269,1787,1033,36,20,5,14,8,369,77,2017-2018_dannyrose
731,20,109,506,128,2,731,10,8,80,2,405,1927,849,14,16,2,17,9,569,17,2017-2018_harrywinks
745,22,144,489,123,12,745,24,18,75,6,418,2387,1303,23,17,0,13,13,508,14,2017-2018_victorwanyama
598,4,43,270,297,42,598,36,23,63.9,13,345,2395,1010,30,31,10,24,19,464,116,2017-2018_eriklamela
146,2,14,58,76,7,146,12,6,50,6,113,848,432,15,11,3,6,10,127,37,2017-2018_lucasmoura
157,7,43,62,55,4,157,8,4,50,4,84,433,207,8,5,1,3,5,99,21,2017-2018_kylewalker-peters
123,5,9,42,72,15,123,1,0,0,1,51,222,49,3,0,1,8,3,97,32,2017-2018_fernandollorente
28,23,28,0,0,0,28,0,0,,0,9,25,17,0,0,0,0,0,11,0,2017-2018_paulogazzaniga
27,24,27,0,0,0,27,0,0,,0,12,63,49,0,0,0,0,0,9,0,2017-2018_michelvorm
0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2017-2018_vincentjanssen
1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,2017-2018_georges-kevinnkoudou
1438,3,70,418,970,243,1436,126,79,62.7,46,944,6003,2729,95,52,55,105,95,1116,393,2017-2018_mohamedsalah
