GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2018-2019_johnruddy
0,,0,0,,0,0,0,1,,0,0,0,,,2018-2019_willnorris
46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,60,,2018-2019_jordanpickford
48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,,2018-2019_kasperschmeichel
55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,20,,2018-2019_ukaszfabianski
59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,20,,2018-2019_benfoster
23,1.18,85,63,74.1,10,4,6,7,35,1,1,0,0,,2018-2019_vicenteguaita
26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,25,,2018-2019_waynehennessey
4,4,9,5,55.6,0,0,1,0,0,0,0,0,,,2018-2019_juliansperoni
48,1.26,140,93,70,12,9,17,11,28.9,6,6,0,0,,2018-2019_martindubravka
47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,,2018-2019_asmirbegovic
18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,,2018-2019_arturboruc
5,2.5,13,9,61.5,1,0,1,1,50,0,0,0,,,2018-2019_marktravers
41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,50,,2018-2019_joehart
27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,,2018-2019_tomheaton
44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,,2018-2019_alexmccarthy
18,1.5,50,31,64,4,4,4,3,25,1,0,1,100,,2018-2019_angusgunn
3,3,6,3,50,0,0,1,0,0,0,0,0,,,2018-2019_fraserforster
55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,,2018-2019_mathewryan
5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,,2018-2019_davidbutton
69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,42.9,,2018-2019_neiletheridge
56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,,2018-2019_sergiorico
20,2.86,40,19,52.5,1,2,4,0,0,3,1,1,50,,2018-2019_marcusbettinelli
5,2.5,21,16,76.2,0,0,2,0,0,0,0,0,,,2018-2019_fabricio
54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,20,,2018-2019_jonaslossl
21,3.42,42,22,57.1,0,1,6,0,0,3,3,0,0,,2018-2019_benhamer
1,1,3,2,66.7,0,1,0,0,0,0,0,0,,,2018-2019_joelcoleman
23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,,2018-2019_manuelneuer
9,1.07,23,14,69.6,4,3,1,2,25,3,2,0,0,,2018-2019_svenulreich
40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,,2018-2019_romanburki
4,2,6,2,33.3,2,0,0,0,0,1,0,0,,,2018-2019_marwinhitz
27,0.83,117,91,80.3,19,9,5,15,45.5,5,4,0,0,,2018-2019_petergulacsi
2,1.33,4,2,75,0,0,1,1,100,1,1,0,0,,2018-2019_yvonmvogo
47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,25,,2018-2019_lukashradecky
5,2.5,12,7,66.7,0,0,2,0,0,2,1,1,50,,2018-2019_ramazanozcan
42,1.24,156,114,75,16,7,11,13,38.2,3,3,0,0,,2018-2019_yannsommer
39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,20,,2018-2019_koencasteels
11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,,,2018-2019_pavaopervan
48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,,2018-2019_kevintrapp
0,0,7,7,100,1,0,0,1,100,0,0,0,,,2018-2019_frederikrnnow
47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,0,,2018-2019_jiripavlenka
1,2,3,2,66.7,0,0,0,0,,0,0,0,,,2018-2019_stefanoskapino
1,2.43,1,0,100,0,0,0,0,,1,1,0,0,,2018-2019_lucaplogmann
51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,,2018-2019_oliverbaumann
1,1,7,6,100,1,0,0,0,0,1,1,0,0,,2018-2019_gregorkobel
62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,,2018-2019_michaelrensing
3,1.5,9,6,66.7,1,0,1,0,0,0,0,0,,,2018-2019_jaroslavdrobny
48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,33.3,,2018-2019_runejarstein
9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,,2018-2019_thomaskraft
43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,0,,2018-2019_florianmuller
14,1.4,49,35,71.4,4,4,2,2,20,0,0,0,,,2018-2019_robinzentner
60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,,2018-2019_alexanderschwolow
1,1,5,4,80,1,0,0,0,0,0,0,0,,,2018-2019_markflekken
29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,25,,2018-2019_alexandernubel
26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,,2018-2019_ralffahrmann
42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,50,,2018-2019_gregorkobel
22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,,,2018-2019_andreasluthe
7,1.75,19,12,63.2,1,1,2,0,0,0,0,0,,,2018-2019_fabiangiefer
70,2.06,179,113,62,7,7,20,6,17.6,3,2,0,0,,2018-2019_ron-robertzieler
66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,16.7,,2018-2019_michaelesser
2,2,6,4,66.7,0,0,1,0,0,0,0,0,,,2018-2019_samuelsahin-radlinger
3,3,6,3,66.7,0,0,1,0,0,1,1,0,0,,2018-2019_philipptschauner
40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,,2018-2019_christianmathenia
28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,100,,2018-2019_fabianbredlow
32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,,2018-2019_marc-andreterstegen
4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,,2018-2019_jaspercillessen
27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,,2018-2019_janoblak
2,2,7,5,71.4,0,1,0,0,0,0,0,0,,,2018-2019_antonioadan
36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,14.3,,2018-2019_thibautcourtois
8,0.8,31,23,74.2,6,2,2,4,40,0,0,0,,,2018-2019_keylornavas
2,2,3,1,33.3,1,0,0,0,0,0,0,0,,,2018-2019_lucazidane
34,1,139,106,80.6,13,14,7,10,29.4,8,7,1,12.5,,2018-2019_neto
1,0.25,13,12,92.3,2,2,0,3,75,0,0,0,,,2018-2019_jaumedomenech
34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,20,,2018-2019_davidsoria
1,1,1,0,0,1,0,0,0,0,0,0,0,,,2018-2019_leandrochichizola
44,1.33,143,98,72,13,8,12,8,24.2,5,4,1,20,,2018-2019_tomasvaclik
2,0.5,11,9,90.9,4,0,0,2,50,1,1,0,0,,2018-2019_juansoriano
1,1,2,1,100,0,0,1,0,0,1,1,0,0,,2018-2019_javierdiaz
50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,25,,2018-2019_diegolopez
32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,,2018-2019_iagoherrerin
13,1.86,33,20,66.7,1,4,2,0,0,2,2,0,0,,2018-2019_unaisimon
35,1.3,109,75,69.7,10,9,8,7,25.9,3,2,1,33.3,,2018-2019_geronimorulli
11,1,33,22,66.7,3,2,6,2,18.2,0,0,0,,,2018-2019_miguelangelmoya
47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,25,,2018-2019_paulopez
5,1,21,16,81,2,1,2,1,20,1,1,0,0,,2018-2019_joelrobles
46,1.31,154,110,74,11,11,13,8,22.9,6,6,0,0,,2018-2019_fernandopacheco
4,1.33,13,9,69.2,2,0,1,0,0,0,0,0,,,2018-2019_antoniosivera
30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,25,,2018-2019_markodmitrovic
20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,,,2018-2019_asierriesgo
38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,,2018-2019_ivancuellar
5,1.24,19,13,78.9,1,0,3,2,50,2,1,1,50,,2018-2019_andriylunin
45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,33.3,,2018-2019_sergioasenjo
7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,,2018-2019_andresfernandez
40,1.9,135,95,73.3,7,5,9,5,23.8,5,4,1,20,,2018-2019_oierolazabal
24,1.5,83,60,75.9,4,5,7,2,12.5,4,4,0,0,,2018-2019_aitorfernandez
2,2,8,6,75,0,1,0,0,0,0,0,0,,,2018-2019_kokevegas
45,1.29,143,96,72,10,9,16,9,25.7,8,5,3,37.5,,2018-2019_jordimasip
6,2,12,6,58.3,0,2,1,0,0,1,1,0,0,,2018-2019_yoel
40,1.6,109,69,67,7,6,12,6,24,5,4,0,0,,2018-2019_rubenblanco
22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,,2018-2019_sergioalvarez
43,1.35,166,124,77.7,8,10,14,8,25,6,6,0,0,,2018-2019_yassinebounou
10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,,2018-2019_gorkairaizoz
30,1.5,96,67,75,5,7,8,6,30,6,6,0,0,,2018-2019_robertosantamaria
19,1.58,46,28,63,1,4,7,0,0,2,2,0,0,,2018-2019_aleksandarjovanovic
16,2.67,32,17,53.1,1,1,4,0,0,1,1,0,0,,2018-2019_axelwerner
35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,14.3,,2018-2019_stoledimitrievski
35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,75,,2018-2019_albertogarcia
17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,,2018-2019_alphonseareola
18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,50,,2018-2019_gianluigibuffon
33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,25,,2018-2019_mikemaignan
42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,,2018-2019_anthonylopes
5,1.25,15,10,66.7,3,0,1,1,25,0,0,0,,,2018-2019_mathieugorgelin
40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,12.5,,2018-2019_stephaneruffier
1,1,5,5,80,0,1,0,0,0,0,0,0,,,2018-2019_jessymoulin
40,1.32,113,72,69.9,14,5,12,9,29,7,6,1,14.3,,2018-2019_stevemandanda
12,1.59,25,12,68,4,2,1,3,42.9,5,4,1,20,,2018-2019_yohannpele
42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,25,,2018-2019_benjaminlecomte
0,0,1,1,100,0,1,0,1,100,0,0,0,,,2018-2019_dimitrybertaud
29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,60,,2018-2019_walterbenitez
6,2,12,6,58.3,0,1,2,0,0,1,1,0,0,,2018-2019_yoancardinale
42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,,2018-2019_edouardmendy
58,1.53,180,122,70,15,8,15,10,26.3,5,4,1,20,,2018-2019_paulbernardoni
48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,25,,2018-2019_tomaskoubek
4,0.73,20,16,85,3,2,1,2,33.3,1,1,0,0,,2018-2019_abdoulayediallo
48,1.3,148,99,72.3,10,16,11,8,21.6,9,7,2,22.2,,2018-2019_matzsels
0,0,1,1,100,1,0,0,1,100,0,0,0,,,2018-2019_eijikawashima
30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,75,,2018-2019_cipriantatarusanu
17,1.63,34,16,55.9,5,3,2,1,10,3,2,1,33.3,,2018-2019_maximedupe
1,1,1,0,100,0,0,1,0,0,1,1,0,0,,2018-2019_alexandreolliero
48,1.33,161,113,72,9,15,12,11,30.6,5,3,2,40,,2018-2019_ludovicbutelle
1,0.5,4,3,75,1,1,0,1,50,0,0,0,,,2018-2019_zacharieboucher
42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,14.3,,2018-2019_benoitcostil
0,0,1,1,100,1,0,0,1,100,0,0,0,,,2018-2019_gaetanpoussin
52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,25,,2018-2019_regisgurtner
45,1.5,143,98,71.3,6,11,14,6,19.4,5,4,1,20,,2018-2019_baptistereynet
12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,,2018-2019_maurogoicoechea
38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,40,,2018-2019_diegobenaglio
12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,33.3,,2018-2019_danijelsubasic
7,2.8,12,6,41.7,0,1,1,0,0,0,0,0,,,2018-2019_seydousy
43,1.72,99,56,58.6,7,5,13,5,20,2,2,0,0,,2018-2019_runaralexrunarsson
17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,,2018-2019_bobbyallain
54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,25,,2018-2019_bricesamba
34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,50,,2018-2019_marc-aurelecaillard
34,2,78,43,59,1,5,11,4,23.5,4,2,1,33.3,,2018-2019_karl-johanjohnsson
20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,50,,2018-2019_wojciechszczesny
8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,,2018-2019_mattiaperin
2,2,3,1,33.3,0,0,1,0,0,0,0,0,,,2018-2019_carlopinsoglio
20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,,2018-2019_davidospina
9,0.7,48,39,85.4,9,1,3,5,38.5,2,2,0,0,,2018-2019_alexmeret
7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,,2018-2019_orestiskarnezis
21,1.05,70,49,74.3,11,6,3,4,20,3,3,0,0,,2018-2019_pierluigigollini
25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,0,,2018-2019_etritberisha
0,,0,0,,0,0,0,0,,0,0,0,,,2018-2019_francescorossi
33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,0,,2018-2019_samirhandanovic
31,0.9,126,95,77.8,18,11,7,11,30.6,4,3,1,25,,2018-2019_gianluigidonnarumma
5,1.37,14,9,71.4,1,0,1,1,50,1,1,0,0,,2018-2019_pepereina
42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,0,,2018-2019_robinolsen
6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,100,,2018-2019_antoniomirante
35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,50,,2018-2019_salvatoresirigu
2,0.72,9,7,88.9,1,1,0,1,50,1,1,0,0,,2018-2019_salvadorichazo
39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,16.7,,2018-2019_thomasstrakosha
4,2,13,9,69.2,1,0,1,0,0,0,0,0,,,2018-2019_silvioproto
3,3,4,1,25,0,1,0,0,0,0,0,0,,,2018-2019_guidoguerrieri
51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,12.5,,2018-2019_emilaudero
0,0,2,2,100,1,1,0,2,100,0,0,0,,,2018-2019_rafaelcabral
56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,,2018-2019_ukaszskorupski
56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,42.9,,2018-2019_andreaconsigli
4,1.78,12,8,66.7,0,1,1,0,0,0,0,0,,,2018-2019_gianlucapegolo
40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,,2018-2019_juanmusso
13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,,2018-2019_simonescuffet
27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,,2018-2019_alfredgomis
25,1.48,84,59,75,7,3,7,3,17.6,4,4,0,0,,2018-2019_emilianoviviano
4,2.2,16,12,75,1,0,1,0,0,0,0,0,,,2018-2019_vanjamilinkovic-savic
0,0,0,0,,0,0,0,1,,0,0,0,,,2018-2019_giacomopoluzzi
59,1.59,197,142,74.1,10,11,16,10,27,8,8,0,0,,2018-2019_luigisepe
2,2,8,7,75,0,0,1,0,0,0,0,0,,,2018-2019_pierluigifrattali
54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,20,,2018-2019_alessiocragno
40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,16.7,,2018-2019_albanlafont
2,0.8,8,6,75,0,1,1,1,50,0,0,0,,,2018-2019_bartomiejdragowski
3,1.5,11,8,72.7,0,1,1,0,0,0,0,0,,,2018-2019_pietroterracciano
46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,16.7,,2018-2019_ionutradu
10,2.5,18,9,44.4,2,0,2,1,25,0,0,0,,,2018-2019_federicomarchetti
1,1,3,2,66.7,0,0,1,0,0,0,0,0,,,2018-2019_jandrei
36,2.25,104,69,68.3,4,4,8,0,0,4,3,0,0,,2018-2019_ivanprovedel
24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,25,,2018-2019_bartomiejdragowski
10,1.25,35,26,71.4,1,2,5,2,25,0,0,0,,,2018-2019_pietroterracciano
64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,,2018-2019_marcosportiello
5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,,,2018-2019_francescobardi
60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,50,,2018-2019_stefanosorrentino
8,1.33,32,24,75,1,3,2,2,33.3,0,0,0,,,2018-2019_adriansemper
7,7,12,5,41.7,0,0,1,0,0,0,0,0,,,2018-2019_andreaseculin
27,0.83,104,77,75,28,1,4,15,45.5,2,1,1,50,,2018-2019_andreonana
5,3.24,13,9,61.5,0,1,0,0,0,0,0,0,,,2018-2019_kostaslamprou
26,0.76,84,58,71.4,26,5,3,16,47.1,3,2,1,33.3,,2018-2019_jeroenzoet
20,1.19,76,57,73.7,10,2,5,4,23.5,0,0,0,,,2018-2019_kennethvermeer
20,1.28,67,48,73.1,10,2,4,5,31.3,2,2,0,0,,2018-2019_justinbijlow
1,0.65,9,8,88.9,0,1,0,1,100,0,0,0,,,2018-2019_jorisdelle
43,1.26,148,108,72.3,17,7,10,14,41.2,3,2,1,33.3,,2018-2019_marcobizot
39,1.44,116,78,68.1,11,8,8,4,14.8,2,2,0,0,,2018-2019_eduardocarvalho
12,1.71,30,18,73.3,3,3,1,1,14.3,4,4,0,0,,2018-2019_remkopasveer
51,1.55,146,95,68.5,14,8,11,8,24.2,5,5,0,0,,2018-2019_davidjensen
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2018-2019_maartenpaes
63,1.94,197,135,73.6,15,3,15,6,18.2,12,11,1,8.3,,2018-2019_janisblaswich
5,3.33,10,6,60,0,0,1,0,0,2,1,0,0,,2018-2019_michaelbrouwer
41,1.21,136,95,71.3,13,6,15,12,35.3,2,2,0,0,,2018-2019_sergiopadt
36,1.65,127,92,72.4,9,5,8,7,31.8,1,1,0,0,,2018-2019_robertzwinkels
25,2.08,55,30,63.6,3,4,5,1,8.3,5,5,0,0,,2018-2019_indygroothuizen
2,25.71,2,0,50,0,0,0,0,,1,1,0,0,,2018-2019_mikehavekotte
63,2.17,157,96,64.3,11,4,14,6,20.7,8,7,0,0,,2018-2019_timonwellenreuther
9,2.25,19,10,52.6,1,1,2,0,0,0,0,0,,,2018-2019_michaelwoud
0,0,2,2,100,1,0,0,1,100,0,0,0,,,2018-2019_mattijsbranderhorst
73,2.15,196,124,65.3,10,11,13,2,5.9,6,5,1,16.7,,2018-2019_warnerhahn
60,1.86,185,127,71.9,10,8,15,5,15.2,8,8,0,0,,2018-2019_larsunnerstall
3,1.69,6,3,50,1,0,0,1,100,0,0,0,,,2018-2019_delanovancrooy
44,1.58,119,74,66.4,10,5,13,10,35.7,6,4,2,33.3,,2018-2019_mickeyvanderhart
13,2.14,26,14,50,1,1,4,1,16.7,0,0,0,,,2018-2019_diederikboer
72,2.13,192,123,64.1,10,8,16,3,8.8,5,3,0,0,,2018-2019_kjellscherpen
0,0,1,1,100,0,0,0,1,,0,0,0,,,2018-2019_dennistelgenkamp
80,2.35,204,124,64.7,9,7,18,5,14.7,10,8,2,20,,2018-2019_alexeikoselev
48,2.27,149,101,68.5,5,2,13,3,15,2,1,1,50,,2018-2019_alessandrodamen
31,2.42,77,47,62.3,4,4,6,2,14.3,3,2,1,33.3,,2018-2019_sonnystevens
42,2,131,89,68.7,6,3,13,3,13.6,2,1,1,50,,2018-2019_hiddejurjus
23,2.18,69,47,71,2,1,7,2,20,3,3,0,0,,2018-2019_nigelbertrams
10,4,25,15,60,0,1,1,1,50,0,0,0,,,2018-2019_agiletemadi
67,2.16,169,106,63.3,4,8,19,3,9.7,6,5,0,0,,2018-2019_benjaminvanleer
5,5,12,7,58.3,0,0,1,0,0,0,0,0,,,2018-2019_markbirighitti
0,0,2,2,100,1,0,0,1,100,0,0,0,,,2018-2019_arijanetmuric
2,2,3,1,33.3,0,0,1,0,0,0,0,0,,,2018-2019_karolniemczycki
30,0.88,117,89,77.8,28,3,3,15,44.1,5,4,1,20,,2018-2019_odisseasvlachodimos
1,45,1,0,100,0,0,0,0,,1,1,0,0,,2018-2019_milesvilar
19,0.61,68,50,76.5,24,4,3,18,58.1,3,3,0,0,,2018-2019_ikercasillas
1,0.33,5,4,80,3,0,0,2,66.7,0,0,0,,,2018-2019_vana
26,1.02,87,61,71.3,18,4,4,7,26.9,1,1,0,0,,2018-2019_renanribeiro
7,0.83,32,25,81.3,5,1,2,3,37.5,1,1,0,0,,2018-2019_romainsalin
31,1,102,70,74.5,19,3,9,16,51.6,6,5,1,16.7,,2018-2019_tiagosa
6,2,21,15,76.2,2,1,0,0,0,1,1,0,0,,2018-2019_matheus
21,0.91,95,73,80,10,6,7,8,34.8,3,2,1,33.3,,2018-2019_douglas
13,1.18,55,42,78.2,5,1,5,2,18.2,1,1,0,0,,2018-2019_joaomiguelmacedosilva
30,1.21,94,64,72.3,13,3,9,6,24,6,4,0,0,,2018-2019_jhonatan
9,1.38,27,17,66.7,3,1,3,3,42.9,1,0,1,100,,2018-2019_pedrotrigueira
5,1.91,11,6,54.5,0,0,2,0,0,0,0,0,,,2018-2019_nunomacedo
51,1.55,144,103,71.5,11,9,13,5,15.2,10,10,0,0,,2018-2019_leonardocesarjardim
1,1,4,3,75,1,0,0,0,0,0,0,0,,,2018-2019_paulovitorfagundesdosanjos
26,1.24,99,73,75.8,6,4,11,9,42.9,3,2,0,0,,2018-2019_heltonleite
14,1.17,55,43,81.8,6,1,5,4,33.3,4,4,0,0,,2018-2019_rafaelbracalli
0,0,5,5,100,1,0,0,1,100,0,0,0,,,2018-2019_assisgiovanaz
39,1.25,128,90,74.2,9,13,10,12,37.5,7,6,1,14.3,,2018-2019_murielbecker
5,2.5,13,8,69.2,1,0,1,1,50,1,1,0,0,,2018-2019_mika
7,9.55,10,3,40,0,0,0,0,,1,1,0,0,,2018-2019_guilhermemataoliveira
30,1.23,110,80,78.2,9,6,10,7,28,6,6,0,0,,2018-2019_marcoandrerochapereira
10,1.51,28,18,67.9,1,1,4,1,16.7,1,1,0,0,,2018-2019_serginho
5,1.67,15,10,80,1,2,0,1,33.3,2,2,0,0,,2018-2019_joaolopes
28,1.33,100,73,77,9,1,11,7,33.3,6,5,0,0,,2018-2019_charles
16,1.23,55,38,78.2,3,2,8,3,23.1,5,4,1,20,,2018-2019_amirabedzadeh
45,1.73,128,84,66.4,7,5,14,4,15.4,2,2,0,0,,2018-2019_ricardoabelbarbosaferreira
12,1.71,23,12,56.5,4,1,2,1,14.3,2,2,0,0,,2018-2019_leonardonavacchio
2,2,7,5,85.7,0,0,1,0,0,1,1,0,0,,2018-2019_shuichigonda
15,1.07,56,41,75,2,5,7,5,35.7,1,1,0,0,,2018-2019_cristianopereirafigueiredo
12,1.09,41,29,73.2,3,5,3,4,36.4,2,1,1,50,,2018-2019_giorgimakaridze
12,1.33,38,26,71.1,3,2,4,2,22.2,1,1,0,0,,2018-2019_joelcastropereira
30,1.15,109,80,73.4,8,5,13,9,34.6,1,1,0,0,,2018-2019_quentinbeunardeau
19,2.42,42,24,59.5,2,1,5,0,0,2,2,0,0,,2018-2019_andreferreira
0,0,1,1,100,0,0,0,0,,0,0,0,,,2018-2019_fabioszymonek
54,1.59,151,96,67.5,9,8,17,4,11.8,7,5,1,16.7,,2018-2019_claudioramos
27,1.43,74,49,67.6,6,7,6,7,36.8,3,3,0,0,,2018-2019_antoniofilipedecarvalho
30,1.98,77,46,63.6,2,1,12,1,6.7,2,2,0,0,,2018-2019_ricardojorgenovonunes
58,2.16,134,76,64.2,7,6,15,7,25,12,10,1,9.1,,2018-2019_danielguimaraes
12,1.97,24,12,50,0,1,4,1,20,0,0,0,,,2018-2019_lucasfranca
3,3,5,2,40,0,0,1,0,0,0,0,0,,,2018-2019_ohouloframelin
43,1.79,116,74,65.5,3,8,13,4,16.7,3,3,0,0,,2018-2019_caiosecco
14,2.8,29,16,51.7,0,0,5,0,0,0,0,0,,,2018-2019_andremoreira
7,1.73,19,12,73.7,0,2,2,1,25,2,2,0,0,,2018-2019_brunobrigido
0,0,2,2,100,0,1,0,1,100,0,0,0,,,2018-2019_delealampasu
23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,,2019-2020_alisson
10,1.03,27,17,63,9,0,0,2,22.2,0,0,0,,,2019-2020_adrian
28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,,2019-2020_ederson
7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,,,2019-2020_claudiobravo
36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,,2019-2020_daviddegea
47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,,2019-2020_kepaarrizabalaga
7,1.4,16,10,56.3,2,2,1,1,20,0,0,0,,,2019-2020_willycaballero
41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,20,,2019-2020_kasperschmeichel
21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,33.3,,2019-2020_hugolloris
26,1.45,82,56,72,5,5,7,2,11.8,4,3,1,25,,2019-2020_paulogazzaniga
40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,66.7,,2019-2020_ruipatricio
39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,14.3,,2019-2020_berndleno
9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,,2019-2020_emilianomartinez
33,0.92,128,94,75,14,11,11,13,36.1,3,1,1,50,,2019-2020_deanhenderson
6,3,11,5,45.5,0,1,1,0,0,0,0,0,,,2019-2020_simonmoore
50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,20,,2019-2020_nickpope
35,1.25,113,78,69.9,13,5,10,7,25,2,1,1,50,,2019-2020_alexmccarthy
25,2.5,55,30,58.2,2,2,6,2,20,2,2,0,0,,2019-2020_angusgunn
56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,0,,2019-2020_jordanpickford
58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,,2019-2020_martindubravka
42,1.2,149,109,71.8,11,9,15,10,28.6,1,0,0,,,2019-2020_vicenteguaita
8,2.67,23,15,65.2,0,1,2,0,0,0,0,0,,,2019-2020_waynehennessey
54,1.42,168,116,69,9,14,15,9,23.7,2,2,0,0,,2019-2020_mathewryan
34,1.45,104,71,70.2,8,7,10,5,20,4,3,1,25,,2019-2020_ukaszfabianski
17,2.23,51,35,68.6,0,1,6,0,0,1,1,0,0,,2019-2020_roberto
