GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
38,1.58,95,58,63.2,4,6,14,6,25,4,3,0,0,,2017-2018_christianmathenia
15,1.5,47,32,68.1,4,1,5,1,10,0,0,0,,,2017-2018_julianpollersbeck
70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,11.1,,2017-2018_timohorn
28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,,2017-2018_marc-andreterstegen
1,1,7,6,85.7,1,0,0,0,0,0,0,0,,,2017-2018_jaspercillessen
22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,75,,2017-2018_janoblak
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2017-2018_axelwerner
31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,50,,2017-2018_keylornavas
11,1.1,29,19,62.1,6,2,2,3,30,0,0,0,,,2017-2018_kikocasilla
2,2,4,2,50,0,1,0,0,0,0,0,0,,,2017-2018_lucazidane
33,1,143,108,79,18,7,8,10,30.3,5,3,2,40,,2017-2018_neto
5,1,21,16,76.2,4,0,1,2,40,0,0,0,,,2017-2018_jaumedomenech
30,1.3,93,60,71,12,3,8,6,26.1,6,3,3,50,,2017-2018_sergioasenjo
14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,,2017-2018_marianobarbosa
6,2.4,16,10,68.8,0,1,2,0,0,1,1,0,0,,2017-2018_andresfernandez
53,1.77,132,82,62.1,14,4,12,9,30,4,3,1,25,,2017-2018_antonioadan
8,1.75,16,8,50,1,1,2,1,25,0,0,0,,,2017-2018_pedrolopez
0,0,8,8,100,3,1,0,3,75,0,0,0,,,2017-2018_danigimenez
39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,25,,2017-2018_sergiorico
19,1.35,58,40,70.7,7,4,4,5,33.3,3,2,0,0,,2017-2018_davidsoria
26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,50,,2017-2018_vicenteguaita
7,1.4,19,12,68.4,2,1,2,2,40,1,1,0,0,,2017-2018_emilianomartinez
49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,,2017-2018_markodmitrovic
1,1,5,4,80,1,0,0,0,0,0,0,0,,,2017-2018_asierriesgo
0,0,5,5,100,0,1,0,1,100,0,0,0,,,2017-2018_yoel
46,1.56,139,94,69.8,13,6,11,9,30,5,4,0,0,,2017-2018_yassinebounou
13,1.53,36,25,63.9,1,3,4,2,25,0,0,0,,,2017-2018_gorkairaizoz
31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,25,,2017-2018_paulopez
11,1.16,40,30,75,3,5,2,3,30,2,1,1,50,,2017-2018_diegolopez
45,1.73,105,61,61,10,5,11,6,23.1,5,4,1,20,,2017-2018_geronimorulli
8,0.94,33,24,81.8,3,2,4,2,22.2,3,2,1,33.3,,2017-2018_miguelangelmoya
6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,,,2017-2018_tonoramirez
31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,0,,2017-2018_rubenblanco
29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,,2017-2018_sergioalvarez
,,,,,,,,,,,,,,,2017-2018_braismendez
50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,22.2,,2017-2018_fernandopacheco
,,1,1,,,,1,,,,,,,,2017-2018_antoniosivera
39,1.5,122,85,72.1,9,7,10,7,26.9,6,5,0,0,,2017-2018_oierolazabal
15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,,,2017-2018_raulfernandez
4,4,8,4,50,0,0,1,0,0,0,0,0,,,2017-2018_kokevegas
43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,66.7,,2017-2018_kepaarrizabalaga
6,0.75,30,23,86.7,3,4,1,4,50,3,2,1,33.3,,2017-2018_iagoherrerin
43,1.23,139,95,72.7,11,7,17,14,40,6,5,1,16.7,,2017-2018_ivancuellar
6,3,9,3,44.4,0,0,2,0,0,1,1,0,0,,2017-2018_nereochampagne
2,2,8,6,75,1,0,0,0,0,0,0,0,,,2017-2018_jonanderserantes
58,2.11,134,77,58.2,3,9,15,4,14.8,3,2,1,33.3,,2017-2018_ruben
9,1.5,26,18,69.2,3,0,3,1,16.7,1,1,0,0,,2017-2018_costelpantilimon
2,1,9,7,88.9,0,1,1,1,50,1,1,0,0,,2017-2018_francisuzoho
3,2.23,5,2,40,,1,1,,,,,,,,2017-2018_maksymkoval
4,3.71,5,1,20,0,0,1,0,0,0,0,0,,,2017-2018_przemysawtyton
47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,,2017-2018_leandrochichizola
27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,,2017-2018_raullizoain
51,1.5,150,98,68.7,5,5,24,6,17.6,5,4,1,20,,2017-2018_roberto
10,2.5,20,10,60,0,0,4,0,0,2,2,0,0,,2017-2018_andresprieto
25,0.74,102,77,76.5,26,6,2,17,50,3,1,1,50,,2017-2018_alphonseareola
4,1,17,13,88.2,3,0,1,1,25,2,2,0,0,,2017-2018_kevintrapp
41,1.26,125,85,70.4,21,8,5,10,29.4,4,4,0,0,,2017-2018_danijelsubasic
