Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
1546,1516,28,19,0,2,0,9,0,1399,2,16,2017-2018_danielamartey
202,196,5,0,2,0,7,3,1,159,1,9,2017-2018_amath
319,272,46,4,0,2,6,42,0,269,1,5,2017-2018_jordanamavi
86,69,17,2,0,2,2,15,0,74,0,1,2017-2018_jordanamavi
29,25,4,4,0,0,0,0,0,20,0,0,2017-2018_wisdomamey
1133,862,267,18,1,1,24,249,0,887,4,35,2017-2018_kelvinamian
299,255,41,13,2,0,20,2,12,222,3,3,2017-2018_nadiemamiri
222,209,12,2,0,2,8,3,6,183,1,5,2017-2018_nadiemamiri
1165,1037,123,41,4,10,20,80,0,867,5,26,2017-2018_ethanampadu
716,685,31,31,1,9,6,0,0,645,0,8,2017-2018_sofyanamrabat
2351,2252,95,86,3,32,8,5,0,1911,4,11,2017-2018_joachimandersen
1436,1342,90,6,5,6,86,32,13,1118,4,36,2017-2018_felipeanderson
234,227,7,0,0,1,9,1,0,147,0,10,2017-2018_sebastianandersson
38,32,6,0,0,0,0,0,0,25,0,1,2017-2018_florinandone
535,441,93,5,1,1,21,88,0,350,1,18,2017-2018_andresandradecedeno
1766,1705,55,44,4,19,19,11,0,1404,6,33,2017-2018_benjaminandre
166,131,35,3,1,0,5,32,0,133,0,5,2017-2018_fredrikandrebjrkan
184,173,8,0,2,2,3,2,0,122,3,2,2017-2018_marcosandre
1011,987,18,16,8,1,6,2,0,811,6,9,2017-2018_robertandrich
785,629,154,23,0,32,46,131,0,590,2,9,2017-2018_joseangel
1516,1201,304,47,0,6,187,205,52,1082,11,20,2017-2018_angelino
11,8,3,0,0,0,1,3,0,4,0,0,2017-2018_ebenezerannan
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
407,318,86,8,2,4,57,68,10,285,3,4,2017-2018_cristianansaldi
215,195,19,0,1,0,12,6,0,136,1,6,2017-2018_janisantiste
1826,1744,80,45,1,20,11,32,0,1541,2,14,2017-2018_waldemaranton
28,26,2,1,0,0,0,0,0,23,0,0,2017-2018_josepantonigaya
702,675,20,2,4,9,63,16,0,438,7,39,2017-2018_michailantonio
253,223,29,1,3,0,29,27,1,153,1,20,2017-2018_christopherantwi-adjei
1446,1379,64,23,13,10,21,15,10,1243,3,29,2017-2018_houssemaouar
614,550,61,18,1,18,68,3,38,457,3,14,2017-2018_adilaouchiche
1001,856,141,10,1,0,38,131,0,756,4,18,2017-2018_dennisappiah
1266,1104,157,88,0,32,116,2,66,933,5,29,2017-2018_mauroarambarri
795,603,184,43,6,6,144,21,66,524,8,24,2017-2018_mattiaaramu
1094,1035,53,44,7,13,9,8,1,916,6,27,2017-2018_charlesaranguiz
1555,1509,41,38,0,8,3,3,0,1326,5,8,2017-2018_nestoraraujo
1662,1566,92,47,0,21,7,44,0,1491,4,6,2017-2018_ronaldaraujo
4,4,0,0,0,0,0,0,0,4,0,0,2017-2018_cameronarcher
40,23,17,3,0,0,0,0,0,21,0,0,2017-2018_alphonseareola
73,40,33,0,0,0,2,33,0,49,0,0,2017-2018_jesusareso
38,35,3,1,0,0,4,1,0,18,0,1,2017-2018_matiasarezo
218,166,50,1,0,0,15,49,0,153,2,2,2017-2018_santiagoarias
324,283,40,0,4,1,18,2,0,229,1,6,2017-2018_adamarmstrong
744,701,40,3,3,2,35,8,2,590,3,25,2017-2018_stuartarmstrong
908,851,51,1,4,1,12,9,0,659,6,24,2017-2018_markoarnautovic
1869,1602,255,145,5,40,182,7,102,1453,12,21,2017-2018_maximilianarnold
138,110,28,7,0,0,0,0,0,115,0,0,2017-2018_kepaarrizabalaga
677,649,28,19,2,2,33,1,7,532,0,13,2017-2018_tolgayarslan
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
170,145,21,4,0,1,18,12,5,105,4,4,2017-2018_santiagoarzamendia
378,372,5,0,4,2,34,4,0,244,1,24,2017-2018_takumaasano
1168,1100,63,55,1,4,2,6,0,959,5,24,2017-2018_santiagoascacibar
228,166,60,4,0,1,0,0,0,185,2,0,2017-2018_sergioasenjo
8,8,0,0,0,1,1,0,0,7,0,0,2017-2018_alejandroasensio
894,809,80,14,0,14,71,16,45,731,5,24,2017-2018_marcoasensio
7,6,1,0,0,0,0,1,0,7,0,0,2017-2018_harrisonashby
226,215,8,5,0,1,2,2,0,147,3,5,2017-2018_kristofferaskildsen
8,8,0,0,0,0,0,0,0,6,0,0,2017-2018_fisnikasllani
779,718,60,36,1,6,29,4,19,638,1,7,2017-2018_kristjanasllani
1371,1266,97,38,11,17,108,18,32,968,8,47,2017-2018_iagoaspas
383,300,81,4,0,0,21,77,0,306,2,13,2017-2018_lorenzassignon
401,308,92,2,0,2,16,90,0,282,1,13,2017-2018_simonasta
738,617,120,8,4,2,54,111,1,556,1,17,2017-2018_youcefatal
208,204,2,0,2,0,11,1,0,137,2,9,2017-2018_pierre-emerickaubameyang
238,218,20,0,2,0,5,0,0,176,0,7,2017-2018_pierre-emerickaubameyang
1005,698,300,88,0,2,0,0,0,706,7,0,2017-2018_emilaudero
1368,1094,271,34,1,3,74,233,4,1050,3,48,2017-2018_tommasoaugello
14,12,2,0,0,0,0,0,0,11,0,0,2017-2018_jean-kevinaugustin
551,442,107,7,0,3,47,81,19,437,2,10,2017-2018_ludwigaugustinsson
742,646,94,10,0,2,27,84,0,623,2,12,2017-2018_sergeaurier
556,526,24,6,2,12,79,8,4,307,6,21,2017-2018_ezequielavila
474,458,12,0,5,0,10,2,0,313,4,17,2017-2018_taiwoawoniyi
27,20,7,2,0,0,1,5,0,19,0,0,2017-2018_ramziaya
754,738,14,3,8,2,74,9,2,576,2,30,2017-2018_jordanayew
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
871,824,43,37,3,12,2,3,0,790,4,2,2017-2018_kaanayhan
1592,1412,171,36,5,24,31,134,0,1224,9,29,2017-2018_lukeayling
148,139,9,2,0,0,1,7,0,102,0,5,2017-2018_karimazamoum
108,103,3,0,3,0,2,0,0,79,2,3,2017-2018_sardarazmoun
1787,1627,153,25,1,0,47,128,0,1486,7,31,2017-2018_cesarazpilicueta
779,760,17,16,0,6,5,1,0,617,2,19,2017-2018_iddrisubaba
99,92,7,0,1,0,4,2,0,62,0,3,2017-2018_carlosbacca
364,237,125,38,0,0,0,0,0,216,2,0,2017-2018_danielbachmann
729,718,10,8,0,4,2,2,0,655,1,1,2017-2018_loicbade
1575,1522,43,39,4,12,10,4,0,1230,10,28,2017-2018_milanbadelj
830,542,286,76,0,0,0,0,0,565,2,0,2017-2018_edgarbadia
1380,1352,27,24,1,15,1,3,0,1212,1,8,2017-2018_benoitbadiashile
35,34,1,0,0,0,1,0,0,22,0,1,2017-2018_youssouphbadji
5,5,0,0,0,0,1,0,0,4,0,0,2017-2018_miguelbaeza
4,1,3,2,0,0,0,0,0,0,0,0,2017-2018_nicolabagnolini
6,6,0,0,0,0,0,0,0,6,0,0,2017-2018_issabah
218,203,15,0,1,0,10,2,0,157,0,10,2017-2018_stephanebahoken
226,209,16,1,1,3,33,4,11,150,1,8,2017-2018_leonbailey
85,81,4,4,0,1,0,0,0,68,0,1,2017-2018_ericbailly
84,81,3,3,0,1,0,0,0,79,0,0,2017-2018_denysbain
186,127,58,14,0,1,0,0,0,130,1,0,2017-2018_stefanbajic
898,730,163,32,5,4,156,8,97,621,5,31,2017-2018_nedimbajrami
67,62,5,0,0,0,3,1,0,50,0,0,2017-2018_cedricbakambu
136,132,4,4,0,0,0,0,0,93,0,4,2017-2018_abdoulayebakayoko
304,303,1,1,0,2,1,0,0,269,0,3,2017-2018_tiemouebakayoko
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
1228,1046,181,15,2,6,37,166,0,994,1,28,2017-2018_mitchelbakker
1338,1109,222,17,2,5,73,200,5,1011,7,31,2017-2018_ridlebaku
14,13,1,0,0,0,0,0,0,7,0,0,2017-2018_dilanebakwa
6,6,0,0,0,0,1,0,0,5,0,0,2017-2018_tommasobaldanzi
150,143,7,2,0,0,6,5,0,138,0,2,2017-2018_alejandrobalde
11,9,2,0,0,0,1,1,0,7,0,0,2017-2018_ibrahimabalde
260,248,12,1,1,1,8,0,0,187,0,6,2017-2018_keitabalde
65,62,0,0,0,1,3,0,0,45,3,2,2017-2018_garethbale
1013,794,217,20,0,5,51,197,0,765,2,23,2017-2018_mikelbalenziaga
819,794,25,25,0,4,0,0,0,753,0,3,2017-2018_leonardobalerdi
1796,1331,460,33,1,7,111,426,1,1350,5,48,2017-2018_ivanballiu
272,234,37,6,0,0,18,31,0,230,1,4,2017-2018_fodeballo-toure
9,9,0,0,1,0,0,0,0,4,0,1,2017-2018_folarinbalogun
183,138,45,3,0,0,10,42,0,140,0,6,2017-2018_abdoulayebamba
1148,1003,139,33,3,4,115,37,69,866,6,37,2017-2018_jonathanbamba
108,89,19,0,1,0,3,1,0,88,0,3,2017-2018_patrickbamford
733,700,26,4,4,6,68,14,6,537,7,21,2017-2018_filippobandinelli
469,425,42,34,0,0,1,0,0,333,2,7,2017-2018_mattiabani
31,29,1,0,0,1,1,0,0,18,1,1,2017-2018_simonbanza
308,305,3,1,0,0,8,2,0,257,0,3,2017-2018_shandonbaptiste
1107,1081,17,5,2,4,13,6,0,876,9,37,2017-2018_antoninbarak
11,10,1,0,0,0,0,0,0,7,0,0,2017-2018_barbero
42,41,1,1,0,0,0,0,0,32,0,0,2017-2018_danilobarbosa
22,22,0,0,0,0,0,0,0,8,0,0,2017-2018_barcia
81,80,1,0,0,0,4,0,0,57,0,5,2017-2018_bradleybarcola
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
1878,1578,297,30,0,4,87,267,0,1508,3,39,2017-2018_melvinbard
749,639,103,32,9,15,87,15,52,529,7,19,2017-2018_enisbardhi
49,30,18,5,0,0,0,0,0,33,1,0,2017-2018_francescobardi
886,845,36,34,2,15,7,2,0,761,5,12,2017-2018_keidibare
1876,1836,31,17,11,15,66,14,0,1554,9,44,2017-2018_nicolobarella
374,355,16,3,1,4,55,11,2,249,3,14,2017-2018_kikebarja
128,121,7,0,1,0,7,0,7,106,0,4,2017-2018_rossbarkley
70,59,11,0,0,2,2,9,2,52,0,0,2017-2018_aymenbarkok
198,191,1,0,1,1,2,0,0,122,6,6,2017-2018_ashleybarnes
756,747,7,0,7,2,45,5,0,550,2,24,2017-2018_harveybarnes
542,421,121,36,0,6,33,81,4,423,0,5,2017-2018_antoniobarragan
