Season,home_team,away_team,home_score,away_score,result,90s_difference,Age_difference,AssistPer90_difference,Assists_difference,Att_difference,AvgShotDistance_difference,Blocked_difference,CK_difference,CS_difference,CS%_difference,Carries_difference,CarriesPenArea_difference,Clearance_difference,Cmp_difference,Cmp%_difference,Completed_difference,Crs_difference,D_difference,Dead_difference,Def_difference,Def.1_difference,Dispossed_difference,Drib_Tackle_Lost_difference,Drib_Tackled_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,DribblesAtt_difference,Errors_to_shot_difference,FK_difference,Fld_difference,Fld.1_difference,GA_difference,GA90_difference,GCA_difference,GCA90_difference,Goals_difference,GoalsFromPenalties_difference,GoalsPer90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,GoalsandAssistPer90_difference,GoalsandAssists_difference,Int 90s_difference,Int Assists_difference,Int Assists Per 90_difference,Int Goals_difference,Int Goals + Assists _difference,Int Goals + Assits Per 90_difference,Int Goals Per 90_difference,Int Matches Played_difference,Int Min_difference,Int Non Penalty Goals_difference,Int Non Penalty Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Penaltes Attempted_difference,Int Penalty Goals_difference,Int Red Cards_difference,Int Starts_difference,Int Yellow Cards_difference,Interceptions_difference,L_difference,LP_Att_difference,LP_Cmp_difference,LP_Cmp%_difference,Live_difference,MP_difference,MP_Att_difference,MP_Cmp_difference,MP_Cmp%_difference,Min_difference,Miscontrolled_difference,NonPenaltyGoals_difference,NonPenaltyGoalsPer90_difference,Offside_pass_difference,PKA_difference,PKatt_x_difference,PKatt_y_difference,PKsv_difference,PassDead_difference,PassDead.1_difference,PassLive_difference,PassLive.1_difference,Passes_Att_difference,Passes_Blocked_difference,PenaltiesAttemped_difference,PenaltyGoals_difference,PrgC_difference,PrgDist_difference,ProgressiveCarries_x_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,ProgressivePasses_difference,ProgressiveReceive_difference,ProgressivegDist_difference,Recievd _difference,RedCards_difference,SCA_difference,SCA90_difference,SP_Att_difference,SP_Cmp_difference,SP_Cmp%_difference,Save%_difference,Save%.1_difference,Saves_difference,Sh_difference,Sh.1_difference,Sh/90_difference,Shots_difference,ShotsOnTarget_difference,Shots_Blocked_difference,SoT%_difference,SoT/90_difference,SoTA_difference,Starts_difference,Sw_difference,TB_difference,TI_difference,TO_difference,TO.1_difference,Tackles_Att_3rd_difference,Tackles_Def_3rd_difference,Tackles_Won_difference,Tackles_mid_3rd_difference,TotDist_x_difference,TotDist_y_difference,Total_Blocks_difference,Total_Tackles_difference,Touches_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesDef 3rd_difference,TouchesDef Pen_difference,TouchesLive_difference,TouchesMid 3rd_difference,W_difference,Year_difference,YelloCards_difference
2023-2024,Switzerland,Italy,,,,-1.6833333333333336,2.6444444444444386,-0.03799999999999999,-1.0666666666666667,-396.3555555555556,2.188749999999999,-15.6,-17.366666666666667,0.0,-8.8,-120.62222222222204,1.7142857142857153,4.155555555555566,-239.3611111111111,4.384999999999991,-239.3611111111111,-30.700000000000003,1.333333333333333,95.66666666666669,-0.35,0.0,-2.547619047619051,-2.2250000000000014,-6.855555555555558,3.523809523809522,0.0,11.67142857142857,17.819047619047616,-2.666666666666667,29.666666666666657,1.2857142857142865,0.0,19.666666666666657,0.43333333333333346,-2.4380952380952383,-0.1066190476190477,-2.428571428571429,-0.8571428571428568,-0.1485714285714285,-0.012857142857142803,-0.053333333333333316,-0.15075,-4.428571428571429,-1.811111111111111,0.25238095238095243,-0.2671428571428572,4.857142857142858,4.428571428571429,0.19000000000000006,0.4571428571428572,-1.583333333333334,-162.66666666666657,4.857142857142858,0.21700000000000008,0.4571428571428572,0.0,0.0,0.0555555555555555,-1.7888888888888888,1.0833333333333335,2.8444444444444414,7.333333333333334,268.0,144.0,-0.09416666666666629,-371.36666666666656,-1.4166666666666643,-144.75,-102.98888888888894,-0.19333333333337066,-152.83333333333348,14.57142857142857,-1.5714285714285712,-0.03428571428571439,-4.1125,2.0,2.0,-1.0,-0.33333333333333337,-6.066666666666666,-0.6,-8.899999999999999,-1.4952380952380948,-396.3555555555556,-4.0625,-1.0,-0.8571428571428568,11.01428571428572,7606.666666666666,-41.837500000000006,11.01428571428572,-3.6666666666666714,-33.67142857142858,-33.67142857142858,22.99444444444498,-342.8166666666666,0.6833333333333333,-19.69523809523811,-1.0485238095238096,-145.39999999999998,-101.66666666666663,-0.642222222222216,-7.799999999999997,-8.333333333333332,12.333333333333314,0.7142857142857144,-0.2857142857142857,-0.5842857142857145,-5.571428571428569,2.571428571428573,3.222222222222223,10.287619047619046,0.008571428571428341,31.0,0.46666666666666856,-1.583333333333334,-2.2624999999999997,-18.766666666666673,0.17619047619047734,1.2857142857142856,-2.4875,-12.883333333333333,-4.475000000000001,-3.6999999999999993,2545.5555555555547,-352.89444444444416,-0.5500000000000007,-14.012500000000003,-458.35555555555516,-95.08571428571429,-17.85714285714286,414.0,286.0,-458.3222222222223,-65.1875,-2.0,0.0,0.8624999999999998
2023-2024,Germany,Denmark,,,,1.0333333333333314,2.1875,0.1333333333333333,2.916666666666667,809.875,1.9833333333333343,1.8333333333333321,15.916666666666663,,,583.7,13.666666666666666,17.025000000000006,727.7833333333333,2.410416666666663,727.7833333333333,71.33333333333331,,-3.0,0.0,0.1666666666666667,8.25,-11.333333333333332,0.716666666666665,20.91666666666666,43.775,15.166666666666671,39.5,2.0,1.0,-1.1666666666666665,0.0,,,6.833333333333332,0.25416666666666665,-4.666666666666666,0.0,-0.2166666666666666,-0.1383333333333333,0.014166666666666605,0.23916666666666667,-2.833333333333334,-2.145,-0.5,0.8,-3.1666666666666665,-4.0,1.0466666666666664,0.2466666666666667,-4.666666666666667,-194.05,-3.1666666666666665,0.49083333333333345,0.2466666666666667,0.0,0.0,0.0,-2.05,-0.7666666666666668,4.195833333333336,,141.1,132.4,14.21041666666666,769.8208333333332,-1.9166666666666643,328.79166666666686,301.04583333333323,7.976250000000007,91.08333333333303,-12.833333333333336,-4.666666666666666,0.0891666666666667,4.083333333333334,,,-0.3333333333333333,,3.999999999999999,0.6666666666666666,41.33333333333333,4.583333333333334,809.875,-2.9166666666666643,-0.3333333333333333,0.0,35.99999999999999,6098.0,98.83333333333329,35.99999999999999,20.16666666666667,72.41666666666666,72.41666666666666,1467.2041666666669,740.2208333333333,0.1666666666666666,40.25,1.2283333333333335,360.2125,349.275,6.481250000000003,,,,-1.666666666666667,-0.5,0.7316666666666674,-7.333333333333336,-8.833333333333329,5.574999999999999,-2.5083333333333258,-0.21333333333333326,,5.762499999999999,7.375,4.25,-41.825,2.166666666666667,-0.8333333333333333,2.166666666666666,3.6125000000000007,2.0833333333333357,-0.08333333333333215,7809.0625,2937.7666666666664,-5.083333333333336,0.3333333333333428,849.9333333333329,256.4999999999999,-14.333333333333329,344.70000000000005,624.5,849.7666666666664,436.49999999999955,,0.0,-0.3333333333333339
2023-2024,England,Slovakia,,,,2.099999999999998,-3.5500000000000007,-0.022500000000000103,2.916666666666666,-323.85,-6.633333333333336,-2.0833333333333357,19.54166666666667,8.0,11.500000000000004,-406.65,28.666666666666657,-18.200000000000003,-353.5,-1.625,-353.5,-5.875,5.0,290.0,0.33333333333333304,-0.16666666666666669,15.291666666666671,-9.0,-8.8,16.5,38.849999999999994,15.958333333333329,35.875,0.0,186.0,-0.16666666666666696,0.16666666666666663,9.0,-0.5599999999999998,9.916666666666668,0.33999999999999997,13.166666666666666,2.0,0.495,0.10999999999999999,0.22874999999999998,0.1908333333333333,16.0,-1.9399999999999995,0.3333333333333333,-0.08333333333333341,1.0,0.16666666666666652,0.4633333333333334,0.5466666666666666,-3.75,-174.95,0.6666666666666667,0.1308333333333333,0.2066666666666666,0.33333333333333337,0.33333333333333337,0.05,-1.9500000000000002,0.09999999999999998,-5.75,7.0,799.0,352.0,-7.555000000000007,-370.25,4.0,-331.5,-335.75,-3.7249999999999943,193.25,13.333333333333336,11.166666666666666,0.3925,-1.8333333333333335,4.0,3.0,2.0,-1.0,0.9166666666666679,-0.375,24.70833333333333,7.583333333333332,-323.85,-4.916666666666666,2.0,2.0,48.45833333333333,19447.0,-50.083333333333314,48.45833333333333,13.0,124.875,124.875,-565.25,-240.35000000000002,0.15,53.0,1.7929166666666663,10.399999999999977,10.050000000000011,-0.25833333333333997,3.1000000000000085,-20.0,30.0,5.333333333333334,1.5,1.2816666666666665,41.83333333333333,22.333333333333336,-6.699999999999999,13.916666666666675,0.8233333333333333,35.0,7.399999999999999,-0.6833333333333336,5.25,40.75,5.375,1.0,-5.25,-14.2,-23.333333333333336,-21.416666666666664,8637.150000000001,-1763.9,-10.0,-34.75,-391.79999999999995,374.16666666666674,122.16666666666666,842.0,502.0,-391.79999999999995,-669.0,4.0,0.0,-6.0
2023-2024,Spain,Georgia,,,,-2.9499999999999993,6.428571428571431,0.03562499999999991,-0.8839285714285712,794.2142857142856,0.15714285714285836,4.285714285714285,-8.55357142857143,,,579.3928571428571,-25.357142857142858,31.42857142857143,622.4285714285714,-7.946428571428569,622.4285714285714,-11.4375,,128.8333333333333,-0.2857142857142858,-0.2142857142857143,-16.732142857142858,-0.6428571428571423,15.57142857142857,-47.73214285714286,16.0,-51.80357142857143,-105.9375,1.6666666666666667,57.0,-5.857142857142857,-0.3571428571428572,,,-2.9107142857142847,-0.004374999999999962,-4.714285714285714,-1.0714285714285716,-0.1635714285714286,-0.016428571428571515,-0.05812499999999993,-0.3064285714285715,-4.857142857142858,1.4833333333333334,0.6160714285714286,0.33,-0.5,0.3571428571428572,-3.5407142857142864,-3.8692857142857147,1.333333333333333,133.5714285714286,0.0,-2.6328571428571426,-3.079285714285714,-0.5,-0.5,0.0,1.4761904761904763,0.7142857142857142,9.964285714285714,,348.1666666666667,121.16666666666666,-9.219230769230776,689.1071428571429,3.6666666666666643,251.42857142857144,204.3571428571429,2.251190476190459,-268.0,-8.0,-3.6428571428571432,-0.1839285714285715,-0.5,,,-0.3571428571428572,,-2.616071428571429,1.4375,-6.633928571428569,0.8660714285714288,794.2142857142856,5.428571428571431,-0.3571428571428572,-1.0714285714285716,-68.10714285714286,10933.666666666666,45.928571428571445,-68.10714285714286,-30.3125,-52.98214285714286,-52.98214285714286,2101.285714285714,653.2857142857142,0.1785714285714285,-42.50892857142857,-0.394107142857143,410.6071428571428,363.7142857142857,-1.0785714285714505,,,,-5.142857142857143,-0.6428571428571429,-0.882857142857143,-39.64285714285715,-14.642857142857142,3.928571428571429,-2.8937500000000043,-0.4257142857142857,,22.035714285714285,14.678571428571429,2.6875,61.60714285714286,-12.821428571428571,-1.6428571428571432,1.1428571428571423,14.714285714285715,11.285714285714285,2.5,14428.059523809527,3479.5714285714284,8.357142857142858,15.142857142857139,957.9642857142856,-222.2589285714286,-32.428571428571445,794.3333333333334,687.6666666666666,957.9642857142856,209.8571428571429,,0.0,-1.0
2023-2024,France,Belgium,,,,4.574999999999999,-1.6125000000000007,0.025166666666666615,1.3249999999999993,777.5375,-0.93333333333333,7.749999999999998,8.483333333333329,7.5,23.35,645.05,-7.75,16.85,757.8875,8.92125,757.8875,-6.399999999999999,0.0,18.5,1.1666666666666667,-0.3333333333333333,-8.649999999999999,14.166666666666668,4.237500000000001,-0.5833333333333286,38.239999999999995,0.04166666666665719,-2.6166666666666742,0.0,-1.5,2.166666666666667,1.6666666666666667,1.0,-0.45500000000000007,2.3666666666666636,0.17508333333333326,-1.8333333333333321,1.8333333333333335,0.03833333333333333,-0.023333333333333317,-0.016583333333333394,-0.028333333333333294,-1.9166666666666679,0.4099999999999999,0.19166666666666657,0.2625,0.16666666666666669,0.4166666666666667,0.32583333333333325,0.06583333333333324,1.0,37.2,-0.08333333333333331,-0.033416666666666706,-0.1966666666666667,0.25,0.25,0.0,0.30000000000000004,0.0,8.4875,-4.5,56.5,62.0,8.374166666666675,790.475,8.5,330.4375,327.075,5.396249999999995,410.5,-6.166666666666657,-3.666666666666666,-0.024166666666666614,2.666666666666667,5.5,5.0,1.9166666666666667,0.0,1.4833333333333334,-0.2,23.33333333333333,1.7333333333333325,777.5375,11.666666666666668,1.9166666666666667,1.8333333333333335,-7.75,6697.5,76.41666666666666,-7.75,10.549999999999997,-28.058333333333366,-28.058333333333366,1969.3125,742.175,0.25,-0.8333333333333144,0.5525000000000002,410.55,398.325,1.6262499999999989,14.899999999999999,0.0,29.0,-2.5,0.8333333333333334,-0.011666666666666714,-18.916666666666686,-10.333333333333336,3.0999999999999996,-1.8774999999999977,-0.1475000000000002,32.0,9.375,3.5583333333333327,2.466666666666667,-42.425,-0.5000000000000009,0.16666666666666674,1.0,11.6875,22.83333333333333,16.166666666666664,13879.05,3393.5875,17.25,31.16666666666667,846.3499999999999,-23.02500000000009,-25.75,581.5,396.0,846.2249999999999,600.1666666666669,13.0,0.0,3.5
2023-2024,Portugal,Slovenia,,,,-11.95,2.1666666666666643,0.02124999999999999,3.25,778.5833333333337,5.649999999999999,15.0,25.875,-8.0,-15.450000000000003,576.3333333333337,21.5,-66.33333333333333,716.5,6.066666666666663,716.5,80.25,2.0,-93.0,2.0,0.0,-13.125,36.0,1.8333333333333357,11.125,0.0,13.25,28.5,3.0,-5.0,3.0,1.5,-0.5,0.31499999999999995,4.625,0.12625000000000008,-4.75,0.25,-0.275,-0.1325000000000001,-0.20625000000000004,-0.7899999999999999,-2.75,-5.433333333333333,0.125,0.125,-2.75,-3.5,0.16249999999999998,0.040000000000000036,-5.5,-488.91666666666663,-0.75,0.20624999999999993,0.28,-1.75,-2.0,0.0,-5.666666666666667,0.1666666666666666,2.1666666666666643,1.5,-65.5,-67.0,7.150000000000006,652.5833333333337,-9.5,241.25,215.5,0.5666666666666913,-1074.5,15.0,-5.0,-0.42,1.5,4.0,3.5,0.25,0.0,8.375,0.625,23.5,0.75,778.5833333333337,13.5,0.25,0.25,57.5,-4840.0,62.5,57.5,36.5,61.125,61.125,1868.25,710.6666666666663,0.3333333333333333,52.75,1.935,525.6666666666667,498.08333333333326,2.4916666666666885,-0.9999999999999858,0.0,-11.0,4.0,1.0,0.4075000000000002,9.5,-3.0,-7.0,-14.375,-0.19999999999999996,-13.0,-3.75,9.083333333333332,3.125,123.75,1.25,2.5,5.0,-6.416666666666664,26.5,28.0,3831.25,3381.583333333334,5.25,57.5,743.75,317.5,33.75,-171.5,-183.5,743.75,458.0,-12.5,0.0,5.5
2023-2024,Romania,Netherlands,,,,-21.866666666666667,-1.46153846153846,-0.0849999999999999,-2.333333333333334,-1364.974358974359,-2.2142857142857153,-10.095238095238091,-4.940476190476197,,,-942.2564102564102,-7.75,-44.46153846153846,-1215.602564102564,-8.184615384615384,-1215.602564102564,-0.25,,-219.0,-0.2857142857142858,-0.2857142857142857,-13.708333333333336,-16.285714285714285,-12.025641025641026,-9.875,-35.6,-13.583333333333336,-23.45833333333333,-2.0,-62.66666666666667,-4.0,-1.25,,,-9.0,-0.39708333333333334,-11.0,-0.5,-0.4975,-0.165,-0.3591666666666666,-0.2933333333333333,-12.5,2.278205128205128,0.8333333333333334,0.29,1.0,2.0,0.5825,0.29250000000000004,2.5,205.19230769230768,1.0,0.31875,0.29250000000000004,-0.5,0.0,0.0,2.2435897435897436,0.7307692307692308,-28.705128205128208,,-483.0,-223.3333333333333,-7.630219780219775,-1326.9102564102564,-18.166666666666664,-633.4230769230769,-582.7948717948718,-10.798717948717965,-1963.25,-40.25,-10.5,-0.45625,-5.928571428571429,,,-0.25,,-0.19047619047619158,-0.5,-45.27380952380952,-5.541666666666666,-1364.974358974359,-21.476190476190474,-0.25,-0.5,-27.625,-14948.666666666666,-161.42857142857144,-27.625,-23.5,-89.125,-89.125,-2141.653846153846,-1124.2307692307693,-0.0769230769230769,-25.708333333333343,1.3033333333333337,-564.6282051282051,-523.525641025641,-11.22179487179487,,,,-1.75,-0.75,0.010000000000000231,-34.25,-17.25,-8.615384615384617,-11.441666666666666,-0.29999999999999993,,-19.05128205128205,-2.2967032967032974,-4.357142857142858,7.7179487179487225,-3.041666666666666,-0.75,-7.119047619047619,-14.820512820512818,-26.07142857142857,-19.92857142857143,-20452.44871794872,-4139.794871794872,-27.5,-39.85714285714286,-1529.230769230769,-212.5,-105.75,-1078.0,-988.3333333333334,-1529.192307692308,-847.7380952380952,,0.0,-4.166666666666666
2023-2024,Austria,Turkey,,,,5.699999999999999,3.208333333333332,-0.12375000000000003,1.25,559.875,2.3750000000000036,11.583333333333329,11.395833333333334,,,407.14583333333337,-1.5,-9.791666666666671,497.39583333333337,2.2333333333333343,497.39583333333337,30.25,,77.33333333333334,0.3333333333333333,0.0,10.125,14.5,4.6875,4.875,11.399999999999999,4.5,10.375,1.0,31.166666666666668,0.5,0.0,,,2.25,-0.4168749999999999,0.5,0.0,-0.2649999999999999,0.04999999999999999,-0.20500000000000002,0.2299999999999999,1.5,0.7250000000000005,-0.375,-0.275,1.0,0.5,-0.36,-0.08499999999999996,1.0,65.04166666666671,1.0,-0.40375000000000005,-0.08499999999999996,0.5,0.0,0.0,0.625,-0.1875,3.0625,,41.708333333333314,36.666666666666664,2.235416666666673,485.1875,6.833333333333332,216.375,195.4375,-0.6541666666666686,516.5,8.0,0.5,-0.5625,3.0,,,0.0,,3.875,0.3125,35.08333333333333,2.1875,559.875,10.583333333333336,0.0,0.0,11.875,3656.333333333333,101.08333333333334,11.875,32.5625,43.375,43.375,1473.4166666666667,436.08333333333337,-0.20833333333333331,29.875,-0.8775,280.4583333333333,261.6458333333333,1.5625000000000142,,,,0.0,0.0,-1.8800000000000003,20.0,7.0,0.375,-0.38749999999999574,-0.5799999999999998,,2.416666666666668,0.8333333333333321,3.729166666666666,31.520833333333332,0.4375,-0.5,5.083333333333333,2.2916666666666714,23.333333333333336,17.416666666666664,5109.625,2600.9375,19.25,40.0,595.3125,148.75,30.5,141.0,29.166666666666686,595.3125,576.0,,0.0,3.083333333333333
