Season,home_team,away_team,home_score,away_score,result
2023-2024,Scotland,Croatia,,,
2023-2024,Germany,Denmark,,,
2023-2024,England,Austria,,,
2023-2024,Spain,Hungary,,,
2023-2024,Netherlands,Slovakia,,,
2023-2024,Portugal,Italy,,,
2023-2024,Belgium,Slovenia,,,
2023-2024,France,Turkey,,,
