Season,home_team,away_team,home_score,away_score,result,90s_difference,Age_difference,AssistPer90_difference,Assists_difference,Att_difference,AvgShotDistance_difference,Blocked_difference,CK_difference,CS_difference,CS%_difference,Carries_difference,CarriesPenArea_difference,Clearance_difference,Cmp_difference,Cmp%_difference,Completed_difference,Crs_difference,D_difference,Dead_difference,Def_difference,Def.1_difference,Dispossed_difference,Drib_Tackle_Lost_difference,Drib_Tackled_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,DribblesAtt_difference,Errors_to_shot_difference,FK_difference,Fld_difference,Fld.1_difference,GA_difference,GA90_difference,GCA_difference,GCA90_difference,Goals_difference,GoalsFromPenalties_difference,GoalsPer90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,GoalsandAssistPer90_difference,GoalsandAssists_difference,Int 90s_difference,Int Assists_difference,Int Assists Per 90_difference,Int Goals_difference,Int Goals + Assists _difference,Int Goals + Assits Per 90_difference,Int Goals Per 90_difference,Int Matches Played_difference,Int Min_difference,Int Non Penalty Goals_difference,Int Non Penalty Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Penaltes Attempted_difference,Int Penalty Goals_difference,Int Red Cards_difference,Int Starts_difference,Int Yellow Cards_difference,Interceptions_difference,L_difference,LP_Att_difference,LP_Cmp_difference,LP_Cmp%_difference,Live_difference,MP_difference,MP_Att_difference,MP_Cmp_difference,MP_Cmp%_difference,Min_difference,Miscontrolled_difference,NonPenaltyGoals_difference,NonPenaltyGoalsPer90_difference,Offside_pass_difference,PKA_difference,PKatt_x_difference,PKatt_y_difference,PKsv_difference,PassDead_difference,PassDead.1_difference,PassLive_difference,PassLive.1_difference,Passes_Att_difference,Passes_Blocked_difference,PenaltiesAttemped_difference,PenaltyGoals_difference,PrgC_difference,PrgDist_difference,ProgressiveCarries_x_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,ProgressivePasses_difference,ProgressiveReceive_difference,ProgressivegDist_difference,Recievd _difference,RedCards_difference,SCA_difference,SCA90_difference,SP_Att_difference,SP_Cmp_difference,SP_Cmp%_difference,Save%_difference,Save%.1_difference,Saves_difference,Sh_difference,Sh.1_difference,Sh/90_difference,Shots_difference,ShotsOnTarget_difference,Shots_Blocked_difference,SoT%_difference,SoT/90_difference,SoTA_difference,Starts_difference,Sw_difference,TB_difference,TI_difference,TO_difference,TO.1_difference,Tackles_Att_3rd_difference,Tackles_Def_3rd_difference,Tackles_Won_difference,Tackles_mid_3rd_difference,TotDist_x_difference,TotDist_y_difference,Total_Blocks_difference,Total_Tackles_difference,Touches_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesDef 3rd_difference,TouchesDef Pen_difference,TouchesLive_difference,TouchesMid 3rd_difference,W_difference,Year_difference,YelloCards_difference
2023-2024,Italy,England,,,,6.100000000000001,-2.5666666666666664,0.005500000000000088,-3.016666666666666,910.15,-0.43541666666666146,15.583333333333336,-17.49166666666667,-3.0,5.799999999999997,600.3833333333331,-17.880952380952372,21.266666666666666,722.0,-5.135000000000005,722.0,19.075000000000003,-3.0,-333.0,-1.583333333333333,-0.3333333333333333,-12.577380952380956,1.125,16.76666666666667,-14.857142857142858,0.0,-10.1297619047619,-25.860714285714288,3.0,-192.0,-0.6190476190476195,0.33333333333333337,-31.0,-0.5100000000000001,-7.645238095238096,-0.20171428571428562,-7.738095238095237,-0.6428571428571432,-0.20642857142857146,-0.052142857142857185,-0.10875000000000007,-0.027083333333333293,-10.571428571428571,-0.49333333333333407,0.08095238095238089,0.1554761904761906,-1.3571428571428572,-1.5952380952380951,0.06666666666666665,-0.08880952380952378,2.25,-44.63333333333344,-0.523809523809524,0.36216666666666664,0.3211904761904763,-0.8333333333333334,-0.8333333333333334,-0.05,-0.4833333333333334,-0.26666666666666666,14.850000000000001,-15.0,-846.0,-354.0,-0.25916666666665833,896.6166666666666,4.0,408.0,352.35,0.6266666666666794,550.75,-4.904761904761905,-7.095238095238095,-0.19821428571428573,3.1458333333333335,-5.0,-4.0,-0.5,1.0,-3.066666666666668,0.475,-22.858333333333327,-6.754761904761905,910.15,8.979166666666666,-0.5,-0.6428571428571432,-27.972619047619048,-18292.0,82.77083333333331,-27.972619047619048,0.0,-53.20357142857142,-53.20357142857142,1545.6166666666668,768.9166666666666,-0.0833333333333334,-32.47142857142856,-0.5060595238095233,345.33333333333337,289.45,0.6200000000000045,10.599999999999994,25.0,-28.0,-3.0476190476190483,-1.7142857142857144,-0.39738095238095195,-28.76190476190476,-14.404761904761909,1.8666666666666654,-4.120952380952389,-0.3519047619047616,-55.0,-1.4499999999999993,0.9166666666666679,-5.1375,7.850000000000001,-3.2178571428571434,-0.2857142857142857,3.6875,19.333333333333332,14.458333333333336,10.416666666666666,-7094.6500000000015,3030.433333333333,9.5,27.0625,1082.7666666666662,-238.58095238095245,-70.8095238095238,-706.0,-367.0,1082.7333333333333,541.6875,5.0,0.0,3.1875
2023-2024,France,Portugal,,,,-0.9750000000000014,-2.9791666666666643,0.06791666666666663,1.041666666666666,128.3541666666663,1.44166666666667,-12.083333333333336,-2.0416666666666714,5.0,15.75,199.9166666666663,-0.25,-6.416666666666671,184.1875,4.714583333333337,184.1875,-39.25,-1.0,-65.0,-0.33333333333333326,0.0,0.2083333333333357,-24.333333333333332,-5.395833333333336,6.791666666666671,0.0,4.958333333333329,10.75,0.0,-17.0,0.5,0.5,-8.5,-0.2749999999999999,0.7083333333333321,0.054166666666666585,5.25,2.25,0.040000000000000036,-0.017499999999999905,0.03666666666666657,0.018333333333333313,7.5,-1.7666666666666666,-1.8333333333333335,-0.10249999999999998,-1.75,-2.75,-0.22999999999999998,-0.12750000000000006,-0.5,-158.58333333333337,-2.0,-0.4583333333333333,-0.39,0.0,0.25,0.0,-1.833333333333333,-0.1666666666666666,2.5208333333333357,-6.5,27.5,98.0,-1.4125000000000014,190.2916666666663,0.5,114.1875,140.375,2.3645833333333144,-90.0,8.5,3.0,0.007500000000000007,1.5,2.0,1.5,3.0,0.0,-3.875,-0.625,10.333333333333329,2.25,128.3541666666663,-15.166666666666664,3.0,2.25,-5.416666666666657,6910.0,25.083333333333314,-5.416666666666657,1.25,33.41666666666663,33.41666666666663,476.0625,169.7083333333337,-0.08333333333333331,-5.416666666666657,0.10083333333333311,19.083333333333258,31.041666666666742,0.8145833333333172,7.699999999999989,0.0,-4.0,1.5,0.5,0.00749999999999984,17.25,7.0,-1.5,0.40416666666666856,-0.06750000000000012,-11.0,1.375,-6.041666666666666,0.7083333333333339,-82.375,-0.08333333333333393,-2.0,-3.5,-1.8958333333333357,-18.16666666666667,-11.0,7248.5,931.6041666666661,-13.333333333333336,-45.0,124.0,-23.791666666666742,30.5,358.5,129.5,123.875,94.16666666666686,7.5,0.0,-2.5
2023-2024,Spain,Germany,,,,-3.6833333333333336,-2.7589285714285694,-0.010208333333333403,-1.8839285714285712,-1245.6607142857144,-2.209523809523809,-0.38095238095238315,-8.13690476190476,2.833333333333334,12.116666666666667,-780.1071428571429,5.142857142857142,-41.19642857142857,-1141.404761904762,-7.331845238095227,-1141.404761904762,-38.020833333333314,2.666666666666667,36.333333333333286,0.7142857142857142,-0.047619047619047616,-9.232142857142858,-2.80952380952381,-6.595238095238095,-20.065476190476186,-39.6,-11.55357142857143,-31.1875,-1.3333333333333333,31.5,1.6428571428571432,1.1428571428571428,-8.0,-0.41833333333333333,-3.5773809523809508,-0.06854166666666667,3.2857142857142856,0.4285714285714285,0.1814285714285714,0.0635714285714285,-0.005624999999999936,-0.0047619047619048005,2.6428571428571423,0.7083333333333335,0.19940476190476203,-0.6699999999999999,1.5,1.8571428571428572,-0.8957142857142857,-0.2242857142857143,-0.5,63.82142857142861,1.5,0.064642857142857,-0.2242857142857143,0.0,0.0,0.0,0.7261904761904763,0.3809523809523809,-12.431547619047622,-0.16666666666666696,117.16666666666669,-48.33333333333334,-3.454647435897428,-1163.9136904761904,2.5833333333333286,-581.1130952380954,-543.5386904761904,-0.605059523809544,-332.58333333333303,9.5,2.8571428571428568,-0.0664285714285715,-4.166666666666668,-1.0,0.16666666666666652,1.1428571428571428,0.8333333333333333,-3.032738095238095,0.5208333333333334,-26.300595238095227,-3.133928571428571,-1245.6607142857144,-4.404761904761905,1.1428571428571428,0.4285714285714285,-18.77380952380952,-914.8333333333339,-91.90476190476184,-18.77380952380952,-12.479166666666671,-44.565476190476176,-44.565476190476176,-1518.5684523809527,-1006.985119047619,0.01190476190476189,-25.50892857142857,-0.9249404761904767,-499.4553571428572,-489.4107142857143,-0.8598214285714505,1.63333333333334,37.5,-12.0,1.8571428571428568,0.3571428571428571,-0.14785714285714313,12.857142857142847,5.357142857142858,-7.446428571428571,1.28125,0.09428571428571442,-21.16666666666667,-3.5267857142857153,-0.9464285714285712,-2.3125,-1.5178571428571388,-0.6547619047619042,1.3571428571428568,-0.35714285714285765,-5.598214285714285,-4.214285714285715,-4.166666666666668,-8867.002976190473,-3201.5952380952376,-5.142857142857142,-4.023809523809533,-1281.3690476190475,-150.59226190476187,30.571428571428555,-39.16666666666663,-43.83333333333337,-1281.202380952381,-510.3095238095234,-1.0,0.0,-0.833333333333333
2023-2024,Netherlands,Austria,,,,6.266666666666666,-0.4134615384615401,0.0437499999999999,2.083333333333334,265.0993589743589,-4.3607142857142875,4.511904761904763,23.54464285714286,,,143.44391025641016,13.75,-5.41346153846154,249.54006410256397,0.9846153846153811,249.54006410256397,-2.0,,170.0,0.9523809523809526,0.2857142857142857,9.083333333333336,3.2857142857142847,-0.6618589743589745,12.5,23.6,8.583333333333336,23.58333333333333,0.0,30.16666666666667,3.0,1.25,,,5.25,0.2739583333333333,6.5,0.5,-0.2275000000000001,-0.12999999999999998,-0.060833333333333406,0.06333333333333338,8.0,-0.803205128205128,0.0416666666666666,0.0,-0.5,-0.5,-0.0025000000000001132,-0.0025000000000001132,-2.5,-72.56730769230768,-0.5,0.30500000000000005,-0.0025000000000001132,0.0,0.0,0.0,-0.8685897435897436,-0.5432692307692308,1.642628205128208,,393.625,161.3333333333333,7.82813644688644,285.72275641025635,0.6666666666666643,121.0480769230769,111.35737179487182,5.586217948717959,559.75,35.25,6.0,0.028749999999999998,2.428571428571429,,,1.25,,10.315476190476192,0.1875,25.94047619047619,3.354166666666666,265.0993589743589,-0.1071428571428612,1.25,0.5,22.75,8152.666666666666,48.3452380952381,22.75,2.9375,77.25,77.25,-110.09615384615381,258.4807692307693,-0.0480769230769231,28.833333333333343,1.1541666666666663,129.50320512820508,115.213141025641,5.15929487179487,,,,1.25,-0.25,-0.16500000000000004,21.25,11.25,-1.7596153846153832,5.229166666666664,-0.03500000000000014,,7.301282051282051,1.1300366300366314,3.6279761904761916,-8.905448717948723,4.104166666666666,0.75,2.5357142857142856,-2.8044871794871824,-1.2619047619047663,3.0119047619047663,6216.823717948719,25.85737179487205,-3.25,-1.1428571428571388,282.91826923076906,186.25,76.75,618.0,877.8333333333334,282.8798076923081,103.23809523809518,,0.0,0.583333333333333
